wastage_id,item_id,location_id,wastage_date,wastage_time,quantity_wasted,unit_cost,total_loss_amount,wastage_reason,complexity_profile,reported_by
WAS-000079,ITEM-060,LOC-007,2025-07-29,22:59:00,9,25.0,225.0,EQUIPMENT_COOLER_FAILURE,PROFITABLE_LOW_SELLING,Kitchen Manager
WAS-000080,ITEM-018,LOC-018,2025-09-08,23:39:00,2,11.5,23.0,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Kitchen Manager
WAS-000081,ITEM-116,LOC-016,2025-04-22,15:32:00,1,2.7,2.7,PREPARATION_ERROR,STANDARD,Line Supervisor
WAS-000082,ITEM-075,LOC-009,2025-06-29,22:56:00,4,16.5,66.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Kitchen Manager
WAS-000083,ITEM-051,LOC-007,2025-10-25,22:18:00,2,32.0,64.0,OVERPRODUCTION_UNSOLD,PROFITABLE_LOW_SELLING,Sous Chef
WAS-000084,ITEM-008,LOC-014,2025-12-18,22:39:00,9,16.5,148.5,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Kitchen Manager
WAS-000085,ITEM-045,LOC-002,2025-12-01,22:59:00,12,12.0,144.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000086,ITEM-049,LOC-013,2025-08-10,22:07:00,2,19.5,39.0,OVERPRODUCTION_UNSOLD,STANDARD,Kitchen Manager
WAS-000087,ITEM-086,LOC-007,2025-09-27,15:17:00,10,10.2,102.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000088,ITEM-076,LOC-019,2025-01-14,15:45:00,11,8.8,96.8,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Line Supervisor
WAS-000089,ITEM-119,LOC-002,2025-02-16,22:32:00,5,3.2,16.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000090,ITEM-066,LOC-006,2025-03-26,14:05:00,6,16.8,100.8,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Inventory Clerk
WAS-000091,ITEM-019,LOC-012,2025-12-03,14:00:00,3,7.2,21.6,OVERCOOKED_OR_BURNT,STANDARD,Line Supervisor
WAS-000092,ITEM-086,LOC-002,2025-04-25,22:10:00,4,10.2,40.8,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Inventory Clerk
WAS-000093,ITEM-095,LOC-017,2025-10-03,14:07:00,4,4.9,19.6,CUSTOMER_SEND_BACK,STANDARD,Kitchen Manager
WAS-000094,ITEM-072,LOC-012,2025-01-30,14:53:00,4,17.5,70.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000095,ITEM-098,LOC-020,2025-02-23,15:27:00,11,6.8,74.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Sous Chef
WAS-000096,ITEM-067,LOC-009,2025-06-11,22:23:00,2,16.0,32.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Kitchen Manager
WAS-000097,ITEM-069,LOC-014,2025-05-04,15:43:00,7,14.8,103.6,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Sous Chef
WAS-000098,ITEM-065,LOC-003,2025-04-06,14:22:00,12,15.0,180.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000099,ITEM-005,LOC-003,2025-07-20,15:59:00,11,11.5,126.5,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000100,ITEM-014,LOC-016,2025-12-19,15:56:00,4,4.5,18.0,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk
WAS-000101,ITEM-005,LOC-404,2025-12-13,15:47:00,2,11.5,23.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000102,ITEM-076,LOC-404,2025-04-29,15:17:00,8,8.8,70.4,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Sous Chef
WAS-000103,ITEM-046,LOC-404,2025-04-06,23:55:00,1,24.5,24.5,OVERPRODUCTION_UNSOLD,STANDARD,Kitchen Manager
WAS-000104,ITEM-069,LOC-404,2025-02-25,15:12:00,9,14.8,133.2,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Inventory Clerk
WAS-000105,ITEM-128,LOC-404,2025-12-10,22:52:00,7,1.8,12.6,EXPIRED_SHELF_LIFE,STANDARD,Sous Chef
WAS-000106,ITEM-039,LOC-404,2025-03-22,14:42:00,5,11.2,56.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000107,ITEM-064,LOC-404,2025-12-26,22:17:00,8,23.5,188.0,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Kitchen Manager
WAS-000108,ITEM-093,LOC-404,2025-07-27,22:41:00,3,4.2,12.6,OVERPRODUCTION_UNSOLD,STANDARD,Inventory Clerk
WAS-000109,ITEM-037,LOC-404,2025-09-29,22:01:00,12,5.5,66.0,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Kitchen Manager
WAS-000110,ITEM-011,LOC-404,2025-02-17,15:37:00,6,9.8,58.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000111,ITEM-045,LOC-404,2025-10-10,14:38:00,2,12.0,24.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Inventory Clerk
WAS-000112,ITEM-027,LOC-404,2025-09-19,22:27:00,7,8.7,60.9,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000113,ITEM-144,LOC-404,2025-04-13,15:16:00,8,2.6,20.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000114,ITEM-104,LOC-404,2025-05-13,14:33:00,8,2.8,22.4,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Sous Chef
WAS-000115,ITEM-075,LOC-404,2025-10-19,23:04:00,7,16.5,115.5,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Line Supervisor
WAS-000116,ITEM-118,LOC-404,2025-04-17,14:46:00,3,4.0,12.0,PREPARATION_ERROR,PROFITABLE_LOW_SELLING,Line Supervisor
WAS-000117,ITEM-102,LOC-404,2025-10-22,22:42:00,10,5.6,56.0,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk
WAS-000118,ITEM-029,LOC-404,2025-10-21,23:44:00,7,14.5,101.5,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Line Supervisor
WAS-000119,ITEM-119,LOC-404,2025-10-25,15:12:00,10,3.2,32.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000120,ITEM-071,LOC-404,2025-08-04,23:43:00,12,9.5,114.0,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Sous Chef
WAS-000121,ITEM-104,LOC-404,2025-12-04,22:25:00,11,2.8,30.8,EXPIRED_SHELF_LIFE,PRICE_SENSITIVE,Kitchen Manager
WAS-000122,ITEM-119,LOC-404,2025-03-10,22:13:00,6,3.2,19.2,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000123,ITEM-047,LOC-404,2025-10-18,23:28:00,3,38.0,114.0,OVERPRODUCTION_UNSOLD,PROFITABLE_LOW_SELLING,Inventory Clerk
WAS-000124,ITEM-016,LOC-404,2025-10-05,15:32:00,12,10.8,129.6,EXPIRED_SHELF_LIFE,POPULAR_LOW_MARGIN,Inventory Clerk
WAS-000125,ITEM-036,LOC-404,2025-04-09,14:18:00,4,9.5,38.0,EXPIRED_SHELF_LIFE,STANDARD,Line Supervisor
WAS-000126,ITEM-065,LOC-404,2025-04-20,15:43:00,3,15.0,45.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000127,ITEM-109,LOC-404,2025-10-28,15:09:00,2,2.8,5.6,PREPARATION_ERROR,STANDARD,Kitchen Manager
WAS-000128,ITEM-115,LOC-404,2025-05-14,15:30:00,2,3.0,6.0,EXPIRED_SHELF_LIFE,STANDARD,Kitchen Manager
WAS-000129,ITEM-004,LOC-404,2025-03-09,23:56:00,4,4.8,19.2,PREPARATION_ERROR,POPULAR_LOW_MARGIN,Sous Chef
WAS-000130,ITEM-069,LOC-404,2025-12-19,23:25:00,8,14.8,118.4,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000131,ITEM-064,LOC-013,2025-12-23,14:57:00,4,23.5,94.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Kitchen Manager
WAS-000132,ITEM-035,LOC-004,2025-06-22,15:11:00,8,11.5,92.0,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Inventory Clerk
WAS-000133,ITEM-019,LOC-018,2025-08-14,15:58:00,2,7.2,14.4,EXPIRED_SHELF_LIFE,STANDARD,Kitchen Manager
WAS-000134,ITEM-053,LOC-009,2025-03-14,15:51:00,9,13.8,124.2,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk
WAS-000135,ITEM-144,LOC-007,2025-12-28,22:48:00,12,2.6,31.2,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000136,ITEM-049,LOC-015,2025-07-26,23:53:00,11,19.5,214.5,EXPIRED_SHELF_LIFE,STANDARD,Inventory Clerk
WAS-000137,ITEM-069,LOC-013,2025-11-01,23:28:00,4,14.8,59.2,PREPARATION_ERROR,HIGH_WASTAGE,Line Supervisor
WAS-000138,ITEM-083,LOC-002,2025-06-29,22:49:00,5,4.8,24.0,EQUIPMENT_COOLER_FAILURE,PRICE_SENSITIVE,Inventory Clerk
WAS-000139,ITEM-061,LOC-011,2025-12-06,15:17:00,12,18.5,222.0,EXPIRED_SHELF_LIFE,PROFITABLE_LOW_SELLING,Inventory Clerk
WAS-000140,ITEM-146,LOC-004,2025-06-27,22:15:00,3,3.4,10.2,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000141,ITEM-146,LOC-018,2025-07-05,22:57:00,7,3.4,23.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000142,ITEM-039,LOC-003,2025-01-01,15:14:00,4,11.2,44.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000143,ITEM-067,LOC-002,2025-11-21,15:04:00,4,16.0,64.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000144,ITEM-045,LOC-012,2025-02-28,22:34:00,8,12.0,96.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000145,ITEM-043,LOC-004,2025-06-19,14:13:00,8,8.5,68.0,PREPARATION_ERROR,HIGH_WASTAGE,Inventory Clerk
WAS-000146,ITEM-006,LOC-014,2025-07-28,14:54:00,8,10.2,81.6,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000147,ITEM-075,LOC-016,2025-05-21,14:22:00,9,16.5,148.5,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000148,ITEM-069,LOC-004,2025-04-20,23:34:00,8,14.8,118.4,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Sous Chef
WAS-000149,ITEM-006,LOC-012,2025-11-20,15:17:00,9,10.2,91.8,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000150,ITEM-043,LOC-019,2025-10-03,14:24:00,9,8.5,76.5,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Line Supervisor
WAS-000151,ITEM-128,LOC-019,2025-10-20,15:53:00,4,1.8,7.2,OVERCOOKED_OR_BURNT,STANDARD,Inventory Clerk
WAS-000152,ITEM-039,LOC-012,2025-03-20,14:58:00,4,11.2,44.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000153,ITEM-021,LOC-015,2025-02-19,14:05:00,11,8.9,97.9,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000154,ITEM-067,LOC-003,2025-06-12,23:11:00,4,16.0,64.0,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Kitchen Manager
WAS-000155,ITEM-148,LOC-019,2025-01-23,23:20:00,6,4.1,24.6,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Sous Chef
WAS-000156,ITEM-039,LOC-015,2025-12-17,22:21:00,9,11.2,100.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Inventory Clerk
WAS-000157,ITEM-080,LOC-020,2025-03-20,23:16:00,3,5.4,16.2,PREPARATION_ERROR,STANDARD,Kitchen Manager
WAS-000158,ITEM-095,LOC-007,2025-05-23,14:47:00,4,4.9,19.6,OVERCOOKED_OR_BURNT,STANDARD,Kitchen Manager
WAS-000159,ITEM-039,LOC-004,2025-01-28,15:41:00,7,11.2,78.4,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000160,ITEM-086,LOC-001,2025-12-28,14:48:00,12,10.2,122.4,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000161,ITEM-062,LOC-009,2025-09-25,15:53:00,5,16.0,80.0,OVERCOOKED_OR_BURNT,HIGH_WASTAGE,Kitchen Manager
WAS-000162,ITEM-075,LOC-007,2025-12-30,15:15:00,11,16.5,181.5,CUSTOMER_SEND_BACK,HIGH_WASTAGE,Sous Chef
WAS-000163,ITEM-075,LOC-005,2025-08-05,14:36:00,9,16.5,148.5,EQUIPMENT_COOLER_FAILURE,HIGH_WASTAGE,Sous Chef
WAS-000164,ITEM-071,LOC-009,2025-05-06,22:49:00,9,9.5,85.5,PREPARATION_ERROR,HIGH_WASTAGE,Line Supervisor
WAS-000165,ITEM-011,LOC-006,2025-10-15,14:49:00,4,9.8,39.2,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000166,ITEM-110,LOC-012,2025-12-23,14:37:00,6,5.8,34.8,OVERPRODUCTION_UNSOLD,HIGH_WASTAGE,Kitchen Manager
WAS-000167,ITEM-048,LOC-013,2025-09-18,23:25:00,6,26.0,156.0,EQUIPMENT_COOLER_FAILURE,STANDARD,Sous Chef
WAS-000168,ITEM-029,LOC-001,2025-02-26,15:06:00,1,14.5,14.5,OVERPRODUCTION_UNSOLD,PROFITABLE_LOW_SELLING,Line Supervisor
WAS-000169,ITEM-006,LOC-015,2025-10-14,14:50:00,12,10.2,122.4,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Kitchen Manager
WAS-000170,ITEM-074,LOC-016,2025-08-20,23:42:00,7,12.0,84.0,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Line Supervisor
WAS-000171,ITEM-082,LOC-002,2025-10-11,22:00:00,3,7.5,22.5,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Inventory Clerk
WAS-000172,ITEM-005,LOC-009,2025-11-29,14:27:00,9,11.5,103.5,PREPARATION_ERROR,HIGH_WASTAGE,Line Supervisor
WAS-000173,ITEM-069,LOC-010,2025-10-23,23:45:00,12,14.8,177.6,EXPIRED_SHELF_LIFE,HIGH_WASTAGE,Sous Chef
WAS-000174,ITEM-036,LOC-020,2025-11-05,15:46:00,4,9.5,38.0,OVERPRODUCTION_UNSOLD,STANDARD,Line Supervisor
