item_id,change_date,change_reason,baseline_price,new_price,pct_price_change,pre_change_daily_demand,post_change_daily_demand,pct_demand_change,empirical_elasticity,t_statistic,p_value,is_statistically_significant
ITEM-022,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.5,18.38,5.03,39.8,41.89,5.24,1.042,0.948,0.345,False
ITEM-023,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.0,17.85,5.0,21.02,25.02,19.03,3.806,2.587,0.011,True
ITEM-024,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,17.9,19.11,6.79,1.357,0.807,0.4211,False
ITEM-025,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,18.0,18.9,5.0,25.33,30.36,19.84,3.969,2.735,0.0072,True
ITEM-026,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,11.99,12.59,5.0,32.58,34.0,4.35,0.869,0.705,0.4825,False
ITEM-027,2025-07-01,SPOILAGE_RISK_SURCHARGE,16.5,17.32,4.97,21.1,21.21,0.54,0.108,0.084,0.9328,False
ITEM-028,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.5,16.28,5.03,17.67,21.08,19.33,3.842,2.659,0.0089,True
ITEM-029,2025-07-01,PREMIUM_TIER_OPTIMIZATION,34.0,36.38,7.0,6.14,6.15,0.16,0.022,0.013,0.9897,False
ITEM-030,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.0,14.7,5.0,13.58,16.08,18.39,3.679,2.293,0.0237,True
ITEM-031,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,15.99,16.47,3.0,52.3,59.95,14.63,4.873,2.565,0.0116,True
ITEM-032,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,18.5,19.05,2.97,50.45,58.41,15.78,5.307,2.767,0.0066,True
ITEM-033,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,18.0,18.9,5.0,32.93,34.16,3.74,0.747,0.626,0.5327,False
ITEM-034,2025-07-01,SPOILAGE_RISK_SURCHARGE,21.0,22.05,5.0,23.17,23.46,1.26,0.252,0.183,0.8549,False
ITEM-035,2025-07-01,PREMIUM_TIER_OPTIMIZATION,42.0,44.94,7.0,5.24,5.42,3.34,0.478,0.285,0.7762,False
ITEM-036,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,26.0,27.3,5.0,15.36,18.1,17.86,3.572,2.271,0.025,True
ITEM-037,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.5,18.38,5.03,32.93,38.1,15.68,3.119,2.13,0.0353,True
ITEM-038,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.99,17.84,5.0,41.55,41.92,0.89,0.177,0.151,0.8802,False
ITEM-039,2025-07-01,SPOILAGE_RISK_SURCHARGE,29.5,30.98,5.02,14.07,13.82,-1.76,-0.35,-0.215,0.8303,False
ITEM-040,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,22.0,23.1,5.0,22.67,25.93,14.42,2.883,1.967,0.0516,False
ITEM-041,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,20.0,21.0,5.0,29.42,31.7,7.78,1.556,1.209,0.2292,False
ITEM-042,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,19.0,19.95,5.0,33.33,36.75,10.26,2.052,1.57,0.1193,False
ITEM-043,2025-07-01,SPOILAGE_RISK_SURCHARGE,20.5,21.53,5.02,19.6,22.25,13.5,2.687,1.954,0.053,False
ITEM-044,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,21.0,22.05,5.0,27.2,31.54,15.96,3.192,2.338,0.021,True
ITEM-045,2025-07-01,SPOILAGE_RISK_SURCHARGE,25.0,26.25,5.0,11.69,13.08,11.86,2.372,1.465,0.1455,False
ITEM-046,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,48.0,50.4,5.0,21.4,22.62,5.71,1.143,0.784,0.4348,False
ITEM-047,2025-07-01,PREMIUM_TIER_OPTIMIZATION,125.0,133.75,7.0,3.2,2.84,-11.36,-1.623,-0.877,0.3828,False
ITEM-048,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,56.0,58.8,5.0,13.4,14.85,10.84,2.168,1.31,0.1927,False
ITEM-049,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,44.0,46.2,5.0,11.5,12.69,10.33,2.067,1.291,0.199,False
ITEM-050,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,36.0,37.8,5.0,23.23,25.62,10.29,2.057,1.509,0.134,False
ITEM-051,2025-07-01,PREMIUM_TIER_OPTIMIZATION,95.0,101.65,7.0,2.57,2.83,10.04,1.435,0.666,0.5069,False
ITEM-052,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,29.99,30.89,3.0,38.97,43.46,11.53,3.842,1.934,0.0556,False
ITEM-053,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,34.0,35.7,5.0,12.35,13.05,5.66,1.132,0.662,0.5092,False
ITEM-054,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,52.0,54.6,5.0,16.7,16.56,-0.85,-0.171,-0.112,0.9113,False
ITEM-055,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,26.5,27.83,5.02,28.0,31.54,12.65,2.52,1.991,0.0488,True
ITEM-056,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,35.0,36.75,5.0,10.39,11.9,14.55,2.91,1.734,0.0855,False
ITEM-057,2025-07-01,PREMIUM_TIER_OPTIMIZATION,49.0,52.43,7.0,4.59,3.93,-14.52,-2.074,-1.353,0.179,False
ITEM-058,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,31.0,32.55,5.0,26.33,26.72,1.47,0.295,0.236,0.814,False
ITEM-059,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,28.0,29.4,5.0,18.58,20.67,11.24,2.248,1.609,0.1104,False
ITEM-060,2025-07-01,PREMIUM_TIER_OPTIMIZATION,58.0,62.06,7.0,3.95,3.88,-1.69,-0.242,-0.134,0.8939,False
ITEM-061,2025-07-01,PREMIUM_TIER_OPTIMIZATION,46.0,49.22,7.0,8.72,9.73,11.66,1.666,1.252,0.2132,False
ITEM-062,2025-07-01,SPOILAGE_RISK_SURCHARGE,38.0,39.9,5.0,10.78,9.62,-10.76,-2.152,-1.437,0.1536,False
ITEM-063,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,34.0,35.7,5.0,24.72,28.98,17.26,3.453,2.703,0.0079,True
ITEM-064,2025-07-01,SPOILAGE_RISK_SURCHARGE,52.0,54.6,5.0,6.37,7.43,16.64,3.328,1.481,0.1414,False
ITEM-065,2025-07-01,SPOILAGE_RISK_SURCHARGE,32.0,33.6,5.0,15.75,16.31,3.56,0.713,0.467,0.6414,False
ITEM-066,2025-07-01,SPOILAGE_RISK_SURCHARGE,36.0,37.8,5.0,11.64,13.31,14.32,2.864,1.611,0.1098,False
ITEM-067,2025-07-01,SPOILAGE_RISK_SURCHARGE,35.0,36.75,5.0,16.83,17.21,2.26,0.451,0.328,0.7438,False
ITEM-068,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,19.99,20.59,3.0,40.85,46.34,13.45,4.481,2.356,0.0201,True
ITEM-069,2025-07-01,SPOILAGE_RISK_SURCHARGE,33.0,34.65,5.0,12.0,14.03,16.94,3.388,1.963,0.0521,False
ITEM-070,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,27.0,28.35,5.0,22.23,24.33,9.42,1.884,1.334,0.1846,False
ITEM-071,2025-07-01,SPOILAGE_RISK_SURCHARGE,22.0,23.1,5.0,15.25,17.33,13.63,2.725,1.613,0.1095,False
ITEM-072,2025-07-01,SPOILAGE_RISK_SURCHARGE,42.0,44.1,5.0,6.49,6.61,1.77,0.354,0.171,0.8646,False
ITEM-073,2025-07-01,PREMIUM_TIER_OPTIMIZATION,44.0,47.08,7.0,7.37,8.65,17.32,2.475,1.624,0.107,False
ITEM-074,2025-07-01,SPOILAGE_RISK_SURCHARGE,26.0,27.3,5.0,10.05,11.64,15.81,3.163,1.8,0.0744,False
ITEM-075,2025-07-01,SPOILAGE_RISK_SURCHARGE,37.0,38.85,5.0,8.17,9.49,16.23,3.245,1.61,0.11,False
ITEM-076,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,12.99,13.38,3.0,46.85,50.11,6.97,2.321,1.213,0.2276,False
ITEM-077,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.5,15.23,5.03,31.97,34.44,7.75,1.538,1.12,0.265,False
ITEM-078,2025-07-01,SPOILAGE_RISK_SURCHARGE,16.5,17.32,4.97,19.43,20.69,6.46,1.3,0.885,0.3782,False
ITEM-079,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.0,14.7,5.0,24.08,25.72,6.8,1.36,1.089,0.2783,False
ITEM-080,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,19.28,22.67,17.57,3.515,2.447,0.0159,True
ITEM-081,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.0,16.8,5.0,25.82,30.02,16.27,3.254,2.347,0.0206,True
ITEM-082,2025-07-01,SPOILAGE_RISK_SURCHARGE,15.5,16.28,5.03,21.98,24.84,12.98,2.579,1.761,0.0809,False
ITEM-083,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,13.5,14.18,5.04,29.68,31.07,4.66,0.924,0.668,0.5054,False
ITEM-084,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,13.99,14.69,5.0,22.52,23.69,5.2,1.04,0.801,0.4247,False
ITEM-085,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,21.0,22.05,5.0,23.57,27.84,18.12,3.623,2.601,0.0105,True
ITEM-086,2025-07-01,SPOILAGE_RISK_SURCHARGE,19.5,20.48,5.03,27.12,29.2,7.67,1.526,1.246,0.2153,False
ITEM-087,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.5,15.23,5.03,17.08,18.41,7.76,1.542,0.992,0.3232,False
ITEM-088,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,8.99,9.44,5.01,39.8,42.03,5.61,1.121,0.94,0.3493,False
ITEM-089,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.5,16.28,5.03,32.93,35.08,6.52,1.296,1.14,0.2566,False
ITEM-090,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.0,14.7,5.0,11.87,13.62,14.8,2.96,1.655,0.1005,False
ITEM-091,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,16.99,17.5,3.0,32.55,34.67,6.52,2.172,1.017,0.3111,False
ITEM-092,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,23.0,24.15,5.0,22.27,22.77,2.26,0.453,0.332,0.7405,False
ITEM-093,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,12.0,12.6,5.0,28.8,32.07,11.34,2.268,1.66,0.0995,False
ITEM-094,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,19.0,19.95,5.0,19.67,22.48,14.28,2.856,2.019,0.0458,True
ITEM-095,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.5,17.32,4.97,24.8,26.49,6.82,1.373,1.067,0.2884,False
ITEM-096,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,15.85,17.84,12.53,2.506,1.479,0.1417,False
ITEM-097,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.5,16.28,5.03,23.87,25.26,5.85,1.162,0.818,0.415,False
ITEM-098,2025-07-01,SPOILAGE_RISK_SURCHARGE,13.5,14.18,5.04,29.72,30.02,1.01,0.2,0.161,0.8722,False
ITEM-099,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.5,18.38,5.03,13.98,15.77,12.78,2.542,1.637,0.1044,False
ITEM-100,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.0,16.8,5.0,26.13,28.41,8.71,1.742,1.392,0.1666,False
ITEM-101,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,18.0,18.9,5.0,24.58,25.64,4.3,0.859,0.625,0.5329,False
ITEM-102,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,18.5,19.43,5.03,20.28,20.16,-0.59,-0.117,-0.084,0.9333,False
ITEM-103,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.5,15.23,5.03,21.0,21.03,0.16,0.031,0.026,0.9791,False
ITEM-104,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,9.99,10.49,5.01,31.72,31.11,-1.9,-0.379,-0.303,0.7627,False
ITEM-105,2025-07-01,PREMIUM_TIER_OPTIMIZATION,26.0,27.82,7.0,5.78,7.25,25.36,3.623,2.272,0.025,True
ITEM-106,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,10.99,11.32,3.0,48.5,52.36,7.96,2.651,1.284,0.2016,False
ITEM-107,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,7.5,7.88,5.07,39.98,44.66,11.69,2.306,1.852,0.0665,False
ITEM-108,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,9.99,10.29,3.0,43.17,45.85,6.22,2.072,1.072,0.2859,False
ITEM-109,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,9.5,9.97,4.95,26.18,29.33,12.01,2.427,1.652,0.1013,False
ITEM-110,2025-07-01,SPOILAGE_RISK_SURCHARGE,13.5,14.18,5.04,11.9,14.49,21.78,4.324,2.2,0.0298,True
ITEM-111,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,10.5,11.03,5.05,36.87,39.03,5.88,1.164,0.971,0.3336,False
ITEM-112,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,11.0,11.55,5.0,31.2,34.0,8.97,1.795,1.444,0.1517,False
ITEM-113,2025-07-01,PREMIUM_TIER_OPTIMIZATION,24.0,25.68,7.0,4.26,4.41,3.48,0.497,0.264,0.7921,False
ITEM-114,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,9.0,9.45,5.0,34.25,34.85,1.76,0.352,0.271,0.7868,False
ITEM-115,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,10.0,10.5,5.0,18.37,18.74,2.02,0.404,0.264,0.792,False
ITEM-116,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,9.5,9.97,4.95,23.1,26.46,14.54,2.939,2.005,0.0472,True
ITEM-117,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,19.53,22.3,14.14,2.828,1.774,0.0788,False
ITEM-118,2025-07-01,PREMIUM_TIER_OPTIMIZATION,16.5,17.66,7.03,4.91,5.65,15.05,2.141,1.131,0.2603,False
ITEM-119,2025-07-01,SPOILAGE_RISK_SURCHARGE,11.5,12.08,5.04,14.78,16.44,11.22,2.225,1.415,0.1598,False
ITEM-120,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,6.99,7.34,5.01,33.72,36.77,9.06,1.809,1.463,0.1462,False
ITEM-121,2025-07-01,SUPPLY_COST_SURGE_UNABSORBED,6.5,6.7,3.08,54.92,58.1,5.79,1.883,1.084,0.2807,False
ITEM-122,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,16.0,16.8,5.0,37.43,39.28,4.93,0.986,0.843,0.4008,False
ITEM-123,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.5,16.28,5.03,32.12,34.34,6.94,1.378,1.159,0.249,False
ITEM-124,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,17.0,17.85,5.0,26.22,29.25,11.55,2.311,1.763,0.0806,False
ITEM-125,2025-07-01,PREMIUM_TIER_OPTIMIZATION,28.0,29.96,7.0,5.6,5.3,-5.33,-0.761,-0.482,0.631,False
ITEM-126,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,15.0,15.75,5.0,37.55,41.34,10.1,2.021,1.599,0.1126,False
ITEM-127,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,8.5,8.93,5.06,29.78,33.39,12.12,2.396,1.868,0.0643,False
ITEM-128,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,8.99,9.44,5.01,25.57,30.36,18.75,3.746,2.588,0.0109,True
ITEM-129,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.5,15.23,5.03,28.87,31.95,10.68,2.122,1.666,0.0984,False
ITEM-130,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,13.5,14.18,5.04,34.53,39.54,14.5,2.879,2.138,0.0346,True
ITEM-131,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,14.0,14.7,5.0,26.8,31.87,18.91,3.783,2.73,0.0073,True
ITEM-132,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,13.99,14.69,5.0,40.15,41.82,4.16,0.831,0.754,0.4526,False
ITEM-133,2025-07-01,PREMIUM_TIER_OPTIMIZATION,55.0,58.85,7.0,2.83,4.09,44.55,6.364,3.191,0.0019,True
ITEM-134,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,8.5,8.93,5.06,27.18,31.1,14.4,2.847,2.321,0.022,True
ITEM-135,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,29.0,30.45,5.0,22.47,23.0,2.37,0.475,0.342,0.7327,False
ITEM-136,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,3.99,4.19,5.01,59.82,66.05,10.42,2.079,1.713,0.0894,False
ITEM-137,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,5.99,6.29,5.01,42.95,48.46,12.83,2.561,2.135,0.0348,True
ITEM-138,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,3.5,3.68,5.14,47.2,51.02,8.09,1.572,1.354,0.1784,False
ITEM-139,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,5.75,6.04,5.04,51.7,53.9,4.26,0.844,0.746,0.457,False
ITEM-140,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,5.99,6.29,5.01,44.15,50.36,14.07,2.809,2.335,0.0212,True
ITEM-141,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,6.5,6.83,5.08,30.05,36.33,20.89,4.115,2.982,0.0035,True
ITEM-142,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,5.25,5.51,4.95,31.45,34.85,10.82,2.185,1.733,0.0857,False
ITEM-143,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,4.25,4.46,4.94,25.6,28.66,11.94,2.416,1.723,0.0874,False
ITEM-144,2025-07-01,SPOILAGE_RISK_SURCHARGE,5.5,5.78,5.09,34.5,37.54,8.81,1.731,1.6,0.1123,False
ITEM-145,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,6.0,6.3,5.0,27.13,29.33,8.09,1.618,1.222,0.2242,False
ITEM-146,2025-07-01,SPOILAGE_RISK_SURCHARGE,7.99,8.39,5.01,22.47,26.05,15.95,3.185,2.342,0.0209,True
ITEM-147,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,5.5,5.78,5.09,23.57,28.67,21.66,4.255,2.903,0.0044,True
ITEM-148,2025-07-01,SPOILAGE_RISK_SURCHARGE,8.5,8.93,5.06,15.63,17.28,10.52,2.08,1.275,0.2046,False
ITEM-149,2025-07-01,PREMIUM_TIER_OPTIMIZATION,12.0,12.84,7.0,4.56,4.6,0.72,0.103,0.069,0.9451,False
ITEM-150,2025-07-01,ANNUAL_INFLATION_ADJUSTMENT,6.25,6.56,4.96,21.47,23.75,10.66,2.148,1.434,0.1543,False
ITEM-073,2025-04-01,METROPOLITAN_PREMIUM_RATE,44.0,56.43,28.25,6.41,6.24,-2.65,-0.094,-0.267,0.7899,False
ITEM-042,2025-04-01,METROPOLITAN_PREMIUM_RATE,19.0,24.37,28.26,27.92,30.34,8.7,0.308,1.521,0.1309,False
ITEM-097,2025-04-01,METROPOLITAN_PREMIUM_RATE,15.5,19.88,28.26,20.62,19.44,-5.69,-0.202,-0.842,0.4014,False
ITEM-123,2025-04-01,METROPOLITAN_PREMIUM_RATE,15.5,19.88,28.26,27.1,28.84,6.41,0.227,0.874,0.3837,False
ITEM-007,2025-04-01,METROPOLITAN_PREMIUM_RATE,15.99,20.51,28.27,25.08,25.23,0.58,0.021,0.078,0.9376,False
ITEM-048,2025-04-01,METROPOLITAN_PREMIUM_RATE,56.0,71.82,28.25,11.52,11.43,-0.79,-0.028,-0.083,0.9338,False
ITEM-070,2025-04-01,METROPOLITAN_PREMIUM_RATE,27.0,34.63,28.26,18.12,19.7,8.77,0.31,1.136,0.2585,False
ITEM-115,2025-04-01,METROPOLITAN_PREMIUM_RATE,10.0,12.82,28.2,14.12,16.87,19.5,0.691,2.238,0.0271,True
ITEM-022,2025-04-01,METROPOLITAN_PREMIUM_RATE,17.5,22.44,28.23,32.47,35.07,8.0,0.284,1.224,0.2232,False
ITEM-081,2025-04-01,METROPOLITAN_PREMIUM_RATE,16.0,20.52,28.25,21.73,24.07,10.73,0.38,1.56,0.1215,False
ITEM-137,2025-04-01,METROPOLITAN_PREMIUM_RATE,5.99,7.68,28.21,36.35,37.08,2.01,0.071,0.326,0.7451,False
ITEM-059,2025-04-01,METROPOLITAN_PREMIUM_RATE,28.0,35.91,28.25,15.18,15.82,4.19,0.148,0.513,0.6093,False
ITEM-147,2025-04-01,METROPOLITAN_PREMIUM_RATE,5.5,7.05,28.18,19.42,20.51,5.62,0.199,0.849,0.3975,False
ITEM-109,2025-04-01,METROPOLITAN_PREMIUM_RATE,9.5,12.18,28.21,22.58,24.54,8.67,0.307,1.238,0.2181,False
ITEM-024,2025-04-01,METROPOLITAN_PREMIUM_RATE,15.0,19.24,28.27,14.17,14.74,4.03,0.143,0.504,0.6152,False
ITEM-013,2025-04-01,METROPOLITAN_PREMIUM_RATE,12.99,16.66,28.25,27.62,32.13,16.35,0.579,2.338,0.0211,True
ITEM-035,2025-04-01,METROPOLITAN_PREMIUM_RATE,42.0,53.87,28.26,4.4,4.48,1.89,0.067,0.171,0.8646,False
ITEM-050,2025-04-01,METROPOLITAN_PREMIUM_RATE,36.0,46.17,28.25,18.93,19.79,4.51,0.16,0.631,0.5291,False
ITEM-090,2025-04-01,METROPOLITAN_PREMIUM_RATE,14.0,17.95,28.21,10.6,11.38,7.33,0.26,0.808,0.4206,False
ITEM-113,2025-04-01,METROPOLITAN_PREMIUM_RATE,24.0,30.78,28.25,3.72,3.85,3.39,0.12,0.244,0.8077,False
ITEM-029,2025-04-01,METROPOLITAN_PREMIUM_RATE,34.0,43.6,28.24,4.6,6.33,37.68,1.335,2.727,0.0075,True
ITEM-116,2025-04-01,METROPOLITAN_PREMIUM_RATE,9.5,12.18,28.21,19.3,21.49,11.36,0.403,1.548,0.1245,False
ITEM-130,2025-04-01,METROPOLITAN_PREMIUM_RATE,13.5,17.31,28.22,29.12,30.7,5.45,0.193,0.774,0.4406,False
ITEM-053,2025-04-01,METROPOLITAN_PREMIUM_RATE,34.0,43.6,28.24,11.62,11.64,0.2,0.007,0.023,0.9815,False
ITEM-057,2025-04-01,METROPOLITAN_PREMIUM_RATE,49.0,62.84,28.24,3.15,3.89,23.56,0.834,1.671,0.0978,False
ITEM-001,2025-05-01,SUBURBAN_VALUE_PROMOTION,8.99,8.27,-8.01,45.23,49.48,9.38,-1.171,1.519,0.1314,False
ITEM-002,2025-05-01,SUBURBAN_VALUE_PROMOTION,14.5,13.34,-8.0,41.12,47.1,14.55,-1.819,2.497,0.0139,True
ITEM-003,2025-05-01,SUBURBAN_VALUE_PROMOTION,9.5,8.74,-8.0,37.62,40.2,6.86,-0.857,1.162,0.2477,False
ITEM-004,2025-05-01,SUBURBAN_VALUE_PROMOTION,6.99,6.43,-8.01,37.58,45.16,20.17,-2.518,3.245,0.0015,True
ITEM-016,2025-05-01,SUBURBAN_VALUE_PROMOTION,13.99,12.87,-8.01,49.55,55.34,11.69,-1.461,2.065,0.0411,True
ITEM-017,2025-05-01,SUBURBAN_VALUE_PROMOTION,14.5,13.34,-8.0,43.28,49.23,13.74,-1.717,2.379,0.0189,True
ITEM-031,2025-05-01,SUBURBAN_VALUE_PROMOTION,15.99,14.71,-8.01,45.63,52.0,13.95,-1.743,2.322,0.022,True
ITEM-032,2025-05-01,SUBURBAN_VALUE_PROMOTION,18.5,17.02,-8.0,46.62,50.3,7.89,-0.986,1.469,0.1446,False
ITEM-052,2025-05-01,SUBURBAN_VALUE_PROMOTION,29.99,27.59,-8.0,32.87,38.69,17.71,-2.213,2.656,0.009,True
