order_date,item_name,actual_demand,predicted_demand,forecast_error,granularity
2025-12-02,Classic Greek Village Salad,49.0,30.68,18.32,Menu Items
2025-12-02,Classic Madagascar Vanilla Bean Gelato,32.0,43.0,-11.0,Menu Items
2025-12-02,Classic Moscow Mule Copper Mug,27.0,36.23,-9.23,Menu Items
2025-12-02,Coffee-Crusted Prime Ribeye (14oz),9.0,15.0,-6.0,Menu Items
2025-12-02,Cold Pressed Green Detox Juice,16.0,17.91,-1.91,Menu Items
2025-12-02,Colorado Rosemary Lamb Chops,11.0,11.42,-0.42,Menu Items
2025-12-02,Creamy Cashew Alfredo Tagliatelle,18.0,19.48,-1.48,Menu Items
2025-12-02,Creamy Fettuccine Alfredo,39.0,44.46,-5.46,Menu Items
2025-12-02,Crispy Buttermilk Chicken Sandwich,47.0,49.02,-2.02,Menu Items
2025-12-02,Crispy Calamari Fritti,21.0,28.47,-7.47,Menu Items
2025-12-02,Crispy Cauliflower Buffalo Bites,21.0,29.72,-8.72,Menu Items
2025-12-02,Crispy Falafel Mezze Platter,21.0,26.24,-5.24,Menu Items
2025-12-02,Crispy Parmesan Truffle Fries,36.0,53.81,-17.81,Menu Items
2025-12-02,Crispy Skin Mediterranean Branzino,7.0,13.24,-6.24,Menu Items
2025-12-02,Cubano Roast Pork Sandwich,11.0,19.56,-8.56,Menu Items
2025-12-02,Dark Chocolate Souffle Grand Marnier,8.0,5.51,2.49,Menu Items
2025-12-02,DineIQ House Draft Lager (Pint),54.0,56.93,-2.93,Menu Items
2025-12-02,DineIQ House Drip Roast Coffee,69.0,59.11,9.89,Menu Items
2025-12-02,DineIQ Signature Caesar Salad,24.0,45.76,-21.76,Menu Items
2025-12-02,DineIQ Smash Double Cheeseburger,44.0,53.56,-9.56,Menu Items
2025-12-02,Double Espresso Single Origin,48.0,47.44,0.56,Menu Items
2025-12-02,Double Pepperoni Hot Honey Pizza,67.0,54.57,12.43,Menu Items
2025-12-02,Dry-Aged Bone-in NY Strip (16oz),10.0,12.47,-2.47,Menu Items
2025-12-02,Dry-Aged Tomahawk Ribeye (36oz),2.0,3.56,-1.56,Menu Items
2025-12-02,Elderflower French 75 Champagne,13.0,32.1,-19.1,Menu Items
2025-12-02,Espresso Martini Vanilla Foam,40.0,37.77,2.23,Menu Items
2025-12-02,Fresh Squeezed Orange Juice,31.0,36.04,-5.04,Menu Items
2025-12-02,Fresh Wild Berry Pavlova,15.0,15.29,-0.29,Menu Items
2025-12-02,Fried Softshell Crab Basket,4.0,10.35,-6.35,Menu Items
2025-12-02,Garlic Butter Tiger Prawns Skewer,25.0,21.25,3.75,Menu Items
2025-12-02,Garlic Herb Breadsticks,33.0,46.37,-13.37,Menu Items
2025-12-02,Golden Mozzarella Sticks,50.0,41.69,8.31,Menu Items
2025-12-02,Golden Turmeric Lentil Soup Bowl,23.0,30.7,-7.7,Menu Items
2025-12-02,Green Goddess Farro Bowl,14.0,18.3,-4.3,Menu Items
2025-12-02,Grilled Halloumi Flatbread,10.0,14.36,-4.36,Menu Items
2025-12-02,Grilled Yellowfin Ahi Tuna Steak,24.0,13.05,10.95,Menu Items
2025-12-02,Handcrafted Lobster Ravioli,15.0,16.47,-1.47,Menu Items
2025-12-02,Heirloom Tomato Bruschetta,26.0,29.88,-3.88,Menu Items
2025-12-02,Hibiscus Berry Botanical Fizz (Mocktail),31.0,31.73,-0.73,Menu Items
2025-12-02,Jackfruit Smoky Carnitas Tacos,29.0,24.2,4.8,Menu Items
2025-12-02,Jumbo Lump Crab Cakes (2pcs),11.0,14.56,-3.56,Menu Items
2025-12-02,Kale Tahini Caesar Roasted Chickpeas,23.0,24.06,-1.06,Menu Items
2025-12-02,Key Lime Tart Graham Crust,14.0,23.09,-9.09,Menu Items
2025-12-02,Korean Gochujang Crispy Tofu,14.0,21.48,-7.48,Menu Items
2025-12-02,Lasagna Bolognese Al Forno,35.0,29.57,5.43,Menu Items
2025-12-02,Lentil Shepherd's Pie Sweet Potato,12.0,16.22,-4.22,Menu Items
2025-12-02,Linguine alle Vongole (Clams),7.0,14.17,-7.17,Menu Items
2025-12-02,Loaded Queso Nachos,24.0,34.0,-10.0,Menu Items
2025-12-02,Margherita Sourdough Pizza,61.0,55.57,5.43,Menu Items
2025-12-02,Matcha Green Tea Crepe Cake,14.0,14.61,-0.61,Menu Items
2025-12-02,Mediterranean Quinoa Crunch Bowl,32.0,30.66,1.34,Menu Items
2025-12-02,Molten Chocolate Lava Cake,59.0,43.09,15.91,Menu Items
2025-12-02,Mushroom & Walnut Bolognese,15.0,20.64,-5.64,Menu Items
2025-12-02,New York Style Cheesecake,38.0,44.23,-6.23,Menu Items
2025-12-02,Nitro Cold Brew Sweet Cream,40.0,45.31,-5.31,Menu Items
2025-12-02,Organic Earl Grey Loose Leaf Tea,9.0,29.81,-20.81,Menu Items
2025-12-02,Pacific Black Cod Miso Glaze,8.0,8.73,-0.73,Menu Items
2025-12-02,Pan-Roasted Duck Breast Plum Glaze,13.0,10.37,2.63,Menu Items
2025-12-02,Pan-Seared Chilean Sea Bass,9.0,11.36,-2.36,Menu Items
2025-12-02,Pecan Pie Bourbon Whipped Cream,14.0,18.6,-4.6,Menu Items
2025-12-02,Pepper-Crusted Bison Tenderloin,4.0,3.12,0.88,Menu Items
2025-12-02,Philly Ribeye Cheesesteak,17.0,29.12,-12.12,Menu Items
2025-12-02,Portobello Mushroom Swiss Burger,12.0,18.46,-6.46,Menu Items
2025-12-02,Prime Wagyu Truffle Burger,7.0,11.2,-4.2,Menu Items
2025-12-02,Prosciutto e Rucola Pizza,15.0,26.96,-11.96,Menu Items
2025-12-02,Quattro Formaggi Bianca,26.0,32.12,-6.12,Menu Items
2025-12-02,Rare Blue Mountain Jamaican Pour-Over,3.0,3.77,-0.77,Menu Items
2025-12-02,Rare Japanese Whisky Flight (3-pour),5.0,3.01,1.99,Menu Items
2025-12-02,Red Sangria Pitcher (House Wine),21.0,25.07,-4.07,Menu Items
2025-12-02,Reserve Osetra Caviar Blinis,2.0,2.77,-0.77,Menu Items
2025-12-02,Roasted Beet & Goat Cheese Bowl,14.0,24.76,-10.76,Menu Items
2025-12-02,Roasted Eggplant Harissa Shakshuka,8.0,17.48,-9.48,Menu Items
2025-12-02,Roasted Veal Chop Chanterelles,2.0,3.3,-1.3,Menu Items
2025-12-02,Salted Caramel Creme Brulee,38.0,32.04,5.96,Menu Items
2025-12-02,Seafood Bouillabaisse Saffron Rouille,6.0,8.25,-2.25,Menu Items
2025-12-02,Seafood Paella Valenciana,9.0,18.95,-9.95,Menu Items
2025-12-02,Seared Diver Scallops Sweet Corn,16.0,11.5,4.5,Menu Items
2025-12-02,Sesame Ahi Tuna Poke Bowl,25.0,29.11,-4.11,Menu Items
2025-12-02,Signature Smoked Old Fashioned,27.0,32.68,-5.68,Menu Items
2025-12-02,Simple Garden House Salad,35.0,38.92,-3.92,Menu Items
2025-12-02,Slow-Braised Beef Short Ribs,25.0,25.69,-0.69,Menu Items
2025-12-02,Slow-Braised Wild Boar Pappardelle,16.0,18.12,-2.12,Menu Items
2025-12-02,Smoked Bone-in Kurobuta Pork Chop,18.0,15.63,2.37,Menu Items
2025-12-02,Smoked Brisket Panini,31.0,22.36,8.64,Menu Items
2025-12-02,Smoked Duck Croquettes,15.0,19.37,-4.37,Menu Items
2025-12-02,Smoked Rosemary Paloma Tequila,39.0,28.85,10.15,Menu Items
2025-12-02,Soft-Shell Crab Sliders,6.0,8.81,-2.81,Menu Items
2025-12-02,Southwest Chipotle Chicken Bowl,29.0,35.21,-6.21,Menu Items
2025-12-02,Spaghetti All'Amatriciana,35.0,38.03,-3.03,Menu Items
2025-12-02,Spanakopita Herb Triangles,12.0,16.38,-4.38,Menu Items
2025-12-02,Sparkling San Pellegrino (750ml),31.0,26.92,4.08,Menu Items
2025-12-02,Spiced Masala Chai Latte,22.0,30.4,-8.4,Menu Items
2025-12-02,Spicy Diavola Pizza,33.0,35.57,-2.57,Menu Items
2025-12-02,Spicy Nashville Hot Chicken Bun,18.0,38.79,-20.79,Menu Items
2025-12-02,Spicy Passionfruit Mezcalita,29.0,30.86,-1.86,Menu Items
2025-12-02,Spicy Tofu Peanut Noodle Bowl,25.0,24.86,0.14,Menu Items
2025-12-02,Spicy Tuna Crispy Rice,25.0,21.97,3.03,Menu Items
2025-12-02,Steak Frites Garlic Herb Butter,43.0,39.62,3.38,Menu Items
2025-12-02,Steakhouse Flat Iron Chimichurri,32.0,27.86,4.14,Menu Items
2025-12-02,Steamed Blue Mussels White Wine,11.0,19.73,-8.73,Menu Items
2025-12-02,Strawberry Basil Smash Lemonade (Mocktail),14.0,30.15,-16.15,Menu Items
2025-12-02,Strawberry Gorgonzola Pecan Salad,21.0,22.18,-1.18,Menu Items
2025-12-02,Thai Coconut Green Curry Tofu,20.0,21.42,-1.42,Menu Items
2025-12-02,Thai Crunch Peanut Chicken Salad,23.0,26.33,-3.33,Menu Items
2025-12-02,Traditional Italian Tiramisu,39.0,35.26,3.74,Menu Items
2025-12-02,Truffle Lobster Roll,10.0,5.84,4.16,Menu Items
2025-12-02,Truffle Whipped Burrata,27.0,26.69,0.31,Menu Items
2025-12-02,Truffle Wild Mushroom Risotto,25.0,21.29,3.71,Menu Items
2025-12-02,Truffled Wild Mushroom Gnocchi,13.0,23.3,-10.3,Menu Items
2025-12-02,USDA Prime Center-Cut Filet Mignon (8oz),14.0,21.43,-7.43,Menu Items
2025-12-02,Vanilla Bean Oat Milk Latte,37.0,50.18,-13.18,Menu Items
2025-12-02,Vintage Champagne Berry Float,1.0,3.86,-2.86,Menu Items
2025-12-02,Warm Apple Cinnamon Crisp,20.0,25.39,-5.39,Menu Items
2025-12-02,Warm Churros with Spiced Dulce,38.0,33.37,4.63,Menu Items
2025-12-02,Warm Roasted Butternut Squash Bowl,17.0,12.83,4.17,Menu Items
2025-12-02,Whole Grilled Red Snapper Mojo,14.0,5.11,8.89,Menu Items
2025-12-02,Wild Alaskan Salmon Tartare,11.0,10.05,0.95,Menu Items
2025-12-02,Wild King Salmon Lemon Herb,26.0,26.4,-0.4,Menu Items
2025-12-02,Wild Rice & Avocado Harvest Bowl,20.0,23.33,-3.33,Menu Items
2025-12-02,Yuzu Lavender Gin Tonic,24.0,30.11,-6.11,Menu Items
2025-12-02,Zero-Proof Cucumber Mint Cooler,29.0,32.73,-3.73,Menu Items
2025-12-03,A5 Miyazaki Japanese Wagyu (4oz),1.0,2.77,-1.77,Menu Items
2025-12-03,Acai Berry Superfood Smoothie,28.0,22.04,5.96,Menu Items
2025-12-03,Affogato al Caffe Espresso Scoop,27.0,32.84,-5.84,Menu Items
2025-12-03,Aperol Spritz Prosecco Orange,36.0,37.92,-1.92,Menu Items
2025-12-03,Artisanal Kombucha Peach Ginger,24.0,20.71,3.29,Menu Items
2025-12-03,Artisanal Macaron Assortment (6pcs),14.0,22.19,-8.19,Menu Items
2025-12-03,Artisanal Vegan Charcuterie Board,7.0,6.41,0.59,Menu Items
2025-12-03,Avocado Supergreen Toast Sourdough,29.0,31.07,-2.07,Menu Items
2025-12-03,BBQ Glazed St. Louis Ribs (Full),15.0,22.68,-7.68,Menu Items
2025-12-03,BBQ Pulled Pork Brioche,24.0,32.06,-8.06,Menu Items
2025-12-03,Bacon Wrapped Stuffed Dates,18.0,21.84,-3.84,Menu Items
2025-12-03,Belgian Hot Chocolate Marshmallows,28.0,23.31,4.69,Menu Items
2025-12-03,Beyond Meat Gourmet Burger,39.0,33.42,5.58,Menu Items
2025-12-03,Bistro Hanger Steak Shallot Jus,21.0,19.83,1.17,Menu Items
2025-12-03,Black Angus Bacon Cheddar,30.0,38.04,-8.04,Menu Items
2025-12-03,Black Truffle Infused Manhattan,9.0,4.92,4.08,Menu Items
2025-12-03,Black Truffle Tagliolini Caviar,6.0,4.59,1.41,Menu Items
2025-12-03,Blackened Salmon Cobb Salad,19.0,25.17,-6.17,Menu Items
2025-12-03,Burrata Caprese Heirloom Salad,15.0,19.12,-4.12,Menu Items
2025-12-03,Burrata Caprese Pizza,15.0,22.23,-7.23,Menu Items
2025-12-03,Butter Poached Maine Lobster Tail,11.0,7.41,3.59,Menu Items
2025-12-03,Calabrian Sausage Rigatoni,32.0,29.76,2.24,Menu Items
2025-12-03,California Turkey Avocado Club,32.0,21.7,10.3,Menu Items
2025-12-03,Caramel Macchiato Sea Salt,59.0,46.15,12.85,Menu Items
2025-12-03,Ceremonial Iced Matcha Latte,19.0,32.35,-13.35,Menu Items
2025-12-03,Chipotle Fish Tacos (3pcs),21.0,20.07,0.93,Menu Items
2025-12-03,Classic BLT Sourdough,42.0,32.36,9.64,Menu Items
2025-12-03,Classic Buffalo Chicken Wings,42.0,50.34,-8.34,Menu Items
2025-12-03,Classic Fish & Chips Tartar,49.0,41.62,7.38,Menu Items
2025-12-03,Classic Greek Village Salad,34.0,29.57,4.43,Menu Items
2025-12-03,Classic Madagascar Vanilla Bean Gelato,50.0,41.95,8.05,Menu Items
2025-12-03,Classic Moscow Mule Copper Mug,29.0,35.17,-6.17,Menu Items
2025-12-03,Coffee-Crusted Prime Ribeye (14oz),15.0,15.12,-0.12,Menu Items
2025-12-03,Cold Pressed Green Detox Juice,14.0,17.65,-3.65,Menu Items
2025-12-03,Colorado Rosemary Lamb Chops,7.0,11.49,-4.49,Menu Items
2025-12-03,Creamy Cashew Alfredo Tagliatelle,21.0,19.55,1.45,Menu Items
2025-12-03,Creamy Fettuccine Alfredo,48.0,43.86,4.14,Menu Items
2025-12-03,Crispy Buttermilk Chicken Sandwich,55.0,46.48,8.52,Menu Items
2025-12-03,Crispy Calamari Fritti,31.0,29.03,1.97,Menu Items
2025-12-03,Crispy Cauliflower Buffalo Bites,39.0,29.7,9.3,Menu Items
2025-12-03,Crispy Falafel Mezze Platter,28.0,26.43,1.57,Menu Items
2025-12-03,Crispy Parmesan Truffle Fries,71.0,55.82,15.18,Menu Items
2025-12-03,Crispy Skin Mediterranean Branzino,13.0,13.31,-0.31,Menu Items
2025-12-03,Cubano Roast Pork Sandwich,13.0,19.56,-6.56,Menu Items
2025-12-03,Dark Chocolate Souffle Grand Marnier,4.0,5.51,-1.51,Menu Items
2025-12-03,DineIQ House Draft Lager (Pint),50.0,54.21,-4.21,Menu Items
2025-12-03,DineIQ House Drip Roast Coffee,60.0,56.79,3.21,Menu Items
2025-12-03,DineIQ Signature Caesar Salad,42.0,47.41,-5.41,Menu Items
2025-12-03,DineIQ Smash Double Cheeseburger,57.0,53.18,3.82,Menu Items
2025-12-03,Double Espresso Single Origin,49.0,46.85,2.15,Menu Items
2025-12-03,Double Pepperoni Hot Honey Pizza,30.0,53.94,-23.94,Menu Items
2025-12-03,Dry-Aged Bone-in NY Strip (16oz),15.0,12.66,2.34,Menu Items
2025-12-03,Dry-Aged Tomahawk Ribeye (36oz),2.0,3.56,-1.56,Menu Items
2025-12-03,Elderflower French 75 Champagne,33.0,29.46,3.54,Menu Items
2025-12-03,Espresso Martini Vanilla Foam,44.0,37.49,6.51,Menu Items
2025-12-03,Fresh Squeezed Orange Juice,30.0,36.26,-6.26,Menu Items
2025-12-03,Fresh Wild Berry Pavlova,12.0,15.36,-3.36,Menu Items
2025-12-03,Fried Softshell Crab Basket,10.0,10.42,-0.42,Menu Items
2025-12-03,Garlic Butter Tiger Prawns Skewer,17.0,21.63,-4.63,Menu Items
2025-12-03,Garlic Herb Breadsticks,38.0,44.36,-6.36,Menu Items
2025-12-03,Golden Mozzarella Sticks,50.0,41.36,8.64,Menu Items
2025-12-03,Golden Turmeric Lentil Soup Bowl,18.0,30.89,-12.89,Menu Items
2025-12-03,Green Goddess Farro Bowl,9.0,18.37,-9.37,Menu Items
2025-12-03,Grilled Halloumi Flatbread,8.0,14.53,-6.53,Menu Items
2025-12-03,Grilled Yellowfin Ahi Tuna Steak,19.0,13.41,5.59,Menu Items
2025-12-03,Handcrafted Lobster Ravioli,9.0,16.26,-7.26,Menu Items
2025-12-03,Heirloom Tomato Bruschetta,28.0,30.07,-2.07,Menu Items
2025-12-03,Hibiscus Berry Botanical Fizz (Mocktail),24.0,30.9,-6.9,Menu Items
2025-12-03,Jackfruit Smoky Carnitas Tacos,23.0,23.3,-0.3,Menu Items
2025-12-03,Jumbo Lump Crab Cakes (2pcs),13.0,14.91,-1.91,Menu Items
2025-12-03,Kale Tahini Caesar Roasted Chickpeas,12.0,24.46,-12.46,Menu Items
2025-12-03,Key Lime Tart Graham Crust,17.0,23.06,-6.06,Menu Items
2025-12-03,Korean Gochujang Crispy Tofu,17.0,21.59,-4.59,Menu Items
2025-12-03,Lasagna Bolognese Al Forno,26.0,30.03,-4.03,Menu Items
2025-12-03,Lentil Shepherd's Pie Sweet Potato,12.0,16.03,-4.03,Menu Items
2025-12-03,Linguine alle Vongole (Clams),27.0,14.64,12.36,Menu Items
2025-12-03,Loaded Queso Nachos,29.0,33.68,-4.68,Menu Items
2025-12-03,Margherita Sourdough Pizza,60.0,51.12,8.88,Menu Items
2025-12-03,Matcha Green Tea Crepe Cake,19.0,15.05,3.95,Menu Items
2025-12-03,Mediterranean Quinoa Crunch Bowl,57.0,31.06,25.94,Menu Items
2025-12-03,Molten Chocolate Lava Cake,44.0,41.52,2.48,Menu Items
2025-12-03,Mushroom & Walnut Bolognese,14.0,20.12,-6.12,Menu Items
2025-12-03,New York Style Cheesecake,43.0,45.72,-2.72,Menu Items
2025-12-03,Nitro Cold Brew Sweet Cream,46.0,44.3,1.7,Menu Items
2025-12-03,Organic Earl Grey Loose Leaf Tea,29.0,29.29,-0.29,Menu Items
2025-12-03,Pacific Black Cod Miso Glaze,7.0,8.68,-1.68,Menu Items
2025-12-03,Pan-Roasted Duck Breast Plum Glaze,16.0,10.59,5.41,Menu Items
2025-12-03,Pan-Seared Chilean Sea Bass,6.0,10.87,-4.87,Menu Items
2025-12-03,Pecan Pie Bourbon Whipped Cream,13.0,17.39,-4.39,Menu Items
2025-12-03,Pepper-Crusted Bison Tenderloin,3.0,3.12,-0.12,Menu Items
2025-12-03,Philly Ribeye Cheesesteak,22.0,27.71,-5.71,Menu Items
2025-12-03,Portobello Mushroom Swiss Burger,24.0,18.46,5.54,Menu Items
2025-12-03,Prime Wagyu Truffle Burger,19.0,11.25,7.75,Menu Items
2025-12-03,Prosciutto e Rucola Pizza,22.0,24.49,-2.49,Menu Items
2025-12-03,Quattro Formaggi Bianca,27.0,31.76,-4.76,Menu Items
2025-12-03,Rare Blue Mountain Jamaican Pour-Over,3.0,4.49,-1.49,Menu Items
2025-12-03,Rare Japanese Whisky Flight (3-pour),5.0,3.01,1.99,Menu Items
2025-12-03,Red Sangria Pitcher (House Wine),29.0,25.14,3.86,Menu Items
2025-12-03,Reserve Osetra Caviar Blinis,1.0,2.77,-1.77,Menu Items
2025-12-03,Roasted Beet & Goat Cheese Bowl,15.0,24.42,-9.42,Menu Items
2025-12-03,Roasted Eggplant Harissa Shakshuka,16.0,18.55,-2.55,Menu Items
2025-12-03,Roasted Veal Chop Chanterelles,7.0,3.72,3.28,Menu Items
2025-12-03,Salted Caramel Creme Brulee,35.0,30.8,4.2,Menu Items
2025-12-03,Seafood Bouillabaisse Saffron Rouille,4.0,8.64,-4.64,Menu Items
2025-12-03,Seafood Paella Valenciana,15.0,19.39,-4.39,Menu Items
2025-12-03,Seared Diver Scallops Sweet Corn,17.0,11.92,5.08,Menu Items
2025-12-03,Sesame Ahi Tuna Poke Bowl,26.0,28.88,-2.88,Menu Items
2025-12-03,Signature Smoked Old Fashioned,24.0,34.43,-10.43,Menu Items
2025-12-03,Simple Garden House Salad,37.0,38.67,-1.67,Menu Items
2025-12-03,Slow-Braised Beef Short Ribs,13.0,25.1,-12.1,Menu Items
2025-12-03,Slow-Braised Wild Boar Pappardelle,17.0,18.6,-1.6,Menu Items
2025-12-03,Smoked Bone-in Kurobuta Pork Chop,11.0,15.7,-4.7,Menu Items
2025-12-03,Smoked Brisket Panini,29.0,22.56,6.44,Menu Items
2025-12-03,Smoked Duck Croquettes,12.0,18.72,-6.72,Menu Items
2025-12-03,Smoked Rosemary Paloma Tequila,27.0,28.75,-1.75,Menu Items
2025-12-03,Soft-Shell Crab Sliders,11.0,8.19,2.81,Menu Items
2025-12-03,Southwest Chipotle Chicken Bowl,26.0,33.31,-7.31,Menu Items
2025-12-03,Spaghetti All'Amatriciana,36.0,37.6,-1.6,Menu Items
2025-12-03,Spanakopita Herb Triangles,17.0,17.05,-0.05,Menu Items
2025-12-03,Sparkling San Pellegrino (750ml),25.0,26.86,-1.86,Menu Items
2025-12-03,Spiced Masala Chai Latte,16.0,30.18,-14.18,Menu Items
2025-12-03,Spicy Diavola Pizza,24.0,33.7,-9.7,Menu Items
2025-12-03,Spicy Nashville Hot Chicken Bun,35.0,39.24,-4.24,Menu Items
2025-12-03,Spicy Passionfruit Mezcalita,33.0,31.37,1.63,Menu Items
2025-12-03,Spicy Tofu Peanut Noodle Bowl,20.0,25.4,-5.4,Menu Items
2025-12-03,Spicy Tuna Crispy Rice,27.0,22.03,4.97,Menu Items
2025-12-03,Steak Frites Garlic Herb Butter,33.0,38.93,-5.93,Menu Items
2025-12-03,Steakhouse Flat Iron Chimichurri,31.0,27.32,3.68,Menu Items
2025-12-03,Steamed Blue Mussels White Wine,19.0,19.92,-0.92,Menu Items
2025-12-03,Strawberry Basil Smash Lemonade (Mocktail),24.0,30.69,-6.69,Menu Items
2025-12-03,Strawberry Gorgonzola Pecan Salad,24.0,22.17,1.83,Menu Items
2025-12-03,Thai Coconut Green Curry Tofu,25.0,21.49,3.51,Menu Items
2025-12-03,Thai Crunch Peanut Chicken Salad,27.0,26.28,0.72,Menu Items
2025-12-03,Traditional Italian Tiramisu,36.0,35.12,0.88,Menu Items
2025-12-03,Truffle Lobster Roll,6.0,5.35,0.65,Menu Items
2025-12-03,Truffle Whipped Burrata,30.0,26.76,3.24,Menu Items
2025-12-03,Truffle Wild Mushroom Risotto,27.0,21.5,5.5,Menu Items
2025-12-03,Truffled Wild Mushroom Gnocchi,18.0,22.98,-4.98,Menu Items
2025-12-03,USDA Prime Center-Cut Filet Mignon (8oz),19.0,21.31,-2.31,Menu Items
2025-12-03,Vanilla Bean Oat Milk Latte,47.0,52.43,-5.43,Menu Items
2025-12-03,Vintage Champagne Berry Float,2.0,4.36,-2.36,Menu Items
2025-12-03,Warm Apple Cinnamon Crisp,20.0,25.06,-5.06,Menu Items
2025-12-03,Warm Churros with Spiced Dulce,38.0,33.57,4.43,Menu Items
2025-12-03,Warm Roasted Butternut Squash Bowl,7.0,13.61,-6.61,Menu Items
2025-12-03,Whole Grilled Red Snapper Mojo,11.0,5.67,5.33,Menu Items
2025-12-03,Wild Alaskan Salmon Tartare,6.0,10.0,-4.0,Menu Items
2025-12-03,Wild King Salmon Lemon Herb,34.0,26.35,7.65,Menu Items
2025-12-03,Wild Rice & Avocado Harvest Bowl,26.0,21.95,4.05,Menu Items
2025-12-03,Yuzu Lavender Gin Tonic,25.0,29.94,-4.94,Menu Items
2025-12-03,Zero-Proof Cucumber Mint Cooler,39.0,30.97,8.03,Menu Items
2025-12-04,A5 Miyazaki Japanese Wagyu (4oz),0.0,3.28,-3.28,Menu Items
2025-12-04,Acai Berry Superfood Smoothie,33.0,26.85,6.15,Menu Items
2025-12-04,Affogato al Caffe Espresso Scoop,39.0,39.82,-0.82,Menu Items
2025-12-04,Aperol Spritz Prosecco Orange,26.0,45.66,-19.66,Menu Items
2025-12-04,Artisanal Kombucha Peach Ginger,11.0,26.08,-15.08,Menu Items
2025-12-04,Artisanal Macaron Assortment (6pcs),20.0,25.38,-5.38,Menu Items
2025-12-04,Artisanal Vegan Charcuterie Board,9.0,7.9,1.1,Menu Items
2025-12-04,Avocado Supergreen Toast Sourdough,23.0,36.75,-13.75,Menu Items
2025-12-04,BBQ Glazed St. Louis Ribs (Full),16.0,28.12,-12.12,Menu Items
2025-12-04,BBQ Pulled Pork Brioche,29.0,36.91,-7.91,Menu Items
2025-12-04,Bacon Wrapped Stuffed Dates,13.0,25.59,-12.59,Menu Items
2025-12-04,Belgian Hot Chocolate Marshmallows,27.0,28.63,-1.63,Menu Items
2025-12-04,Beyond Meat Gourmet Burger,42.0,37.1,4.9,Menu Items
2025-12-04,Bistro Hanger Steak Shallot Jus,16.0,21.64,-5.64,Menu Items
2025-12-04,Black Angus Bacon Cheddar,37.0,48.02,-11.02,Menu Items
2025-12-04,Black Truffle Infused Manhattan,6.0,4.94,1.06,Menu Items
2025-12-04,Black Truffle Tagliolini Caviar,8.0,5.16,2.84,Menu Items
2025-12-04,Blackened Salmon Cobb Salad,33.0,30.12,2.88,Menu Items
2025-12-04,Burrata Caprese Heirloom Salad,20.0,21.51,-1.51,Menu Items
2025-12-04,Burrata Caprese Pizza,5.0,24.44,-19.44,Menu Items
2025-12-04,Butter Poached Maine Lobster Tail,6.0,8.6,-2.6,Menu Items
2025-12-04,Calabrian Sausage Rigatoni,42.0,34.81,7.19,Menu Items
2025-12-04,California Turkey Avocado Club,23.0,26.85,-3.85,Menu Items
2025-12-04,Caramel Macchiato Sea Salt,45.0,56.1,-11.1,Menu Items
2025-12-04,Ceremonial Iced Matcha Latte,16.0,39.37,-23.37,Menu Items
