customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,basket_size,discount_percentage,promotion_dependency,peak_hour_frequency,weekend_order_ratio,channel_preference,primary_location_id,location_performance,customer_recency,customer_frequency,customer_monetary_value,average_order_value,r_score,f_score,m_score,rfm_segment
CUST-00029,REGULAR,BRONZE,1742,0.606,21.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-002,269.75,181,1,410.24,410.24,2,1,3,Hibernating / Churned
CUST-00030,REGULAR,BRONZE,2376,0.498,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00031,CHURNED,SILVER,112,0.942,19.0,4.9,1.0,0.0,0.0,DELIVERY,LOC-010,269.35,246,1,349.03,349.03,2,1,3,Hibernating / Churned
CUST-00032,CHURNED,BRONZE,570,0.815,16.0,1.92,0.4,0.8,0.6,DINE_IN,LOC-004,268.69,17,5,1581.01,316.2,5,5,5,Champions
CUST-00033,REGULAR,SILVER,262,0.479,14.0,0.82,0.2,0.2,0.6,TAKEOUT,LOC-004,268.69,130,5,1121.83,224.37,3,5,5,Loyal Customers
CUST-00034,REGULAR,BRONZE,1386,0.307,21.0,1.41,0.5,0.5,0.5,TAKEOUT,LOC-017,269.26,87,2,725.0,362.5,4,3,4,Loyal Customers
CUST-00035,REGULAR,BRONZE,509,0.233,13.33,0.0,0.0,0.3333,0.0,DINE_IN,LOC-004,268.69,149,3,691.41,230.47,3,4,4,Loyal Customers
CUST-00036,CHURNED,BRONZE,341,0.83,13.67,3.66,0.6667,0.6667,0.3333,DINE_IN,LOC-006,269.65,44,3,1007.23,335.74,4,4,5,Champions
CUST-00037,CHURNED,BRONZE,58,0.927,20.75,1.49,0.5,0.5,0.75,DINE_IN,LOC-006,269.65,95,4,1648.62,412.16,4,5,5,Champions
CUST-00038,CHURNED,BRONZE,159,0.941,12.5,13.25,1.0,1.0,1.0,TAKEOUT,LOC-001,271.44,31,2,388.76,194.38,5,3,3,Loyal Customers
CUST-00039,OCCASIONAL,SILVER,1181,0.427,15.67,0.0,0.0,0.6667,0.6667,DINE_IN,LOC-005,267.73,12,3,1421.28,473.76,5,4,5,Champions
CUST-00040,HIGH_VALUE,PLATINUM,3222,0.02,15.2,3.88,0.4,0.4,0.2,DINE_IN,LOC-001,271.44,29,5,1132.18,226.44,5,5,5,Champions
CUST-00041,REGULAR,SILVER,1851,0.452,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-005,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00042,OCCASIONAL,SILVER,706,0.393,15.0,3.62,0.5,0.0,0.0,DINE_IN,LOC-013,269.98,33,2,504.67,252.34,5,3,3,Loyal Customers
CUST-00043,CHURNED,BRONZE,155,0.867,14.25,1.0,0.25,0.25,0.25,TAKEOUT,LOC-007,269.88,59,4,1066.25,266.56,4,5,5,Champions
CUST-00044,OCCASIONAL,GOLD,825,0.597,14.5,0.0,0.0,0.5,0.0,DINE_IN,LOC-016,268.49,132,2,611.05,305.53,3,3,4,Loyal Customers
CUST-00045,NEW,BRONZE,205,0.234,13.6,1.51,0.2,0.2,0.6,DINE_IN,LOC-017,269.26,3,5,1105.34,221.07,5,5,5,Champions
CUST-00046,NEW,BRONZE,97,0.274,12.0,0.0,0.0,1.0,0.0,TAKEOUT,LOC-001,271.44,76,1,213.76,213.76,4,1,2,Recent First-Time
CUST-00047,REGULAR,BRONZE,891,0.379,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-009,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00048,REGULAR,BRONZE,2296,0.349,15.5,0.0,0.0,1.0,1.0,DINE_IN,LOC-009,268.34,262,2,731.03,365.52,2,3,4,At Risk - High Value
CUST-00049,REGULAR,BRONZE,1879,0.356,17.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44,156,1,415.92,415.92,3,1,3,Potential Loyalists
CUST-00050,REGULAR,BRONZE,1886,0.201,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00051,REGULAR,GOLD,1452,0.48,22.0,0.0,0.0,1.0,0.5,DELIVERY,LOC-004,268.69,101,2,835.19,417.6,3,3,5,Loyal Customers
CUST-00052,OCCASIONAL,BRONZE,1311,0.449,14.5,6.14,0.5,0.5,1.0,DINE_IN,LOC-016,268.49,88,2,564.0,282.0,4,3,4,Loyal Customers
CUST-00053,OCCASIONAL,SILVER,1332,0.383,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00054,REGULAR,BRONZE,1911,0.504,15.0,1.47,0.1667,0.6667,0.3333,DELIVERY,LOC-011,266.91,166,6,1735.77,289.3,3,5,5,Loyal Customers
CUST-00055,OCCASIONAL,SILVER,1472,0.242,13.0,7.32,1.0,0.0,1.0,DRIVE_THRU,LOC-018,269.37,305,1,205.62,205.62,2,1,2,Hibernating / Churned
CUST-00056,REGULAR,BRONZE,289,0.31,15.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-013,269.98,88,1,249.2,249.2,4,1,2,Recent First-Time
CUST-00057,REGULAR,SILVER,1672,0.422,13.0,0.0,0.0,0.0,1.0,DRIVE_THRU,LOC-006,269.65,227,1,210.51,210.51,2,1,2,Hibernating / Churned
CUST-00058,CHURNED,SILVER,159,0.948,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00059,REGULAR,GOLD,597,0.405,20.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-019,265.36,173,1,380.43,380.43,3,1,3,Potential Loyalists
CUST-00060,OCCASIONAL,SILVER,2167,0.392,26.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44,229,1,578.92,578.92,2,1,4,Hibernating / Churned
CUST-00061,OCCASIONAL,BRONZE,1112,0.578,11.0,3.82,0.3333,1.0,0.0,DINE_IN,LOC-017,269.26,134,3,539.26,179.75,3,4,4,Loyal Customers
CUST-00062,OCCASIONAL,BRONZE,1270,0.306,8.5,0.0,0.0,1.0,0.0,DELIVERY,LOC-008,271.8,176,2,303.33,151.67,2,3,2,At Risk - High Value
CUST-00063,REGULAR,BRONZE,725,0.518,13.67,3.74,0.3333,0.3333,0.0,DINE_IN,LOC-016,268.49,226,3,789.97,263.32,2,4,5,At Risk - High Value
CUST-00064,REGULAR,BRONZE,1820,0.375,13.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-018,269.37,253,1,333.43,333.43,2,1,3,Hibernating / Churned
CUST-00065,NEW,BRONZE,147,0.176,21.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-006,269.65,24,1,717.05,717.05,5,1,4,Recent First-Time
CUST-00066,NEW,BRONZE,107,0.208,16.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44,146,1,430.4,430.4,3,1,3,Potential Loyalists
CUST-00067,REGULAR,BRONZE,218,0.375,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-006,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00068,NEW,BRONZE,32,0.296,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-019,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00069,OCCASIONAL,BRONZE,1855,0.261,15.0,0.0,0.0,1.0,0.0,TAKEOUT,LOC-011,266.91,135,1,245.13,245.13,3,1,2,Potential Loyalists
CUST-00070,REGULAR,BRONZE,1652,0.325,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-013,269.98,58,1,572.51,572.51,4,1,4,Recent First-Time
CUST-00071,REGULAR,GOLD,1533,0.301,18.0,0.0,0.0,0.6667,0.6667,TAKEOUT,LOC-010,269.35,123,3,1039.2,346.4,3,4,5,Loyal Customers
CUST-00072,NEW,BRONZE,63,0.14,10.5,5.88,0.5,0.5,0.0,DINE_IN,LOC-020,268.67,35,2,461.17,230.58,5,3,3,Loyal Customers
CUST-00073,REGULAR,SILVER,992,0.409,13.5,0.0,0.0,0.0,0.5,DINE_IN,LOC-020,268.67,7,2,443.58,221.79,5,3,3,Loyal Customers
CUST-00074,OCCASIONAL,SILVER,770,0.634,13.0,7.07,0.5,0.0,0.0,TAKEOUT,LOC-008,271.8,156,2,335.26,167.63,3,3,3,Loyal Customers
CUST-00075,OCCASIONAL,BRONZE,912,0.234,12.5,0.0,0.0,1.0,0.0,DINE_IN,LOC-019,265.36,254,2,417.33,208.67,2,3,3,At Risk - High Value
CUST-00076,OCCASIONAL,GOLD,595,0.558,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-017,269.26,82,1,354.87,354.87,4,1,3,Recent First-Time
CUST-00077,REGULAR,BRONZE,1497,0.206,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00078,CHURNED,SILVER,520,0.934,16.75,2.83,0.5,0.5,0.75,TAKEOUT,LOC-014,269.41,10,4,1230.58,307.65,5,5,5,Champions
CUST-00079,OCCASIONAL,BRONZE,1199,0.345,13.75,0.0,0.0,0.5,0.25,TAKEOUT,LOC-001,271.44,6,4,914.07,228.52,5,5,5,Champions
CUST-00080,CHURNED,SILVER,438,0.864,9.5,2.21,0.5,0.5,0.5,DRIVE_THRU,LOC-001,271.44,85,2,379.96,189.98,4,3,3,Loyal Customers
CUST-00081,REGULAR,BRONZE,1231,0.45,15.5,0.73,0.25,0.5,0.5,DINE_IN,LOC-009,268.34,17,4,1325.18,331.29,5,5,5,Champions
CUST-00082,OCCASIONAL,SILVER,1084,0.511,12.5,5.61,1.0,0.5,0.5,DINE_IN,LOC-005,267.73,115,2,529.82,264.91,3,3,4,Loyal Customers
CUST-00083,HIGH_VALUE,PLATINUM,6486,0.06,15.0,0.0,0.0,1.0,1.0,DINE_IN,LOC-012,270.28,39,1,327.18,327.18,4,1,3,Recent First-Time
CUST-00084,REGULAR,BRONZE,1958,0.322,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00085,REGULAR,BRONZE,2083,0.324,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-001,271.44,252,2,914.71,457.36,2,3,5,At Risk - High Value
CUST-00086,REGULAR,SILVER,1313,0.302,17.67,1.51,0.3333,0.0,0.3333,DINE_IN,LOC-001,271.44,81,3,1044.15,348.05,4,4,5,Champions
CUST-00087,REGULAR,GOLD,2366,0.331,11.8,5.05,0.6,0.8,0.2,TAKEOUT,LOC-005,267.73,106,5,892.82,178.56,3,5,5,Loyal Customers
CUST-00088,REGULAR,SILVER,2022,0.415,12.5,0.0,0.0,0.0,0.0,DINE_IN,LOC-006,269.65,37,2,475.21,237.61,5,3,3,Loyal Customers
CUST-00089,CHURNED,BRONZE,116,0.876,13.0,4.63,0.5,0.5,0.5,DINE_IN,LOC-011,266.91,304,2,510.0,255.0,2,3,4,At Risk - High Value
CUST-00090,REGULAR,BRONZE,1116,0.253,21.0,0.0,0.0,0.0,1.0,TAKEOUT,LOC-008,271.8,213,1,342.29,342.29,2,1,3,Hibernating / Churned
CUST-00091,REGULAR,BRONZE,1913,0.334,15.5,3.73,0.5,1.0,0.0,DINE_IN,LOC-020,268.67,148,4,1080.7,270.18,3,5,5,Loyal Customers
CUST-00092,OCCASIONAL,GOLD,951,0.481,16.5,3.92,0.5,1.0,0.5,DRIVE_THRU,LOC-011,266.91,46,2,633.85,316.93,4,3,4,Loyal Customers
CUST-00093,REGULAR,BRONZE,1773,0.403,14.0,3.47,0.5,0.5,0.0,DELIVERY,LOC-016,268.49,198,2,446.71,223.36,2,3,3,At Risk - High Value
CUST-00094,REGULAR,SILVER,1959,0.232,11.4,1.83,0.4,0.6,0.2,TAKEOUT,LOC-019,265.36,21,5,1062.93,212.59,5,5,5,Champions
CUST-00095,OCCASIONAL,BRONZE,2330,0.301,17.0,9.08,1.0,0.0,0.0,TAKEOUT,LOC-008,271.8,68,1,271.14,271.14,4,1,2,Recent First-Time
CUST-00096,HIGH_VALUE,PLATINUM,12249,0.117,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00097,REGULAR,SILVER,1215,0.425,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-002,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00098,CHURNED,BRONZE,306,0.805,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-019,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00099,OCCASIONAL,GOLD,1203,0.459,12.67,8.55,0.6667,0.3333,0.6667,DINE_IN,LOC-018,269.37,32,3,545.71,181.9,5,4,4,Champions
CUST-00100,OCCASIONAL,BRONZE,1885,0.486,13.67,1.98,0.3333,0.6667,0.6667,TAKEOUT,LOC-018,269.37,163,3,596.7,198.9,3,4,4,Loyal Customers
CUST-00101,REGULAR,SILVER,758,0.348,12.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-003,270.16,345,1,216.27,216.27,1,1,2,Hibernating / Churned
CUST-00102,NEW,BRONZE,9,0.191,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-013,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00103,NEW,BRONZE,0,0.232,16.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-010,269.35,80,2,787.87,393.94,4,3,5,Loyal Customers
CUST-00104,OCCASIONAL,SILVER,311,0.292,11.0,4.29,0.5,0.0,1.0,DRIVE_THRU,LOC-007,269.88,179,2,377.46,188.73,2,3,3,At Risk - High Value
CUST-00105,CHURNED,BRONZE,295,0.935,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00106,HIGH_VALUE,PLATINUM,10060,0.143,16.0,1.85,0.5,1.0,0.0,DINE_IN,LOC-012,270.28,65,2,696.86,348.43,4,3,4,Loyal Customers
CUST-00107,OCCASIONAL,BRONZE,2076,0.641,14.33,8.33,0.3333,0.3333,0.3333,DELIVERY,LOC-014,269.41,101,3,767.12,255.71,3,4,4,Loyal Customers
CUST-00108,REGULAR,SILVER,659,0.589,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00109,REGULAR,BRONZE,110,0.327,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-016,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00110,NEW,BRONZE,137,0.197,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-013,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00111,REGULAR,GOLD,1078,0.457,10.0,0.0,0.0,0.5,0.5,DRIVE_THRU,LOC-006,269.65,209,2,397.65,198.83,2,3,3,At Risk - High Value
CUST-00112,REGULAR,SILVER,1661,0.374,14.5,7.94,0.5,1.0,0.5,TAKEOUT,LOC-014,269.41,248,2,591.4,295.7,2,3,4,At Risk - High Value
CUST-00113,REGULAR,BRONZE,1459,0.591,14.0,3.28,0.5,0.5,0.0,TAKEOUT,LOC-003,270.16,50,2,507.6,253.8,4,3,4,Loyal Customers
CUST-00114,CHURNED,SILVER,469,0.965,10.5,3.54,0.5,1.0,0.0,DELIVERY,LOC-008,271.8,6,2,288.0,144.0,5,3,2,Loyal Customers
CUST-00115,REGULAR,SILVER,1445,0.584,19.33,1.68,0.3333,0.6667,0.3333,DINE_IN,LOC-007,269.88,186,3,1278.1,426.03,2,4,5,At Risk - High Value
CUST-00116,OCCASIONAL,GOLD,247,0.478,9.5,0.0,0.0,0.5,0.0,TAKEOUT,LOC-001,271.44,161,2,279.76,139.88,3,3,2,Loyal Customers
CUST-00117,CHURNED,BRONZE,150,0.944,16.5,1.49,0.25,0.5,0.5,TAKEOUT,LOC-015,268.03,150,4,1235.49,308.87,3,5,5,Loyal Customers
CUST-00118,OCCASIONAL,BRONZE,329,0.332,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00119,REGULAR,BRONZE,423,0.474,16.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-014,269.41,34,1,283.87,283.87,5,1,2,Recent First-Time
CUST-00120,CHURNED,BRONZE,310,0.887,19.0,1.89,1.0,1.0,0.0,DINE_IN,LOC-009,268.34,48,1,433.43,433.43,4,1,3,Recent First-Time
CUST-00121,CHURNED,BRONZE,125,0.884,10.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-009,268.34,353,1,153.37,153.37,1,1,2,Hibernating / Churned
CUST-00122,OCCASIONAL,SILVER,915,0.65,16.0,8.23,0.5,1.0,0.0,TAKEOUT,LOC-013,269.98,33,2,556.94,278.47,5,3,4,Loyal Customers
CUST-00123,OCCASIONAL,GOLD,1309,0.21,14.67,0.61,0.3333,1.0,0.3333,DINE_IN,LOC-020,268.67,58,3,812.25,270.75,4,4,5,Champions
CUST-00124,OCCASIONAL,GOLD,2134,0.575,10.0,0.0,0.0,1.0,0.5,DINE_IN,LOC-012,270.28,164,2,332.1,166.05,3,3,3,Loyal Customers
CUST-00125,OCCASIONAL,BRONZE,878,0.479,12.5,2.34,0.5,1.0,0.0,DINE_IN,LOC-016,268.49,223,2,450.02,225.01,2,3,3,At Risk - High Value
CUST-00126,OCCASIONAL,BRONZE,1905,0.215,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-010,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00127,REGULAR,BRONZE,641,0.554,16.5,2.88,0.5,1.0,0.5,DELIVERY,LOC-009,268.34,4,2,585.06,292.53,5,3,4,Loyal Customers
CUST-00128,CHURNED,BRONZE,543,0.984,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00129,REGULAR,BRONZE,1024,0.587,14.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-005,267.73,186,1,310.17,310.17,2,1,3,Hibernating / Churned
CUST-00130,REGULAR,BRONZE,2297,0.256,12.0,4.89,1.0,1.0,0.0,DELIVERY,LOC-019,265.36,253,1,373.64,373.64,2,1,3,Hibernating / Churned
CUST-00131,OCCASIONAL,BRONZE,1057,0.412,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-011,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00132,CHURNED,BRONZE,525,0.973,15.0,1.06,0.5,0.5,0.5,DINE_IN,LOC-017,269.26,81,2,471.98,235.99,4,3,3,Loyal Customers
CUST-00133,HIGH_VALUE,GOLD,10571,0.035,14.5,7.32,0.5,0.5,0.5,DINE_IN,LOC-016,268.49,219,2,517.85,258.93,2,3,4,At Risk - High Value
CUST-00134,REGULAR,SILVER,732,0.598,15.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-010,269.35,37,1,245.2,245.2,5,1,2,Recent First-Time
CUST-00135,REGULAR,BRONZE,1617,0.298,15.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44,266,1,235.79,235.79,2,1,2,Hibernating / Churned
CUST-00136,HIGH_VALUE,GOLD,13064,0.067,13.5,5.06,0.5,0.0,0.0,DRIVE_THRU,LOC-008,271.8,2,2,425.34,212.67,5,3,3,Loyal Customers
CUST-00137,CHURNED,BRONZE,267,0.922,11.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-019,265.36,150,1,190.94,190.94,3,1,2,Potential Loyalists
CUST-00138,REGULAR,SILVER,940,0.231,10.75,5.76,0.5,0.75,0.5,TAKEOUT,LOC-003,270.16,3,4,757.14,189.29,5,5,4,Champions
CUST-00139,NEW,BRONZE,84,0.255,6.0,0.0,0.0,0.0,0.5,DINE_IN,LOC-011,266.91,153,2,242.93,121.47,3,3,2,Loyal Customers
CUST-00140,NEW,BRONZE,33,0.208,13.0,5.3,0.6667,0.6667,0.6667,DRIVE_THRU,LOC-006,269.65,233,3,793.61,264.54,2,4,5,At Risk - High Value
CUST-00141,REGULAR,SILVER,1074,0.465,16.5,0.0,0.0,0.5,0.0,DINE_IN,LOC-004,268.69,247,2,505.18,252.59,2,3,3,At Risk - High Value
CUST-00142,OCCASIONAL,SILVER,2050,0.402,16.0,0.0,0.0,0.3333,0.3333,DINE_IN,LOC-012,270.28,34,3,903.71,301.24,5,4,5,Champions
CUST-00143,OCCASIONAL,SILVER,2235,0.336,13.4,4.17,0.4,0.8,0.4,TAKEOUT,LOC-010,269.35,25,5,1273.87,254.77,5,5,5,Champions
CUST-00144,NEW,BRONZE,175,0.122,12.0,0.0,0.0,0.0,0.0,TAKEOUT,LOC-012,270.28,54,1,248.95,248.95,4,1,2,Recent First-Time
CUST-00145,REGULAR,BRONZE,1226,0.481,15.0,0.0,0.0,0.5,0.5,DELIVERY,LOC-015,268.03,35,2,809.53,404.77,5,3,5,Loyal Customers
CUST-00146,CHURNED,BRONZE,567,0.915,14.0,0.0,0.0,1.0,1.0,DRIVE_THRU,LOC-012,270.28,11,1,201.82,201.82,5,1,2,Recent First-Time
CUST-00147,OCCASIONAL,BRONZE,1035,0.386,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00148,REGULAR,SILVER,1633,0.629,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-003,0.0,365,0,0.0,0.0,1,1,1,Hibernating / Churned
CUST-00149,NEW,BRONZE,110,0.119,23.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-012,270.28,130,1,644.15,644.15,3,1,4,Potential Loyalists
CUST-00150,HIGH_VALUE,PLATINUM,13477,0.036,17.0,0.0,0.0,1.0,1.0,DINE_IN,LOC-004,268.69,171,1,319.9,319.9,3,1,3,Potential Loyalists
CUST-00151,NEW,BRONZE,13,0.294,17.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-016,268.49,194,1,376.74,376.74,2,1,3,Hibernating / Churned
CUST-00152,OCCASIONAL,SILVER,1018,0.581,15.0,2.51,0.5,0.5,0.0,DINE_IN,LOC-013,269.98,5,2,520.09,260.05,5,3,4,Loyal Customers
