customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,basket_size,discount_percentage,promotion_dependency,peak_hour_frequency,weekend_order_ratio,channel_preference,primary_location_id,location_performance
CUST-00015,OCCASIONAL,SILVER,2299,0.538,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-010,0.0
CUST-00016,REGULAR,BRONZE,1178,0.637,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0
CUST-00017,CHURNED,SILVER,569,0.916,7.0,12.3,1.0,0.0,0.0,DINE_IN,LOC-019,265.36
CUST-00018,CHURNED,SILVER,381,0.893,21.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-005,267.73
CUST-00019,REGULAR,GOLD,422,0.239,14.5,3.15,0.5,0.5,0.0,DINE_IN,LOC-002,269.75
CUST-00020,NEW,BRONZE,168,0.195,9.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-014,269.41
CUST-00021,REGULAR,GOLD,923,0.521,19.0,3.71,0.5,1.0,0.5,TAKEOUT,LOC-017,269.26
CUST-00022,REGULAR,BRONZE,1115,0.301,11.33,1.6,0.3333,1.0,0.6667,DINE_IN,LOC-004,268.69
CUST-00023,OCCASIONAL,BRONZE,341,0.303,14.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-014,269.41
CUST-00024,OCCASIONAL,SILVER,977,0.443,12.67,6.54,0.6667,1.0,0.0,TAKEOUT,LOC-008,271.8
CUST-00025,REGULAR,SILVER,879,0.242,12.67,3.75,0.3333,0.3333,0.6667,DINE_IN,LOC-003,270.16
CUST-00026,REGULAR,SILVER,503,0.227,14.4,6.23,0.4,0.8,0.2,DINE_IN,LOC-020,268.67
CUST-00027,REGULAR,SILVER,674,0.39,8.0,0.0,0.0,1.0,1.0,TAKEOUT,LOC-001,271.44
CUST-00028,REGULAR,BRONZE,2314,0.576,15.5,7.11,1.0,0.0,0.0,DELIVERY,LOC-012,270.28
CUST-00029,REGULAR,BRONZE,1742,0.606,21.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-002,269.75
CUST-00030,REGULAR,BRONZE,2376,0.498,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0
CUST-00031,CHURNED,SILVER,112,0.942,19.0,4.9,1.0,0.0,0.0,DELIVERY,LOC-010,269.35
CUST-00032,CHURNED,BRONZE,570,0.815,16.0,1.92,0.4,0.8,0.6,DINE_IN,LOC-004,268.69
CUST-00033,REGULAR,SILVER,262,0.479,14.0,0.82,0.2,0.2,0.6,TAKEOUT,LOC-004,268.69
CUST-00034,REGULAR,BRONZE,1386,0.307,21.0,1.41,0.5,0.5,0.5,TAKEOUT,LOC-017,269.26
CUST-00035,REGULAR,BRONZE,509,0.233,13.33,0.0,0.0,0.3333,0.0,DINE_IN,LOC-004,268.69
CUST-00036,CHURNED,BRONZE,341,0.83,13.67,3.66,0.6667,0.6667,0.3333,DINE_IN,LOC-006,269.65
CUST-00037,CHURNED,BRONZE,58,0.927,20.75,1.49,0.5,0.5,0.75,DINE_IN,LOC-006,269.65
CUST-00038,CHURNED,BRONZE,159,0.941,12.5,13.25,1.0,1.0,1.0,TAKEOUT,LOC-001,271.44
CUST-00039,OCCASIONAL,SILVER,1181,0.427,15.67,0.0,0.0,0.6667,0.6667,DINE_IN,LOC-005,267.73
CUST-00040,HIGH_VALUE,PLATINUM,3222,0.02,15.2,3.88,0.4,0.4,0.2,DINE_IN,LOC-001,271.44
CUST-00041,REGULAR,SILVER,1851,0.452,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-005,0.0
CUST-00042,OCCASIONAL,SILVER,706,0.393,15.0,3.62,0.5,0.0,0.0,DINE_IN,LOC-013,269.98
CUST-00043,CHURNED,BRONZE,155,0.867,14.25,1.0,0.25,0.25,0.25,TAKEOUT,LOC-007,269.88
CUST-00044,OCCASIONAL,GOLD,825,0.597,14.5,0.0,0.0,0.5,0.0,DINE_IN,LOC-016,268.49
CUST-00045,NEW,BRONZE,205,0.234,13.6,1.51,0.2,0.2,0.6,DINE_IN,LOC-017,269.26
CUST-00046,NEW,BRONZE,97,0.274,12.0,0.0,0.0,1.0,0.0,TAKEOUT,LOC-001,271.44
CUST-00047,REGULAR,BRONZE,891,0.379,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-009,0.0
CUST-00048,REGULAR,BRONZE,2296,0.349,15.5,0.0,0.0,1.0,1.0,DINE_IN,LOC-009,268.34
CUST-00049,REGULAR,BRONZE,1879,0.356,17.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44
CUST-00050,REGULAR,BRONZE,1886,0.201,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0
CUST-00051,REGULAR,GOLD,1452,0.48,22.0,0.0,0.0,1.0,0.5,DELIVERY,LOC-004,268.69
CUST-00052,OCCASIONAL,BRONZE,1311,0.449,14.5,6.14,0.5,0.5,1.0,DINE_IN,LOC-016,268.49
CUST-00053,OCCASIONAL,SILVER,1332,0.383,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0
CUST-00054,REGULAR,BRONZE,1911,0.504,15.0,1.47,0.1667,0.6667,0.3333,DELIVERY,LOC-011,266.91
CUST-00055,OCCASIONAL,SILVER,1472,0.242,13.0,7.32,1.0,0.0,1.0,DRIVE_THRU,LOC-018,269.37
CUST-00056,REGULAR,BRONZE,289,0.31,15.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-013,269.98
CUST-00057,REGULAR,SILVER,1672,0.422,13.0,0.0,0.0,0.0,1.0,DRIVE_THRU,LOC-006,269.65
CUST-00058,CHURNED,SILVER,159,0.948,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0
CUST-00059,REGULAR,GOLD,597,0.405,20.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-019,265.36
CUST-00060,OCCASIONAL,SILVER,2167,0.392,26.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44
CUST-00061,OCCASIONAL,BRONZE,1112,0.578,11.0,3.82,0.3333,1.0,0.0,DINE_IN,LOC-017,269.26
CUST-00062,OCCASIONAL,BRONZE,1270,0.306,8.5,0.0,0.0,1.0,0.0,DELIVERY,LOC-008,271.8
CUST-00063,REGULAR,BRONZE,725,0.518,13.67,3.74,0.3333,0.3333,0.0,DINE_IN,LOC-016,268.49
CUST-00064,REGULAR,BRONZE,1820,0.375,13.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-018,269.37
CUST-00065,NEW,BRONZE,147,0.176,21.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-006,269.65
CUST-00066,NEW,BRONZE,107,0.208,16.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44
CUST-00067,REGULAR,BRONZE,218,0.375,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-006,0.0
CUST-00068,NEW,BRONZE,32,0.296,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-019,0.0
CUST-00069,OCCASIONAL,BRONZE,1855,0.261,15.0,0.0,0.0,1.0,0.0,TAKEOUT,LOC-011,266.91
CUST-00070,REGULAR,BRONZE,1652,0.325,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-013,269.98
CUST-00071,REGULAR,GOLD,1533,0.301,18.0,0.0,0.0,0.6667,0.6667,TAKEOUT,LOC-010,269.35
CUST-00072,NEW,BRONZE,63,0.14,10.5,5.88,0.5,0.5,0.0,DINE_IN,LOC-020,268.67
CUST-00073,REGULAR,SILVER,992,0.409,13.5,0.0,0.0,0.0,0.5,DINE_IN,LOC-020,268.67
CUST-00074,OCCASIONAL,SILVER,770,0.634,13.0,7.07,0.5,0.0,0.0,TAKEOUT,LOC-008,271.8
CUST-00075,OCCASIONAL,BRONZE,912,0.234,12.5,0.0,0.0,1.0,0.0,DINE_IN,LOC-019,265.36
CUST-00076,OCCASIONAL,GOLD,595,0.558,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-017,269.26
CUST-00077,REGULAR,BRONZE,1497,0.206,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0
CUST-00078,CHURNED,SILVER,520,0.934,16.75,2.83,0.5,0.5,0.75,TAKEOUT,LOC-014,269.41
CUST-00079,OCCASIONAL,BRONZE,1199,0.345,13.75,0.0,0.0,0.5,0.25,TAKEOUT,LOC-001,271.44
CUST-00080,CHURNED,SILVER,438,0.864,9.5,2.21,0.5,0.5,0.5,DRIVE_THRU,LOC-001,271.44
CUST-00081,REGULAR,BRONZE,1231,0.45,15.5,0.73,0.25,0.5,0.5,DINE_IN,LOC-009,268.34
CUST-00082,OCCASIONAL,SILVER,1084,0.511,12.5,5.61,1.0,0.5,0.5,DINE_IN,LOC-005,267.73
CUST-00083,HIGH_VALUE,PLATINUM,6486,0.06,15.0,0.0,0.0,1.0,1.0,DINE_IN,LOC-012,270.28
CUST-00084,REGULAR,BRONZE,1958,0.322,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-007,0.0
CUST-00085,REGULAR,BRONZE,2083,0.324,20.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-001,271.44
CUST-00086,REGULAR,SILVER,1313,0.302,17.67,1.51,0.3333,0.0,0.3333,DINE_IN,LOC-001,271.44
CUST-00087,REGULAR,GOLD,2366,0.331,11.8,5.05,0.6,0.8,0.2,TAKEOUT,LOC-005,267.73
CUST-00088,REGULAR,SILVER,2022,0.415,12.5,0.0,0.0,0.0,0.0,DINE_IN,LOC-006,269.65
CUST-00089,CHURNED,BRONZE,116,0.876,13.0,4.63,0.5,0.5,0.5,DINE_IN,LOC-011,266.91
CUST-00090,REGULAR,BRONZE,1116,0.253,21.0,0.0,0.0,0.0,1.0,TAKEOUT,LOC-008,271.8
CUST-00091,REGULAR,BRONZE,1913,0.334,15.5,3.73,0.5,1.0,0.0,DINE_IN,LOC-020,268.67
CUST-00092,OCCASIONAL,GOLD,951,0.481,16.5,3.92,0.5,1.0,0.5,DRIVE_THRU,LOC-011,266.91
CUST-00093,REGULAR,BRONZE,1773,0.403,14.0,3.47,0.5,0.5,0.0,DELIVERY,LOC-016,268.49
CUST-00094,REGULAR,SILVER,1959,0.232,11.4,1.83,0.4,0.6,0.2,TAKEOUT,LOC-019,265.36
CUST-00095,OCCASIONAL,BRONZE,2330,0.301,17.0,9.08,1.0,0.0,0.0,TAKEOUT,LOC-008,271.8
CUST-00096,HIGH_VALUE,PLATINUM,12249,0.117,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0
CUST-00097,REGULAR,SILVER,1215,0.425,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-002,0.0
CUST-00098,CHURNED,BRONZE,306,0.805,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-019,0.0
CUST-00099,OCCASIONAL,GOLD,1203,0.459,12.67,8.55,0.6667,0.3333,0.6667,DINE_IN,LOC-018,269.37
CUST-00100,OCCASIONAL,BRONZE,1885,0.486,13.67,1.98,0.3333,0.6667,0.6667,TAKEOUT,LOC-018,269.37
CUST-00101,REGULAR,SILVER,758,0.348,12.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-003,270.16
CUST-00102,NEW,BRONZE,9,0.191,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-013,0.0
CUST-00103,NEW,BRONZE,0,0.232,16.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-010,269.35
CUST-00104,OCCASIONAL,SILVER,311,0.292,11.0,4.29,0.5,0.0,1.0,DRIVE_THRU,LOC-007,269.88
CUST-00105,CHURNED,BRONZE,295,0.935,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0
CUST-00106,HIGH_VALUE,PLATINUM,10060,0.143,16.0,1.85,0.5,1.0,0.0,DINE_IN,LOC-012,270.28
CUST-00107,OCCASIONAL,BRONZE,2076,0.641,14.33,8.33,0.3333,0.3333,0.3333,DELIVERY,LOC-014,269.41
CUST-00108,REGULAR,SILVER,659,0.589,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-014,0.0
CUST-00109,REGULAR,BRONZE,110,0.327,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-016,0.0
CUST-00110,NEW,BRONZE,137,0.197,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-013,0.0
CUST-00111,REGULAR,GOLD,1078,0.457,10.0,0.0,0.0,0.5,0.5,DRIVE_THRU,LOC-006,269.65
CUST-00112,REGULAR,SILVER,1661,0.374,14.5,7.94,0.5,1.0,0.5,TAKEOUT,LOC-014,269.41
CUST-00113,REGULAR,BRONZE,1459,0.591,14.0,3.28,0.5,0.5,0.0,TAKEOUT,LOC-003,270.16
CUST-00114,CHURNED,SILVER,469,0.965,10.5,3.54,0.5,1.0,0.0,DELIVERY,LOC-008,271.8
CUST-00115,REGULAR,SILVER,1445,0.584,19.33,1.68,0.3333,0.6667,0.3333,DINE_IN,LOC-007,269.88
CUST-00116,OCCASIONAL,GOLD,247,0.478,9.5,0.0,0.0,0.5,0.0,TAKEOUT,LOC-001,271.44
CUST-00117,CHURNED,BRONZE,150,0.944,16.5,1.49,0.25,0.5,0.5,TAKEOUT,LOC-015,268.03
CUST-00118,OCCASIONAL,BRONZE,329,0.332,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0
CUST-00119,REGULAR,BRONZE,423,0.474,16.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-014,269.41
CUST-00120,CHURNED,BRONZE,310,0.887,19.0,1.89,1.0,1.0,0.0,DINE_IN,LOC-009,268.34
CUST-00121,CHURNED,BRONZE,125,0.884,10.0,0.0,0.0,0.0,1.0,DINE_IN,LOC-009,268.34
CUST-00122,OCCASIONAL,SILVER,915,0.65,16.0,8.23,0.5,1.0,0.0,TAKEOUT,LOC-013,269.98
CUST-00123,OCCASIONAL,GOLD,1309,0.21,14.67,0.61,0.3333,1.0,0.3333,DINE_IN,LOC-020,268.67
CUST-00124,OCCASIONAL,GOLD,2134,0.575,10.0,0.0,0.0,1.0,0.5,DINE_IN,LOC-012,270.28
CUST-00125,OCCASIONAL,BRONZE,878,0.479,12.5,2.34,0.5,1.0,0.0,DINE_IN,LOC-016,268.49
CUST-00126,OCCASIONAL,BRONZE,1905,0.215,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-010,0.0
CUST-00127,REGULAR,BRONZE,641,0.554,16.5,2.88,0.5,1.0,0.5,DELIVERY,LOC-009,268.34
CUST-00128,CHURNED,BRONZE,543,0.984,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0
CUST-00129,REGULAR,BRONZE,1024,0.587,14.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-005,267.73
CUST-00130,REGULAR,BRONZE,2297,0.256,12.0,4.89,1.0,1.0,0.0,DELIVERY,LOC-019,265.36
CUST-00131,OCCASIONAL,BRONZE,1057,0.412,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-011,0.0
CUST-00132,CHURNED,BRONZE,525,0.973,15.0,1.06,0.5,0.5,0.5,DINE_IN,LOC-017,269.26
CUST-00133,HIGH_VALUE,GOLD,10571,0.035,14.5,7.32,0.5,0.5,0.5,DINE_IN,LOC-016,268.49
CUST-00134,REGULAR,SILVER,732,0.598,15.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-010,269.35
CUST-00135,REGULAR,BRONZE,1617,0.298,15.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-001,271.44
CUST-00136,HIGH_VALUE,GOLD,13064,0.067,13.5,5.06,0.5,0.0,0.0,DRIVE_THRU,LOC-008,271.8
CUST-00137,CHURNED,BRONZE,267,0.922,11.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-019,265.36
CUST-00138,REGULAR,SILVER,940,0.231,10.75,5.76,0.5,0.75,0.5,TAKEOUT,LOC-003,270.16
CUST-00139,NEW,BRONZE,84,0.255,6.0,0.0,0.0,0.0,0.5,DINE_IN,LOC-011,266.91
CUST-00140,NEW,BRONZE,33,0.208,13.0,5.3,0.6667,0.6667,0.6667,DRIVE_THRU,LOC-006,269.65
CUST-00141,REGULAR,SILVER,1074,0.465,16.5,0.0,0.0,0.5,0.0,DINE_IN,LOC-004,268.69
CUST-00142,OCCASIONAL,SILVER,2050,0.402,16.0,0.0,0.0,0.3333,0.3333,DINE_IN,LOC-012,270.28
CUST-00143,OCCASIONAL,SILVER,2235,0.336,13.4,4.17,0.4,0.8,0.4,TAKEOUT,LOC-010,269.35
CUST-00144,NEW,BRONZE,175,0.122,12.0,0.0,0.0,0.0,0.0,TAKEOUT,LOC-012,270.28
CUST-00145,REGULAR,BRONZE,1226,0.481,15.0,0.0,0.0,0.5,0.5,DELIVERY,LOC-015,268.03
CUST-00146,CHURNED,BRONZE,567,0.915,14.0,0.0,0.0,1.0,1.0,DRIVE_THRU,LOC-012,270.28
CUST-00147,OCCASIONAL,BRONZE,1035,0.386,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-004,0.0
CUST-00148,REGULAR,SILVER,1633,0.629,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-003,0.0
CUST-00149,NEW,BRONZE,110,0.119,23.0,0.0,0.0,0.0,1.0,DELIVERY,LOC-012,270.28
CUST-00150,HIGH_VALUE,PLATINUM,13477,0.036,17.0,0.0,0.0,1.0,1.0,DINE_IN,LOC-004,268.69
CUST-00151,NEW,BRONZE,13,0.294,17.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-016,268.49
CUST-00152,OCCASIONAL,SILVER,1018,0.581,15.0,2.51,0.5,0.5,0.0,DINE_IN,LOC-013,269.98
CUST-00153,NEW,BRONZE,57,0.261,14.4,0.0,0.0,0.8,0.4,DINE_IN,LOC-013,269.98
CUST-00154,OCCASIONAL,SILVER,1195,0.213,11.67,2.78,0.3333,0.6667,0.6667,TAKEOUT,LOC-002,269.75
CUST-00155,REGULAR,GOLD,1741,0.231,17.5,5.09,0.5,0.0,0.5,DINE_IN,LOC-013,269.98
CUST-00156,OCCASIONAL,BRONZE,1958,0.353,15.0,5.43,1.0,1.0,0.5,DRIVE_THRU,LOC-013,269.98
CUST-00157,OCCASIONAL,BRONZE,303,0.503,12.0,6.47,0.5,0.75,0.0,DINE_IN,LOC-020,268.67
CUST-00158,OCCASIONAL,BRONZE,2198,0.251,10.0,15.0,1.0,0.0,0.0,DINE_IN,LOC-014,269.41
CUST-00159,REGULAR,BRONZE,1718,0.643,22.0,4.62,1.0,0.0,0.0,DRIVE_THRU,LOC-011,266.91
CUST-00160,NEW,BRONZE,65,0.158,10.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-012,270.28
CUST-00161,REGULAR,SILVER,1042,0.425,9.5,0.0,0.0,0.5,0.5,DINE_IN,LOC-004,268.69
CUST-00162,REGULAR,BRONZE,1983,0.615,12.0,0.0,0.0,0.25,0.25,DINE_IN,LOC-001,271.44
CUST-00163,REGULAR,BRONZE,1759,0.209,17.0,8.58,1.0,0.0,0.0,DINE_IN,LOC-015,268.03
CUST-00164,REGULAR,BRONZE,533,0.309,18.0,12.5,0.5,1.0,0.5,DINE_IN,LOC-001,271.44
CUST-00165,CHURNED,BRONZE,391,0.948,19.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-006,269.65
CUST-00166,OCCASIONAL,BRONZE,704,0.306,10.0,7.15,1.0,1.0,0.0,DINE_IN,LOC-010,269.35
CUST-00167,REGULAR,BRONZE,2123,0.409,12.5,18.24,1.0,1.0,0.0,DELIVERY,LOC-008,271.8
CUST-00168,OCCASIONAL,GOLD,1394,0.268,11.0,0.0,0.0,0.5,0.5,TAKEOUT,LOC-011,266.91
CUST-00169,NEW,BRONZE,14,0.17,17.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-005,267.73
CUST-00170,HIGH_VALUE,GOLD,13062,0.132,12.5,7.25,0.5,1.0,0.0,TAKEOUT,LOC-003,270.16
CUST-00171,REGULAR,BRONZE,871,0.345,14.5,0.0,0.0,0.0,0.5,TAKEOUT,LOC-010,269.35
CUST-00172,REGULAR,GOLD,445,0.427,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-015,0.0
CUST-00173,CHURNED,BRONZE,212,0.869,13.5,1.98,0.5,1.0,0.5,DRIVE_THRU,LOC-013,269.98
CUST-00174,OCCASIONAL,SILVER,1470,0.23,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-010,0.0
CUST-00175,REGULAR,BRONZE,679,0.613,17.0,6.54,1.0,1.0,1.0,DINE_IN,LOC-015,268.03
CUST-00176,REGULAR,BRONZE,1642,0.49,15.0,8.57,1.0,1.0,0.0,DELIVERY,LOC-011,266.91
CUST-00177,HIGH_VALUE,PLATINUM,8428,0.022,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-011,0.0
CUST-00178,CHURNED,BRONZE,190,0.829,9.0,5.29,1.0,1.0,0.0,TAKEOUT,LOC-012,270.28
CUST-00179,NEW,BRONZE,189,0.277,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-020,0.0
CUST-00180,REGULAR,BRONZE,840,0.574,12.0,0.0,0.0,0.5,0.0,DELIVERY,LOC-003,270.16
CUST-00181,OCCASIONAL,BRONZE,1072,0.636,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-015,0.0
CUST-00182,REGULAR,BRONZE,2021,0.607,5.0,0.0,0.0,1.0,0.0,DELIVERY,LOC-008,271.8
CUST-00183,CHURNED,SILVER,441,0.896,16.33,0.0,0.0,0.3333,0.6667,DINE_IN,LOC-001,271.44
CUST-00184,NEW,BRONZE,223,0.15,17.2,0.92,0.2,0.4,0.4,DINE_IN,LOC-013,269.98
CUST-00185,CHURNED,SILVER,177,0.854,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0
CUST-00186,REGULAR,BRONZE,1009,0.568,12.0,0.0,0.0,1.0,0.3333,DINE_IN,LOC-010,269.35
CUST-00187,HIGH_VALUE,GOLD,8826,0.149,11.0,0.0,0.0,1.0,0.0,DRIVE_THRU,LOC-003,270.16
CUST-00188,NEW,BRONZE,85,0.258,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-016,0.0
CUST-00189,OCCASIONAL,SILVER,2021,0.402,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-009,0.0
CUST-00190,REGULAR,SILVER,2261,0.39,16.0,0.0,0.0,0.0,0.0,TAKEOUT,LOC-009,268.34
CUST-00191,HIGH_VALUE,PLATINUM,12704,0.079,13.17,4.24,0.6667,0.6667,0.3333,DINE_IN,LOC-001,271.44
CUST-00192,OCCASIONAL,SILVER,688,0.331,15.0,0.0,0.0,1.0,1.0,TAKEOUT,LOC-015,268.03
CUST-00193,REGULAR,SILVER,1577,0.23,18.0,4.42,0.5,0.5,0.0,DELIVERY,LOC-012,270.28
CUST-00194,OCCASIONAL,GOLD,278,0.486,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-001,0.0
CUST-00195,REGULAR,BRONZE,524,0.547,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-002,0.0
CUST-00196,REGULAR,SILVER,817,0.574,19.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-016,268.49
CUST-00197,OCCASIONAL,BRONZE,1974,0.217,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-002,0.0
CUST-00198,REGULAR,SILVER,2324,0.413,13.75,6.28,0.5,1.0,0.75,TAKEOUT,LOC-002,269.75
CUST-00199,REGULAR,GOLD,1459,0.323,17.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-009,268.34
CUST-00200,OCCASIONAL,BRONZE,865,0.423,10.0,0.0,0.0,0.5,0.5,DRIVE_THRU,LOC-017,269.26
CUST-00201,REGULAR,SILVER,423,0.394,16.0,0.0,0.0,1.0,1.0,DINE_IN,LOC-018,269.37
CUST-00202,REGULAR,BRONZE,1310,0.338,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-015,0.0
CUST-00203,REGULAR,SILVER,1544,0.477,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-002,0.0
CUST-00204,HIGH_VALUE,PLATINUM,10906,0.124,18.0,0.0,0.0,0.0,0.5,DRIVE_THRU,LOC-015,268.03
CUST-00205,NEW,BRONZE,200,0.188,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-012,0.0
CUST-00206,REGULAR,SILVER,1942,0.627,7.0,19.33,1.0,0.0,0.0,DINE_IN,LOC-013,269.98
CUST-00207,REGULAR,BRONZE,1241,0.312,11.0,6.25,1.0,0.0,0.0,TAKEOUT,LOC-009,268.34
CUST-00208,OCCASIONAL,BRONZE,1166,0.517,21.0,0.0,0.0,1.0,0.0,DRIVE_THRU,LOC-017,269.26
CUST-00209,REGULAR,GOLD,1951,0.278,16.0,0.0,0.0,1.0,0.0,DINE_IN,LOC-009,268.34
CUST-00210,OCCASIONAL,SILVER,1289,0.601,12.25,3.75,0.25,0.75,0.25,DINE_IN,LOC-015,268.03
CUST-00211,NEW,BRONZE,57,0.124,14.5,0.0,0.0,0.5,1.0,DELIVERY,LOC-017,269.26
CUST-00212,HIGH_VALUE,PLATINUM,10157,0.124,12.5,0.0,0.0,1.0,0.0,TAKEOUT,LOC-004,268.69
CUST-00213,HIGH_VALUE,PLATINUM,14277,0.082,16.0,0.0,0.0,0.0,0.0,TAKEOUT,LOC-003,270.16
CUST-00214,HIGH_VALUE,PLATINUM,9872,0.081,14.0,0.0,0.0,0.5,0.0,DRIVE_THRU,LOC-011,266.91
CUST-00215,OCCASIONAL,SILVER,628,0.395,14.0,0.0,0.0,0.0,0.0,DINE_IN,LOC-013,269.98
CUST-00216,OCCASIONAL,BRONZE,1421,0.621,0.0,0.0,0.0,0.0,0.0,Dine-in,LOC-017,0.0
CUST-00217,CHURNED,BRONZE,251,0.921,17.5,2.53,0.5,0.5,0.5,DINE_IN,LOC-003,270.16
