anomaly_category,anomaly_type,entity_id,date,description,financial_impact_or_score
sudden_sales_spikes,Sudden Sales Spike,LOC-006,2025-12-14,"Location LOC-006 daily revenue surged to $7,047.75 (25 orders) on 2025-12-14 (Z-Score: +3.16, baseline: $3,155.05)",7047.75
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-08-09,"Location LOC-003 daily revenue surged to $6,058.66 (21 orders) on 2025-08-09 (Z-Score: +3.12, baseline: $2,604.62)",6058.66
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-12-13,"Location LOC-009 daily revenue surged to $7,021.55 (22 orders) on 2025-12-13 (Z-Score: +3.11, baseline: $2,937.78)",7021.55
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-11-28,"Location LOC-009 daily revenue surged to $6,968.13 (24 orders) on 2025-11-28 (Z-Score: +3.07, baseline: $2,937.78)",6968.13
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-12-07,"Location LOC-009 daily revenue surged to $6,944.06 (22 orders) on 2025-12-07 (Z-Score: +3.05, baseline: $2,937.78)",6944.0599999999995
sudden_sales_spikes,Sudden Sales Spike,LOC-001,2025-07-12,"Location LOC-001 daily revenue surged to $10,402.02 (32 orders) on 2025-07-12 (Z-Score: +3.03, baseline: $4,828.59)",10402.02
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-11-29,"Location LOC-007 daily revenue surged to $3,491.85 (13 orders) on 2025-11-29 (Z-Score: +3.02, baseline: $1,346.38)",3491.85
sudden_sales_spikes,Sudden Sales Spike,LOC-013,2025-10-12,"Location LOC-013 daily revenue surged to $8,714.72 (30 orders) on 2025-10-12 (Z-Score: +3.00, baseline: $3,890.70)",8714.72
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-12-27,"Location LOC-014 daily revenue surged to $6,952.66 (26 orders) on 2025-12-27 (Z-Score: +2.99, baseline: $3,038.76)",6952.66
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-05-17,"Location LOC-004 daily revenue surged to $8,787.36 (28 orders) on 2025-05-17 (Z-Score: +2.95, baseline: $4,051.02)",8787.36
sudden_sales_spikes,Sudden Sales Spike,LOC-006,2025-12-28,"Location LOC-006 daily revenue surged to $6,798.16 (23 orders) on 2025-12-28 (Z-Score: +2.95, baseline: $3,155.05)",6798.16
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-07-19,"Location LOC-016 daily revenue surged to $8,379.98 (30 orders) on 2025-07-19 (Z-Score: +2.95, baseline: $3,917.04)",8379.98
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-06-22,"Location LOC-007 daily revenue surged to $3,432.39 (14 orders) on 2025-06-22 (Z-Score: +2.94, baseline: $1,346.38)",3432.39
sudden_sales_spikes,Sudden Sales Spike,LOC-006,2025-11-09,"Location LOC-006 daily revenue surged to $6,770.21 (26 orders) on 2025-11-09 (Z-Score: +2.93, baseline: $3,155.05)",6770.21
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-08-03,"Location LOC-007 daily revenue surged to $3,423.33 (11 orders) on 2025-08-03 (Z-Score: +2.92, baseline: $1,346.38)",3423.33
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-08-22,"Location LOC-003 daily revenue surged to $5,822.96 (22 orders) on 2025-08-22 (Z-Score: +2.90, baseline: $2,604.62)",5822.96
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-06-13,"Location LOC-015 daily revenue surged to $6,155.18 (22 orders) on 2025-06-13 (Z-Score: +2.90, baseline: $2,712.62)",6155.18
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-09-21,"Location LOC-014 daily revenue surged to $6,811.41 (22 orders) on 2025-09-21 (Z-Score: +2.88, baseline: $3,038.76)",6811.41
sudden_sales_spikes,Sudden Sales Spike,LOC-012,2025-06-22,"Location LOC-012 daily revenue surged to $9,718.46 (32 orders) on 2025-06-22 (Z-Score: +2.88, baseline: $4,604.47)",9718.46
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-07-13,"Location LOC-018 daily revenue surged to $5,820.13 (18 orders) on 2025-07-13 (Z-Score: +2.87, baseline: $2,605.65)",5820.13
sudden_sales_spikes,Sudden Sales Spike,LOC-013,2025-12-28,"Location LOC-013 daily revenue surged to $8,497.10 (25 orders) on 2025-12-28 (Z-Score: +2.86, baseline: $3,890.70)",8497.1
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-07-05,"Location LOC-004 daily revenue surged to $8,632.66 (33 orders) on 2025-07-05 (Z-Score: +2.86, baseline: $4,051.02)",8632.66
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-12-25,"Location LOC-016 daily revenue surged to $8,235.88 (24 orders) on 2025-12-25 (Z-Score: +2.85, baseline: $3,917.04)",8235.880000000001
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-08-17,"Location LOC-008 daily revenue surged to $7,228.69 (26 orders) on 2025-08-17 (Z-Score: +2.84, baseline: $3,204.29)",7228.69
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-12-12,"Location LOC-004 daily revenue surged to $8,575.74 (28 orders) on 2025-12-12 (Z-Score: +2.82, baseline: $4,051.02)",8575.74
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-08-16,"Location LOC-004 daily revenue surged to $8,539.00 (28 orders) on 2025-08-16 (Z-Score: +2.80, baseline: $4,051.02)",8539.0
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-11-07,"Location LOC-015 daily revenue surged to $6,039.29 (23 orders) on 2025-11-07 (Z-Score: +2.80, baseline: $2,712.62)",6039.29
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-11-23,"Location LOC-010 daily revenue surged to $9,558.77 (32 orders) on 2025-11-23 (Z-Score: +2.80, baseline: $4,415.10)",9558.77
sudden_sales_spikes,Sudden Sales Spike,LOC-019,2025-06-14,"Location LOC-019 daily revenue surged to $5,733.28 (21 orders) on 2025-06-14 (Z-Score: +2.78, baseline: $2,679.80)",5733.28
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-08-23,"Location LOC-008 daily revenue surged to $7,151.62 (22 orders) on 2025-08-23 (Z-Score: +2.78, baseline: $3,204.29)",7151.62
sudden_sales_spikes,Sudden Sales Spike,LOC-005,2025-07-19,"Location LOC-005 daily revenue surged to $6,524.49 (25 orders) on 2025-07-19 (Z-Score: +2.77, baseline: $3,058.02)",6524.49
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-07-20,"Location LOC-007 daily revenue surged to $3,309.68 (12 orders) on 2025-07-20 (Z-Score: +2.76, baseline: $1,346.38)",3309.68
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-11-21,"Location LOC-008 daily revenue surged to $7,120.19 (22 orders) on 2025-11-21 (Z-Score: +2.76, baseline: $3,204.29)",7120.19
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-10-03,"Location LOC-018 daily revenue surged to $5,692.00 (15 orders) on 2025-10-03 (Z-Score: +2.76, baseline: $2,605.65)",5692.0
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-08-30,"Location LOC-007 daily revenue surged to $3,306.46 (14 orders) on 2025-08-30 (Z-Score: +2.76, baseline: $1,346.38)",3306.46
sudden_sales_spikes,Sudden Sales Spike,LOC-006,2025-11-14,"Location LOC-006 daily revenue surged to $6,546.40 (22 orders) on 2025-11-14 (Z-Score: +2.75, baseline: $3,155.05)",6546.4
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-10-25,"Location LOC-003 daily revenue surged to $5,649.27 (20 orders) on 2025-10-25 (Z-Score: +2.75, baseline: $2,604.62)",5649.27
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-11-23,"Location LOC-014 daily revenue surged to $6,632.23 (25 orders) on 2025-11-23 (Z-Score: +2.74, baseline: $3,038.76)",6632.23
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-11-22,"Location LOC-009 daily revenue surged to $6,530.04 (24 orders) on 2025-11-22 (Z-Score: +2.74, baseline: $2,937.78)",6530.04
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-06-13,"Location LOC-009 daily revenue surged to $6,523.74 (21 orders) on 2025-06-13 (Z-Score: +2.73, baseline: $2,937.78)",6523.74
sudden_sales_spikes,Sudden Sales Spike,LOC-020,2025-06-20,"Location LOC-020 daily revenue surged to $6,045.57 (20 orders) on 2025-06-20 (Z-Score: +2.73, baseline: $2,760.27)",6045.57
sudden_sales_spikes,Sudden Sales Spike,LOC-012,2025-11-07,"Location LOC-012 daily revenue surged to $9,423.40 (35 orders) on 2025-11-07 (Z-Score: +2.71, baseline: $4,604.47)",9423.4
sudden_sales_spikes,Sudden Sales Spike,LOC-006,2025-08-29,"Location LOC-006 daily revenue surged to $6,494.80 (22 orders) on 2025-08-29 (Z-Score: +2.71, baseline: $3,155.05)",6494.8
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-06-22,"Location LOC-010 daily revenue surged to $9,388.38 (31 orders) on 2025-06-22 (Z-Score: +2.71, baseline: $4,415.10)",9388.38
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-12-12,"Location LOC-015 daily revenue surged to $5,922.92 (22 orders) on 2025-12-12 (Z-Score: +2.70, baseline: $2,712.62)",5922.92
sudden_sales_spikes,Sudden Sales Spike,LOC-012,2025-06-15,"Location LOC-012 daily revenue surged to $9,374.46 (33 orders) on 2025-06-15 (Z-Score: +2.68, baseline: $4,604.47)",9374.46
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-07-19,"Location LOC-015 daily revenue surged to $5,897.22 (19 orders) on 2025-07-19 (Z-Score: +2.68, baseline: $2,712.62)",5897.22
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-11-28,"Location LOC-008 daily revenue surged to $6,992.48 (26 orders) on 2025-11-28 (Z-Score: +2.67, baseline: $3,204.29)",6992.48
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-12-06,"Location LOC-004 daily revenue surged to $8,320.78 (31 orders) on 2025-12-06 (Z-Score: +2.66, baseline: $4,051.02)",8320.78
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-04-06,"Location LOC-014 daily revenue surged to $6,523.07 (22 orders) on 2025-04-06 (Z-Score: +2.66, baseline: $3,038.76)",6523.07
sudden_sales_spikes,Sudden Sales Spike,LOC-002,2025-12-27,"Location LOC-002 daily revenue surged to $7,513.51 (25 orders) on 2025-12-27 (Z-Score: +2.66, baseline: $3,673.02)",7513.51
sudden_sales_spikes,Sudden Sales Spike,LOC-008,2025-11-14,"Location LOC-008 daily revenue surged to $6,967.95 (22 orders) on 2025-11-14 (Z-Score: +2.65, baseline: $3,204.29)",6967.95
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-06-08,"Location LOC-010 daily revenue surged to $9,278.24 (33 orders) on 2025-06-08 (Z-Score: +2.65, baseline: $4,415.10)",9278.24
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-06-06,"Location LOC-016 daily revenue surged to $7,914.83 (25 orders) on 2025-06-06 (Z-Score: +2.64, baseline: $3,917.04)",7914.83
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-12-14,"Location LOC-007 daily revenue surged to $3,209.74 (10 orders) on 2025-12-14 (Z-Score: +2.62, baseline: $1,346.38)",3209.74
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-04-06,"Location LOC-018 daily revenue surged to $5,535.49 (18 orders) on 2025-04-06 (Z-Score: +2.62, baseline: $2,605.65)",5535.49
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-12-13,"Location LOC-010 daily revenue surged to $9,227.15 (31 orders) on 2025-12-13 (Z-Score: +2.62, baseline: $4,415.10)",9227.15
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-11-27,"Location LOC-004 daily revenue surged to $8,227.58 (27 orders) on 2025-11-27 (Z-Score: +2.60, baseline: $4,051.02)",8227.58
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-11-15,"Location LOC-016 daily revenue surged to $7,848.13 (32 orders) on 2025-11-15 (Z-Score: +2.60, baseline: $3,917.04)",7848.13
sudden_sales_spikes,Sudden Sales Spike,LOC-017,2025-07-25,"Location LOC-017 daily revenue surged to $8,596.81 (33 orders) on 2025-07-25 (Z-Score: +2.60, baseline: $4,162.13)",8596.81
sudden_sales_spikes,Sudden Sales Spike,LOC-005,2025-10-03,"Location LOC-005 daily revenue surged to $6,300.58 (24 orders) on 2025-10-03 (Z-Score: +2.59, baseline: $3,058.02)",6300.58
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-07-13,"Location LOC-004 daily revenue surged to $8,195.03 (26 orders) on 2025-07-13 (Z-Score: +2.58, baseline: $4,051.02)",8195.03
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-08-24,"Location LOC-003 daily revenue surged to $5,469.27 (17 orders) on 2025-08-24 (Z-Score: +2.58, baseline: $2,604.62)",5469.27
sudden_sales_spikes,Sudden Sales Spike,LOC-019,2025-11-16,"Location LOC-019 daily revenue surged to $5,512.58 (20 orders) on 2025-11-16 (Z-Score: +2.58, baseline: $2,679.80)",5512.58
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-10-31,"Location LOC-003 daily revenue surged to $5,462.93 (23 orders) on 2025-10-31 (Z-Score: +2.58, baseline: $2,604.62)",5462.93
sudden_sales_spikes,Sudden Sales Spike,LOC-015,2025-11-28,"Location LOC-015 daily revenue surged to $5,776.76 (21 orders) on 2025-11-28 (Z-Score: +2.58, baseline: $2,712.62)",5776.76
sudden_sales_spikes,Sudden Sales Spike,LOC-014,2025-12-13,"Location LOC-014 daily revenue surged to $6,417.59 (22 orders) on 2025-12-13 (Z-Score: +2.58, baseline: $3,038.76)",6417.59
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-11-07,"Location LOC-016 daily revenue surged to $7,815.22 (27 orders) on 2025-11-07 (Z-Score: +2.58, baseline: $3,917.04)",7815.22
sudden_sales_spikes,Sudden Sales Spike,LOC-016,2025-11-08,"Location LOC-016 daily revenue surged to $7,803.72 (27 orders) on 2025-11-08 (Z-Score: +2.57, baseline: $3,917.04)",7803.72
sudden_sales_spikes,Sudden Sales Spike,LOC-005,2025-12-19,"Location LOC-005 daily revenue surged to $6,262.56 (22 orders) on 2025-12-19 (Z-Score: +2.56, baseline: $3,058.02)",6262.5599999999995
sudden_sales_spikes,Sudden Sales Spike,LOC-019,2025-12-21,"Location LOC-019 daily revenue surged to $5,485.41 (19 orders) on 2025-12-21 (Z-Score: +2.56, baseline: $2,679.80)",5485.41
sudden_sales_spikes,Sudden Sales Spike,LOC-011,2025-12-19,"Location LOC-011 daily revenue surged to $6,473.92 (26 orders) on 2025-12-19 (Z-Score: +2.55, baseline: $3,123.95)",6473.92
sudden_sales_spikes,Sudden Sales Spike,LOC-007,2025-11-07,"Location LOC-007 daily revenue surged to $3,159.04 (9 orders) on 2025-11-07 (Z-Score: +2.55, baseline: $1,346.38)",3159.04
sudden_sales_spikes,Sudden Sales Spike,LOC-010,2025-07-04,"Location LOC-010 daily revenue surged to $9,105.97 (35 orders) on 2025-07-04 (Z-Score: +2.55, baseline: $4,415.10)",9105.97
sudden_sales_spikes,Sudden Sales Spike,LOC-018,2025-11-21,"Location LOC-018 daily revenue surged to $5,452.07 (17 orders) on 2025-11-21 (Z-Score: +2.55, baseline: $2,605.65)",5452.07
sudden_sales_spikes,Sudden Sales Spike,LOC-020,2025-06-08,"Location LOC-020 daily revenue surged to $5,822.09 (22 orders) on 2025-06-08 (Z-Score: +2.54, baseline: $2,760.27)",5822.09
sudden_sales_spikes,Sudden Sales Spike,LOC-013,2025-12-21,"Location LOC-013 daily revenue surged to $7,973.88 (29 orders) on 2025-12-21 (Z-Score: +2.54, baseline: $3,890.70)",7973.88
sudden_sales_spikes,Sudden Sales Spike,LOC-013,2025-11-28,"Location LOC-013 daily revenue surged to $7,966.36 (26 orders) on 2025-11-28 (Z-Score: +2.53, baseline: $3,890.70)",7966.36
sudden_sales_spikes,Sudden Sales Spike,LOC-009,2025-11-02,"Location LOC-009 daily revenue surged to $6,244.99 (24 orders) on 2025-11-02 (Z-Score: +2.52, baseline: $2,937.78)",6244.99
sudden_sales_spikes,Sudden Sales Spike,LOC-003,2025-08-30,"Location LOC-003 daily revenue surged to $5,394.65 (23 orders) on 2025-08-30 (Z-Score: +2.52, baseline: $2,604.62)",5394.65
sudden_sales_spikes,Sudden Sales Spike,LOC-001,2025-11-15,"Location LOC-001 daily revenue surged to $9,452.15 (34 orders) on 2025-11-15 (Z-Score: +2.51, baseline: $4,828.59)",9452.15
sudden_sales_spikes,Sudden Sales Spike,LOC-004,2025-12-05,"Location LOC-004 daily revenue surged to $8,065.49 (34 orders) on 2025-12-05 (Z-Score: +2.50, baseline: $4,051.02)",8065.49
sudden_sales_drops,Sudden Sales Drop,LOC-001,2025-02-25,"Location LOC-001 daily revenue dropped to $870.36 on 2025-02-25 (75.8% below 7d mean, Z-Score: -2.15)",870.36
sudden_sales_drops,Sudden Sales Drop,LOC-020,2025-01-07,"Location LOC-020 daily revenue dropped to $190.06 on 2025-01-07 (89.8% below 7d mean, Z-Score: -2.13)",190.06
sudden_sales_drops,Sudden Sales Drop,LOC-003,2025-01-21,"Location LOC-003 daily revenue dropped to $240.31 on 2025-01-21 (83.7% below 7d mean, Z-Score: -2.13)",240.31
sudden_sales_drops,Sudden Sales Drop,LOC-014,2025-01-07,"Location LOC-014 daily revenue dropped to $243.71 on 2025-01-07 (88.4% below 7d mean, Z-Score: -2.13)",243.71
sudden_sales_drops,Sudden Sales Drop,LOC-008,2025-02-24,"Location LOC-008 daily revenue dropped to $217.94 on 2025-02-24 (89.4% below 7d mean, Z-Score: -2.11)",217.94
sudden_sales_drops,Sudden Sales Drop,LOC-003,2025-04-23,"Location LOC-003 daily revenue dropped to $270.61 on 2025-04-23 (83.2% below 7d mean, Z-Score: -2.11)",270.61
sudden_sales_drops,Sudden Sales Drop,LOC-001,2025-03-26,"Location LOC-001 daily revenue dropped to $970.98 on 2025-03-26 (74.4% below 7d mean, Z-Score: -2.10)",970.98
sudden_sales_drops,Sudden Sales Drop,LOC-010,2025-02-11,"Location LOC-010 daily revenue dropped to $588.33 on 2025-02-11 (77.8% below 7d mean, Z-Score: -2.08)",588.3299999999999
sudden_sales_drops,Sudden Sales Drop,LOC-009,2025-01-27,"Location LOC-009 daily revenue dropped to $236.49 on 2025-01-27 (87.4% below 7d mean, Z-Score: -2.06)",236.49
sudden_sales_drops,Sudden Sales Drop,LOC-001,2025-02-27,"Location LOC-001 daily revenue dropped to $1,043.89 on 2025-02-27 (70.7% below 7d mean, Z-Score: -2.06)",1043.8899999999999
sudden_sales_drops,Sudden Sales Drop,LOC-004,2025-09-03,"Location LOC-004 daily revenue dropped to $772.61 on 2025-09-03 (81.9% below 7d mean, Z-Score: -2.04)",772.61
sudden_sales_drops,Sudden Sales Drop,LOC-002,2025-11-25,"Location LOC-002 daily revenue dropped to $720.10 on 2025-11-25 (79.1% below 7d mean, Z-Score: -2.04)",720.0999999999999
sudden_sales_drops,Sudden Sales Drop,LOC-002,2025-01-30,"Location LOC-002 daily revenue dropped to $731.24 on 2025-01-30 (76.7% below 7d mean, Z-Score: -2.04)",731.24
sudden_sales_drops,Sudden Sales Drop,LOC-011,2025-10-07,"Location LOC-011 daily revenue dropped to $462.27 on 2025-10-07 (83.4% below 7d mean, Z-Score: -2.03)",462.27
sudden_sales_drops,Sudden Sales Drop,LOC-012,2025-10-21,"Location LOC-012 daily revenue dropped to $1,014.51 on 2025-10-21 (79.9% below 7d mean, Z-Score: -2.02)",1014.51
sudden_sales_drops,Sudden Sales Drop,LOC-011,2025-04-02,"Location LOC-011 daily revenue dropped to $480.82 on 2025-04-02 (77.2% below 7d mean, Z-Score: -2.01)",480.82
sudden_sales_drops,Sudden Sales Drop,LOC-012,2025-10-28,"Location LOC-012 daily revenue dropped to $1,025.21 on 2025-10-28 (76.7% below 7d mean, Z-Score: -2.01)",1025.21
sudden_sales_drops,Sudden Sales Drop,LOC-014,2025-07-29,"Location LOC-014 daily revenue dropped to $418.21 on 2025-07-29 (87.1% below 7d mean, Z-Score: -2.00)",418.21000000000004
sudden_sales_drops,Sudden Sales Drop,LOC-012,2025-05-14,"Location LOC-012 daily revenue dropped to $1,052.31 on 2025-05-14 (70.0% below 7d mean, Z-Score: -2.00)",1052.31
sudden_sales_drops,Sudden Sales Drop,LOC-020,2025-03-04,"Location LOC-020 daily revenue dropped to $359.24 on 2025-03-04 (86.1% below 7d mean, Z-Score: -1.99)",359.24
sudden_sales_drops,Sudden Sales Drop,LOC-006,2025-02-21,"Location LOC-006 daily revenue dropped to $696.55 on 2025-02-21 (63.6% below 7d mean, Z-Score: -1.99)",696.55
sudden_sales_drops,Sudden Sales Drop,LOC-018,2025-09-16,"Location LOC-018 daily revenue dropped to $383.02 on 2025-09-16 (84.3% below 7d mean, Z-Score: -1.99)",383.02
sudden_sales_drops,Sudden Sales Drop,LOC-010,2025-02-25,"Location LOC-010 daily revenue dropped to $788.09 on 2025-02-25 (76.4% below 7d mean, Z-Score: -1.97)",788.0899999999999
sudden_sales_drops,Sudden Sales Drop,LOC-003,2025-02-05,"Location LOC-003 daily revenue dropped to $417.80 on 2025-02-05 (80.9% below 7d mean, Z-Score: -1.97)",417.79999999999995
sudden_sales_drops,Sudden Sales Drop,LOC-012,2025-04-28,"Location LOC-012 daily revenue dropped to $1,115.08 on 2025-04-28 (68.0% below 7d mean, Z-Score: -1.96)",1115.08
sudden_sales_drops,Sudden Sales Drop,LOC-010,2025-01-13,"Location LOC-010 daily revenue dropped to $815.35 on 2025-01-13 (70.9% below 7d mean, Z-Score: -1.96)",815.35
sudden_sales_drops,Sudden Sales Drop,LOC-017,2025-10-29,"Location LOC-017 daily revenue dropped to $817.04 on 2025-10-29 (77.0% below 7d mean, Z-Score: -1.96)",817.04
