order_id,customer_id,customer_segment,loyalty_tier,loyalty_points,churn_risk_score,order_date,total_amount,order_status
ORD-000064,CUST-22811,OCCASIONAL,SILVER,446.0,0.276,2025-06-02,359.88,COMPLETED
ORD-000065,CUST-49596,REGULAR,SILVER,545.0,0.648,2025-05-04,480.94,COMPLETED
ORD-000066,CUST-05169,REGULAR,SILVER,1138.0,0.595,2025-08-01,361.15,COMPLETED
ORD-000067,CUST-05973,OCCASIONAL,GOLD,1720.0,0.412,2025-03-09,173.27,COMPLETED
ORD-000068,CUST-05331,CHURNED,BRONZE,569.0,0.854,2025-11-04,233.72,COMPLETED
ORD-000069,CUST-16702,CHURNED,SILVER,362.0,0.803,2025-02-07,182.01,COMPLETED
ORD-000070,CUST-47652,REGULAR,GOLD,1832.0,0.628,2025-12-27,257.61,COMPLETED
ORD-000071,CUST-34962,REGULAR,BRONZE,264.0,0.492,2025-10-25,503.08,COMPLETED
ORD-000072,CUST-21358,OCCASIONAL,BRONZE,473.0,0.475,2025-04-01,180.68,COMPLETED
ORD-000074,CUST-40431,OCCASIONAL,GOLD,1157.0,0.265,2025-11-08,380.34,COMPLETED
ORD-000075,CUST-09002,REGULAR,BRONZE,963.0,0.426,2025-09-28,287.16,COMPLETED
ORD-000076,CUST-49489,OCCASIONAL,GOLD,446.0,0.463,2025-10-07,209.17,COMPLETED
ORD-000077,CUST-23545,REGULAR,BRONZE,143.0,0.516,2025-10-24,207.81,PENDING
ORD-000078,CUST-38490,CHURNED,BRONZE,134.0,0.975,2025-02-06,313.06,COMPLETED
ORD-000079,CUST-47073,HIGH_VALUE,PLATINUM,11641.0,0.089,2025-06-03,145.03,COMPLETED
ORD-000080,CUST-19458,NEW,BRONZE,80.0,0.208,2025-02-27,228.86,COMPLETED
ORD-000081,CUST-20532,OCCASIONAL,BRONZE,1066.0,0.354,2025-11-22,215.83,COMPLETED
ORD-000082,CUST-11982,HIGH_VALUE,PLATINUM,9623.0,0.097,2025-08-28,384.44,COMPLETED
ORD-000083,CUST-27168,OCCASIONAL,BRONZE,1528.0,0.326,2025-05-24,155.87,COMPLETED
ORD-000084,CUST-13839,CHURNED,BRONZE,218.0,0.934,2025-02-01,289.77,COMPLETED
ORD-000085,CUST-37325,REGULAR,GOLD,744.0,0.582,2025-05-16,87.48,COMPLETED
ORD-000086,CUST-00947,OCCASIONAL,SILVER,2315.0,0.328,2025-05-22,326.35,COMPLETED
ORD-000087,CUST-36545,REGULAR,SILVER,1139.0,0.263,2025-10-08,467.35,COMPLETED
ORD-000088,CUST-43951,REGULAR,GOLD,2260.0,0.44,2025-09-01,249.88,COMPLETED
ORD-000089,CUST-11704,OCCASIONAL,BRONZE,301.0,0.493,2025-11-29,237.2,COMPLETED
ORD-000090,CUST-07529,NEW,BRONZE,57.0,0.278,2025-07-10,218.38,COMPLETED
ORD-000091,CUST-29758,REGULAR,SILVER,2010.0,0.489,2025-03-01,256.35,COMPLETED
ORD-000092,CUST-45086,NEW,BRONZE,56.0,0.244,2025-10-01,170.11,COMPLETED
ORD-000093,CUST-GUEST,,,,,2025-10-20,337.67,COMPLETED
ORD-000094,CUST-47296,REGULAR,BRONZE,1259.0,0.602,2025-08-08,63.2,COMPLETED
ORD-000095,CUST-39203,REGULAR,SILVER,1657.0,0.515,2025-10-24,239.73,COMPLETED
ORD-000096,CUST-13789,REGULAR,SILVER,1273.0,0.373,2025-07-17,410.89,COMPLETED
ORD-000097,CUST-48036,CHURNED,BRONZE,382.0,0.889,2025-07-26,248.54,COMPLETED
ORD-000099,CUST-48618,NEW,BRONZE,63.0,0.17,2025-01-13,614.24,COMPLETED
ORD-000100,CUST-25122,REGULAR,GOLD,2220.0,0.514,2025-02-23,270.41,COMPLETED
ORD-000126,CUST-46373,REGULAR,BRONZE,1482.0,0.203,2025-06-25,179.3,COMPLETED
ORD-000127,CUST-24839,REGULAR,BRONZE,769.0,0.211,2025-11-09,793.46,COMPLETED
ORD-000128,CUST-16313,REGULAR,BRONZE,940.0,0.498,2025-11-21,352.77,COMPLETED
ORD-000129,CUST-47299,REGULAR,SILVER,2023.0,0.309,2025-01-04,326.65,COMPLETED
ORD-000130,CUST-20965,OCCASIONAL,SILVER,516.0,0.245,2025-07-22,260.62,COMPLETED
ORD-000131,CUST-31901,REGULAR,SILVER,979.0,0.497,2025-06-22,128.14,COMPLETED
ORD-000132,CUST-27441,OCCASIONAL,SILVER,122.0,0.409,2025-04-11,384.85,COMPLETED
ORD-000133,CUST-09190,OCCASIONAL,GOLD,1794.0,0.306,2025-03-01,306.22,COMPLETED
ORD-000134,CUST-29868,NEW,BRONZE,36.0,0.168,2025-05-26,100.37,COMPLETED
ORD-000135,CUST-45918,CHURNED,SILVER,488.0,0.883,2025-12-14,272.87,PENDING
ORD-000136,CUST-GUEST,,,,,2025-05-21,329.61,COMPLETED
ORD-000137,CUST-09788,REGULAR,GOLD,134.0,0.509,2025-07-25,124.96,COMPLETED
ORD-000138,CUST-16781,HIGH_VALUE,GOLD,8140.0,0.084,2025-09-27,136.38,COMPLETED
ORD-000139,CUST-17371,HIGH_VALUE,PLATINUM,11603.0,0.136,2025-06-05,209.71,COMPLETED
ORD-000140,CUST-29089,REGULAR,SILVER,1089.0,0.404,2025-12-23,243.65,COMPLETED
ORD-000141,CUST-37173,HIGH_VALUE,GOLD,8112.0,0.098,2025-12-20,220.22,COMPLETED
ORD-000142,CUST-44095,CHURNED,SILVER,373.0,0.852,2025-04-22,361.48,COMPLETED
ORD-000143,CUST-08831,REGULAR,BRONZE,713.0,0.394,2025-07-18,241.31,COMPLETED
ORD-000144,CUST-12566,NEW,BRONZE,25.0,0.2,2025-05-11,407.0,COMPLETED
ORD-000145,CUST-10090,REGULAR,BRONZE,2391.0,0.461,2025-05-05,333.26,COMPLETED
ORD-000146,CUST-23529,REGULAR,BRONZE,857.0,0.381,2025-01-19,147.17,COMPLETED
ORD-000147,CUST-39343,NEW,BRONZE,6.0,0.211,2025-08-23,256.49,COMPLETED
ORD-000149,CUST-05522,REGULAR,GOLD,438.0,0.637,2025-01-26,271.43,COMPLETED
ORD-000150,CUST-11145,OCCASIONAL,BRONZE,1407.0,0.573,2025-05-03,152.09,COMPLETED
ORD-000151,CUST-20742,REGULAR,SILVER,1479.0,0.317,2025-12-05,185.64,COMPLETED
ORD-000152,CUST-28050,REGULAR,SILVER,1090.0,0.29,2025-04-18,272.61,COMPLETED
ORD-000154,CUST-03524,NEW,BRONZE,160.0,0.228,2025-07-15,286.84,COMPLETED
ORD-000155,CUST-28679,OCCASIONAL,BRONZE,2227.0,0.515,2025-12-27,160.96,COMPLETED
ORD-000156,CUST-01008,OCCASIONAL,GOLD,1474.0,0.477,2025-04-18,338.24,COMPLETED
ORD-000157,CUST-03436,REGULAR,BRONZE,1338.0,0.572,2025-09-14,288.46,COMPLETED
ORD-000158,CUST-05687,OCCASIONAL,GOLD,1969.0,0.343,2025-10-20,193.47,COMPLETED
ORD-000159,CUST-24900,CHURNED,SILVER,272.0,0.937,2025-04-17,193.96,COMPLETED
ORD-000160,CUST-31620,OCCASIONAL,BRONZE,2292.0,0.335,2025-10-07,164.79,COMPLETED
ORD-000161,CUST-47068,REGULAR,SILVER,699.0,0.637,2025-06-06,417.47,COMPLETED
ORD-000162,CUST-21691,REGULAR,BRONZE,1983.0,0.393,2025-08-30,425.9,COMPLETED
ORD-000163,CUST-37979,REGULAR,BRONZE,2043.0,0.274,2025-08-31,369.17,COMPLETED
ORD-000164,CUST-20966,OCCASIONAL,BRONZE,1470.0,0.383,2025-07-30,398.16,COMPLETED
ORD-000165,CUST-33781,OCCASIONAL,BRONZE,260.0,0.522,2025-02-14,204.52,COMPLETED
ORD-000166,CUST-00713,CHURNED,BRONZE,417.0,0.821,2025-11-14,146.31,COMPLETED
ORD-000167,CUST-16875,OCCASIONAL,SILVER,1606.0,0.432,2025-05-19,218.66,COMPLETED
ORD-000168,CUST-19414,REGULAR,BRONZE,2315.0,0.226,2025-03-27,334.55,COMPLETED
ORD-000169,CUST-16861,HIGH_VALUE,GOLD,13707.0,0.03,2025-01-20,206.43,COMPLETED
ORD-000170,CUST-27082,HIGH_VALUE,PLATINUM,10279.0,0.114,2025-08-17,154.77,COMPLETED
ORD-000171,CUST-24375,REGULAR,BRONZE,1812.0,0.442,2025-09-17,244.0,COMPLETED
ORD-000172,CUST-41622,OCCASIONAL,GOLD,1842.0,0.547,2025-01-09,198.54,COMPLETED
ORD-000173,CUST-08291,OCCASIONAL,BRONZE,1105.0,0.269,2025-07-23,203.2,COMPLETED
ORD-000174,CUST-40193,CHURNED,SILVER,228.0,0.846,2025-04-12,455.97,COMPLETED
ORD-000175,CUST-GUEST,,,,,2025-09-04,254.08,COMPLETED
ORD-000177,CUST-16262,REGULAR,BRONZE,304.0,0.314,2025-09-22,278.16,COMPLETED
ORD-000178,CUST-46452,HIGH_VALUE,GOLD,4754.0,0.064,2025-06-13,228.31,COMPLETED
ORD-000179,CUST-31789,REGULAR,BRONZE,795.0,0.203,2025-12-13,351.23,COMPLETED
ORD-000180,CUST-13993,OCCASIONAL,BRONZE,2292.0,0.592,2025-03-08,624.15,COMPLETED
ORD-000181,CUST-43478,REGULAR,BRONZE,332.0,0.514,2025-05-28,378.98,COMPLETED
ORD-000182,CUST-41369,HIGH_VALUE,PLATINUM,11271.0,0.021,2025-02-25,286.78,COMPLETED
ORD-000183,CUST-11278,REGULAR,SILVER,1747.0,0.404,2025-12-10,216.75,COMPLETED
ORD-000184,CUST-15583,NEW,BRONZE,66.0,0.198,2025-11-26,301.64,COMPLETED
ORD-000185,CUST-23977,REGULAR,BRONZE,1562.0,0.584,2025-04-25,515.18,COMPLETED
ORD-000186,CUST-34566,REGULAR,BRONZE,275.0,0.229,2025-09-10,184.43,COMPLETED
ORD-000187,CUST-40309,NEW,BRONZE,102.0,0.221,2025-11-08,357.71,COMPLETED
ORD-000188,CUST-24263,REGULAR,BRONZE,414.0,0.563,2025-08-05,163.98,COMPLETED
ORD-000189,CUST-34588,REGULAR,BRONZE,1190.0,0.32,2025-07-28,269.82,COMPLETED
ORD-000190,CUST-34908,REGULAR,SILVER,2251.0,0.201,2025-04-18,157.06,COMPLETED
ORD-000191,CUST-23848,NEW,BRONZE,141.0,0.255,2025-02-15,362.94,COMPLETED
ORD-000192,CUST-24000,OCCASIONAL,BRONZE,1334.0,0.649,2025-12-01,331.22,COMPLETED
ORD-000193,CUST-GUEST,,,,,2025-12-03,298.74,COMPLETED
ORD-000194,CUST-17514,REGULAR,BRONZE,953.0,0.506,2025-08-30,244.07,COMPLETED
ORD-000195,CUST-43245,OCCASIONAL,SILVER,1475.0,0.298,2025-05-27,225.02,COMPLETED
ORD-000196,CUST-04098,NEW,BRONZE,138.0,0.24,2025-05-31,128.24,COMPLETED
ORD-000197,CUST-00236,REGULAR,SILVER,798.0,0.436,2025-10-06,371.61,COMPLETED
ORD-000198,CUST-25726,REGULAR,BRONZE,1788.0,0.252,2025-12-01,449.86,COMPLETED
ORD-000199,CUST-23325,NEW,BRONZE,169.0,0.213,2025-11-29,319.31,COMPLETED
ORD-000200,CUST-41506,REGULAR,BRONZE,1978.0,0.622,2025-10-27,557.0,COMPLETED
ORD-000231,CUST-GUEST,,,,,2025-11-02,183.0,COMPLETED
ORD-000233,CUST-GUEST,,,,,2025-08-12,296.56,COMPLETED
ORD-000235,CUST-28461,HIGH_VALUE,PLATINUM,7681.0,0.059,2025-03-30,292.92,COMPLETED
ORD-000236,CUST-30158,CHURNED,SILVER,444.0,0.881,2025-10-05,375.02,COMPLETED
ORD-000238,CUST-15903,OCCASIONAL,SILVER,933.0,0.298,2025-01-12,542.58,COMPLETED
ORD-000239,CUST-08664,OCCASIONAL,BRONZE,1343.0,0.35,2025-09-04,277.89,COMPLETED
ORD-000240,CUST-GUEST,,,,,2025-03-23,224.94,COMPLETED
ORD-000241,CUST-12993,REGULAR,BRONZE,1017.0,0.469,2025-12-14,411.02,COMPLETED
ORD-000243,CUST-21957,REGULAR,SILVER,740.0,0.394,2025-12-07,308.03,COMPLETED
ORD-000244,CUST-35524,OCCASIONAL,BRONZE,2160.0,0.462,2025-06-07,302.69,COMPLETED
ORD-000245,CUST-24892,OCCASIONAL,SILVER,462.0,0.463,2025-01-08,210.74,COMPLETED
ORD-000246,CUST-12749,HIGH_VALUE,GOLD,7407.0,0.058,2025-12-11,293.31,COMPLETED
ORD-000247,CUST-05566,REGULAR,BRONZE,147.0,0.212,2025-06-26,186.79,COMPLETED
ORD-000248,CUST-38582,NEW,BRONZE,57.0,0.157,2025-12-21,173.78,COMPLETED
ORD-000249,CUST-39361,HIGH_VALUE,PLATINUM,13504.0,0.149,2025-12-21,336.94,COMPLETED
ORD-000250,CUST-39925,REGULAR,BRONZE,704.0,0.561,2025-11-19,227.83,COMPLETED
ORD-000251,CUST-06445,OCCASIONAL,SILVER,2255.0,0.278,2025-05-09,148.22,COMPLETED
ORD-000252,CUST-04746,REGULAR,BRONZE,1285.0,0.275,2025-06-12,183.7,COMPLETED
ORD-000253,CUST-33752,REGULAR,BRONZE,2351.0,0.292,2025-11-18,286.13,COMPLETED
ORD-000254,CUST-49722,REGULAR,SILVER,1028.0,0.232,2025-05-18,216.17,COMPLETED
ORD-000255,CUST-11000,OCCASIONAL,SILVER,734.0,0.326,2025-03-21,488.31,COMPLETED
ORD-000256,CUST-28211,NEW,BRONZE,7.0,0.22,2025-08-06,204.48,COMPLETED
ORD-000257,CUST-10376,HIGH_VALUE,PLATINUM,12636.0,0.042,2025-12-13,140.29,COMPLETED
ORD-000258,CUST-06277,OCCASIONAL,GOLD,407.0,0.538,2025-09-25,143.33,COMPLETED
ORD-000259,CUST-42591,REGULAR,SILVER,231.0,0.559,2025-08-10,369.33,COMPLETED
ORD-000260,CUST-46236,REGULAR,BRONZE,505.0,0.552,2025-02-17,336.64,COMPLETED
ORD-000261,CUST-16499,CHURNED,SILVER,144.0,0.949,2025-08-24,142.02,COMPLETED
ORD-000262,CUST-00138,REGULAR,SILVER,940.0,0.231,2025-12-28,63.48,COMPLETED
ORD-000263,CUST-02590,HIGH_VALUE,PLATINUM,3754.0,0.025,2025-03-08,313.8,COMPLETED
ORD-000264,CUST-14768,CHURNED,BRONZE,522.0,0.886,2025-07-25,260.11,COMPLETED
ORD-000265,CUST-GUEST,,,,,2025-11-26,213.22,COMPLETED
ORD-000267,CUST-16351,OCCASIONAL,BRONZE,1134.0,0.618,2025-09-25,437.0,COMPLETED
ORD-000268,CUST-49088,OCCASIONAL,BRONZE,1837.0,0.448,2025-09-27,314.82,COMPLETED
ORD-000269,CUST-42722,OCCASIONAL,SILVER,197.0,0.638,2025-06-03,244.09,COMPLETED
ORD-000270,CUST-03022,CHURNED,BRONZE,443.0,0.961,2025-05-09,512.24,COMPLETED
ORD-000271,CUST-26661,HIGH_VALUE,PLATINUM,5241.0,0.078,2025-11-07,259.99,COMPLETED
ORD-000272,CUST-08768,REGULAR,BRONZE,1379.0,0.431,2025-11-07,278.16,COMPLETED
ORD-000273,CUST-30833,OCCASIONAL,SILVER,1262.0,0.328,2025-11-23,219.96,COMPLETED
ORD-000274,CUST-28263,REGULAR,SILVER,242.0,0.381,2025-12-06,162.75,COMPLETED
ORD-000275,CUST-03151,OCCASIONAL,SILVER,1567.0,0.203,2025-07-22,295.8,COMPLETED
ORD-000276,CUST-05573,HIGH_VALUE,GOLD,14672.0,0.095,2025-07-19,281.89,COMPLETED
ORD-000279,CUST-01189,HIGH_VALUE,PLATINUM,5385.0,0.045,2025-09-27,361.71,COMPLETED
ORD-000280,CUST-00043,CHURNED,BRONZE,155.0,0.867,2025-11-02,340.81,COMPLETED
ORD-000281,CUST-06497,REGULAR,SILVER,1847.0,0.56,2025-11-29,205.31,COMPLETED
ORD-000282,CUST-39030,CHURNED,BRONZE,331.0,0.803,2025-05-26,265.39,COMPLETED
ORD-000283,CUST-29021,REGULAR,BRONZE,236.0,0.649,2025-06-08,514.96,COMPLETED
ORD-000284,CUST-11703,REGULAR,BRONZE,1600.0,0.267,2025-02-16,70.63,COMPLETED
ORD-000285,CUST-46235,OCCASIONAL,BRONZE,824.0,0.539,2025-08-13,232.44,COMPLETED
ORD-000286,CUST-45553,NEW,BRONZE,171.0,0.253,2025-01-18,225.35,COMPLETED
ORD-000287,CUST-40408,NEW,BRONZE,31.0,0.192,2025-07-07,480.45,COMPLETED
ORD-000289,CUST-25482,CHURNED,SILVER,518.0,0.952,2025-05-06,136.91,COMPLETED
ORD-000290,CUST-02315,OCCASIONAL,SILVER,369.0,0.222,2025-08-17,182.46,COMPLETED
ORD-000291,CUST-42083,REGULAR,SILVER,2211.0,0.439,2025-01-16,93.07,COMPLETED
ORD-000292,CUST-38687,NEW,BRONZE,66.0,0.206,2025-01-19,265.16,COMPLETED
ORD-000293,CUST-GUEST,,,,,2025-11-10,228.89,COMPLETED
ORD-000295,CUST-47001,REGULAR,GOLD,819.0,0.41,2025-03-03,209.44,COMPLETED
ORD-000296,CUST-05980,REGULAR,SILVER,1732.0,0.523,2025-07-26,295.94,COMPLETED
ORD-000297,CUST-10800,REGULAR,SILVER,1347.0,0.319,2025-10-24,244.1,COMPLETED
ORD-000298,CUST-20159,HIGH_VALUE,GOLD,12118.0,0.107,2025-04-08,176.82,COMPLETED
ORD-000299,CUST-03559,REGULAR,BRONZE,1422.0,0.523,2025-08-27,200.78,COMPLETED
ORD-000300,CUST-00898,NEW,BRONZE,130.0,0.265,2025-02-12,448.01,COMPLETED
ORD-000301,CUST-15209,REGULAR,SILVER,617.0,0.218,2025-01-26,0.0,COMPLETED
ORD-000302,CUST-25968,REGULAR,BRONZE,1121.0,0.237,2025-07-28,0.0,COMPLETED
ORD-000303,CUST-GUEST,,,,,2025-08-01,37.04,COMPLETED
ORD-000304,CUST-17314,OCCASIONAL,BRONZE,439.0,0.285,2025-09-01,81.3,COMPLETED
ORD-000305,CUST-33368,REGULAR,SILVER,2269.0,0.54,2025-10-06,0.0,COMPLETED
ORD-000306,CUST-11643,REGULAR,SILVER,305.0,0.55,2025-12-25,41.96,COMPLETED
ORD-000307,CUST-29827,OCCASIONAL,BRONZE,1358.0,0.528,2025-07-24,31.74,COMPLETED
ORD-000308,CUST-29641,CHURNED,BRONZE,70.0,0.802,2025-05-20,0.0,COMPLETED
ORD-000309,CUST-16439,REGULAR,SILVER,2209.0,0.494,2025-11-02,17.34,COMPLETED
ORD-000310,CUST-41083,CHURNED,BRONZE,368.0,0.909,2025-04-30,50.39,COMPLETED
ORD-000311,CUST-49963,OCCASIONAL,BRONZE,1044.0,0.396,2025-06-29,14.6,COMPLETED
ORD-000312,CUST-07417,OCCASIONAL,BRONZE,661.0,0.338,2025-02-08,63.74,COMPLETED
ORD-000313,CUST-13324,HIGH_VALUE,GOLD,7514.0,0.075,2025-01-13,0.0,COMPLETED
ORD-000314,CUST-37401,REGULAR,BRONZE,1171.0,0.288,2025-12-20,52.83,COMPLETED
ORD-000315,CUST-48345,OCCASIONAL,SILVER,713.0,0.229,2025-11-14,41.93,COMPLETED
ORD-000316,CUST-16319,REGULAR,SILVER,914.0,0.6,2025-09-24,39.0,COMPLETED
ORD-000318,CUST-19041,REGULAR,BRONZE,1597.0,0.247,2025-03-22,0.0,COMPLETED
ORD-000319,CUST-37550,NEW,BRONZE,91.0,0.195,2025-03-15,23.19,COMPLETED
ORD-000320,CUST-38101,OCCASIONAL,SILVER,1410.0,0.58,2025-04-21,0.0,PENDING
ORD-000321,CUST-05433,OCCASIONAL,GOLD,306.0,0.635,2025-08-03,46.49,COMPLETED
ORD-000323,CUST-23700,CHURNED,BRONZE,327.0,0.94,2025-09-10,25.95,COMPLETED
ORD-000324,CUST-14840,OCCASIONAL,BRONZE,1892.0,0.627,2025-05-03,58.05,COMPLETED
ORD-000325,CUST-07061,REGULAR,BRONZE,1151.0,0.334,2025-12-19,43.1,COMPLETED
ORD-000326,CUST-09703,REGULAR,SILVER,277.0,0.318,2025-10-11,339.59,COMPLETED
ORD-000327,CUST-GUEST,,,,,2025-08-05,165.74,COMPLETED
ORD-000328,CUST-26194,HIGH_VALUE,GOLD,11162.0,0.106,2025-08-23,381.37,COMPLETED
ORD-000329,CUST-48274,REGULAR,SILVER,1797.0,0.594,2025-06-22,267.37,COMPLETED
ORD-000330,CUST-33115,NEW,BRONZE,175.0,0.178,2025-04-20,192.93,PENDING
ORD-000331,CUST-45443,CHURNED,BRONZE,176.0,0.947,2025-06-02,175.31,COMPLETED
ORD-000332,CUST-43754,NEW,BRONZE,10.0,0.206,2025-10-19,205.93,COMPLETED
ORD-000333,CUST-GUEST,,,,,2025-01-08,273.2,COMPLETED
ORD-000334,CUST-26951,HIGH_VALUE,GOLD,4438.0,0.029,2025-02-27,162.21,COMPLETED
ORD-000335,CUST-26835,REGULAR,GOLD,1300.0,0.592,2025-01-24,297.11,COMPLETED
ORD-000336,CUST-49705,REGULAR,SILVER,1042.0,0.246,2025-01-20,270.56,COMPLETED
ORD-000337,CUST-03868,HIGH_VALUE,PLATINUM,6405.0,0.08,2025-11-20,360.63,COMPLETED
ORD-000338,CUST-40088,OCCASIONAL,SILVER,811.0,0.465,2025-09-27,726.48,COMPLETED
ORD-000339,CUST-35420,NEW,BRONZE,93.0,0.291,2025-07-11,450.68,COMPLETED
ORD-000340,CUST-45855,OCCASIONAL,BRONZE,1314.0,0.49,2025-02-17,169.05,COMPLETED
ORD-000341,CUST-14454,OCCASIONAL,SILVER,2372.0,0.601,2025-07-16,278.93,COMPLETED
ORD-000342,CUST-15511,REGULAR,BRONZE,2337.0,0.649,2025-07-10,104.43,COMPLETED
