inventory_id,location_id,item_id,snapshot_date,starting_stock,quantity_received,quantity_sold,quantity_wasted,ending_stock,reorder_point,stock_status
INV-0000040,LOC-002,ITEM-089,2025-01-01,61,77,72,0,66,26,OPTIMAL
INV-0000041,LOC-002,ITEM-088,2025-01-01,108,69,129,1,47,34,OPTIMAL
INV-0000042,LOC-002,ITEM-078,2025-01-01,65,62,55,0,72,36,OPTIMAL
INV-0000043,LOC-002,ITEM-136,2025-01-01,33,29,48,2,12,22,REORDER_TRIGGERED
INV-0000044,LOC-002,ITEM-111,2025-01-01,35,67,41,2,59,39,OPTIMAL
INV-0000045,LOC-002,ITEM-109,2025-01-01,143,19,125,2,35,23,OPTIMAL
INV-0000046,LOC-002,ITEM-045,2025-01-01,146,13,77,2,80,20,OPTIMAL
INV-0000047,LOC-002,ITEM-097,2025-01-01,113,40,124,2,27,15,OPTIMAL
INV-0000048,LOC-002,ITEM-038,2025-01-01,140,57,121,0,76,36,OPTIMAL
INV-0000049,LOC-002,ITEM-138,2025-01-01,112,78,53,2,135,26,OPTIMAL
INV-0000050,LOC-002,ITEM-040,2025-01-01,138,12,108,1,41,37,OPTIMAL
INV-0000051,LOC-003,ITEM-052,2025-01-01,127,68,40,2,153,35,OPTIMAL
INV-0000052,LOC-003,ITEM-046,2025-01-01,80,54,86,1,47,40,OPTIMAL
INV-0000053,LOC-003,ITEM-012,2025-01-01,133,75,20,0,188,21,OPTIMAL
INV-0000054,LOC-003,ITEM-058,2025-01-01,113,26,138,0,1,16,REORDER_TRIGGERED
INV-0000055,LOC-003,ITEM-065,2025-01-01,148,22,97,5,68,37,OPTIMAL
INV-0000056,LOC-003,ITEM-051,2025-01-01,143,76,15,0,204,29,OPTIMAL
INV-0000057,LOC-003,ITEM-087,2025-01-01,32,61,19,2,72,28,OPTIMAL
INV-0000058,LOC-003,ITEM-115,2025-01-01,98,56,57,2,95,31,OPTIMAL
INV-0000059,LOC-003,ITEM-004,2025-01-01,122,33,93,0,62,32,OPTIMAL
INV-0000060,LOC-003,ITEM-002,2025-01-01,82,68,99,0,51,33,OPTIMAL
INV-0000061,LOC-003,ITEM-011,2025-01-01,138,62,68,6,126,20,OPTIMAL
INV-0000062,LOC-003,ITEM-077,2025-01-01,133,22,44,2,109,18,OPTIMAL
INV-0000063,LOC-003,ITEM-018,2025-01-01,102,80,125,0,57,26,OPTIMAL
INV-0000064,LOC-003,ITEM-088,2025-01-01,116,39,86,1,68,39,OPTIMAL
INV-0000065,LOC-003,ITEM-070,2025-01-01,30,52,39,2,41,30,OPTIMAL
INV-0000066,LOC-003,ITEM-045,2025-01-01,86,57,61,7,75,20,OPTIMAL
INV-0000067,LOC-003,ITEM-079,2025-01-01,97,22,56,0,63,40,OPTIMAL
INV-0000068,LOC-003,ITEM-094,2025-01-01,34,75,108,2,0,22,CRITICAL_OUT_OF_STOCK
INV-0000069,LOC-003,ITEM-082,2025-01-01,147,55,89,8,105,36,OPTIMAL
INV-0000070,LOC-003,ITEM-019,2025-01-01,54,67,51,1,69,24,OPTIMAL
INV-0000071,LOC-003,ITEM-145,2025-01-01,135,51,108,1,77,26,OPTIMAL
INV-0000072,LOC-003,ITEM-129,2025-01-01,73,16,16,2,71,19,OPTIMAL
INV-0000073,LOC-003,ITEM-009,2025-01-01,115,33,87,1,60,18,OPTIMAL
INV-0000074,LOC-003,ITEM-126,2025-01-01,64,54,92,1,25,27,REORDER_TRIGGERED
INV-0000075,LOC-003,ITEM-086,2025-01-01,90,46,113,3,20,18,OPTIMAL
INV-0000076,LOC-004,ITEM-049,2025-01-01,104,13,108,0,9,38,REORDER_TRIGGERED
INV-0000077,LOC-004,ITEM-144,2025-01-01,52,42,49,5,40,31,OPTIMAL
INV-0000078,LOC-004,ITEM-134,2025-01-01,145,79,131,2,91,19,OPTIMAL
INV-0000079,LOC-004,ITEM-133,2025-01-01,95,73,80,0,88,25,OPTIMAL
INV-0000080,LOC-004,ITEM-056,2025-01-01,128,26,57,1,96,18,OPTIMAL
INV-0000081,LOC-004,ITEM-010,2025-01-01,131,46,131,2,44,18,OPTIMAL
INV-0000082,LOC-004,ITEM-120,2025-01-01,124,66,78,1,111,19,OPTIMAL
INV-0000083,LOC-004,ITEM-081,2025-01-01,122,13,103,1,31,24,OPTIMAL
INV-0000084,LOC-004,ITEM-131,2025-01-01,109,50,70,0,89,28,OPTIMAL
INV-0000085,LOC-004,ITEM-119,2025-01-01,72,55,125,1,1,28,REORDER_TRIGGERED
INV-0000086,LOC-004,ITEM-139,2025-01-01,31,19,18,2,30,30,OPTIMAL
INV-0000087,LOC-004,ITEM-024,2025-01-01,138,71,37,1,171,35,OPTIMAL
INV-0000088,LOC-004,ITEM-026,2025-01-01,116,48,47,1,116,37,OPTIMAL
INV-0000089,LOC-004,ITEM-075,2025-01-01,73,53,34,6,86,19,OPTIMAL
INV-0000090,LOC-004,ITEM-027,2025-01-01,145,67,73,7,132,33,OPTIMAL
INV-0000091,LOC-004,ITEM-016,2025-01-01,103,43,102,0,44,34,OPTIMAL
INV-0000092,LOC-004,ITEM-103,2025-01-01,110,11,65,2,54,23,OPTIMAL
INV-0000093,LOC-004,ITEM-014,2025-01-01,123,16,122,2,15,15,OPTIMAL
INV-0000094,LOC-004,ITEM-108,2025-01-01,96,72,52,2,114,39,OPTIMAL
INV-0000095,LOC-004,ITEM-091,2025-01-01,102,80,75,0,107,39,OPTIMAL
INV-0000096,LOC-004,ITEM-034,2025-01-01,87,16,72,2,29,38,REORDER_TRIGGERED
INV-0000097,LOC-004,ITEM-110,2025-01-01,28,55,42,4,37,15,OPTIMAL
INV-0000098,LOC-004,ITEM-088,2025-01-01,87,37,58,2,64,20,OPTIMAL
INV-0000099,LOC-004,ITEM-006,2025-01-01,127,17,129,7,8,39,REORDER_TRIGGERED
INV-0000100,LOC-004,ITEM-042,2025-01-01,97,65,88,0,74,22,OPTIMAL
INV-0000101,LOC-005,ITEM-078,2025-01-01,70,45,111,6,0,23,CRITICAL_OUT_OF_STOCK
INV-0000102,LOC-005,ITEM-126,2025-01-01,94,60,81,0,73,40,OPTIMAL
INV-0000103,LOC-005,ITEM-005,2025-01-01,65,76,85,4,52,25,OPTIMAL
INV-0000104,LOC-005,ITEM-099,2025-01-01,122,69,119,0,72,23,OPTIMAL
INV-0000105,LOC-005,ITEM-089,2025-01-01,113,41,130,1,23,16,OPTIMAL
INV-0000106,LOC-005,ITEM-045,2025-01-01,94,71,63,3,99,15,OPTIMAL
INV-0000107,LOC-005,ITEM-142,2025-01-01,88,58,32,1,113,33,OPTIMAL
INV-0000108,LOC-005,ITEM-007,2025-01-01,23,49,39,2,31,38,REORDER_TRIGGERED
INV-0000109,LOC-005,ITEM-130,2025-01-01,149,11,122,1,37,23,OPTIMAL
INV-0000110,LOC-005,ITEM-080,2025-01-01,101,10,69,2,40,17,OPTIMAL
INV-0000111,LOC-005,ITEM-105,2025-01-01,67,51,16,0,102,37,OPTIMAL
INV-0000112,LOC-005,ITEM-084,2025-01-01,137,12,119,0,30,24,OPTIMAL
INV-0000113,LOC-005,ITEM-087,2025-01-01,102,76,86,1,91,20,OPTIMAL
INV-0000114,LOC-005,ITEM-114,2025-01-01,67,52,64,2,53,15,OPTIMAL
INV-0000115,LOC-005,ITEM-066,2025-01-01,115,77,107,5,80,26,OPTIMAL
INV-0000116,LOC-005,ITEM-057,2025-01-01,42,38,54,0,26,38,REORDER_TRIGGERED
INV-0000117,LOC-005,ITEM-025,2025-01-01,80,35,107,0,8,22,REORDER_TRIGGERED
INV-0000118,LOC-005,ITEM-120,2025-01-01,85,75,26,2,132,32,OPTIMAL
INV-0000119,LOC-005,ITEM-069,2025-01-01,139,68,80,4,123,36,OPTIMAL
INV-0000120,LOC-005,ITEM-040,2025-01-01,50,56,88,2,16,25,REORDER_TRIGGERED
INV-0000121,LOC-005,ITEM-027,2025-01-01,102,41,89,5,49,20,OPTIMAL
INV-0000122,LOC-005,ITEM-127,2025-01-01,108,53,22,1,138,26,OPTIMAL
INV-0000123,LOC-005,ITEM-109,2025-01-01,97,32,125,1,3,21,REORDER_TRIGGERED
INV-0000124,LOC-005,ITEM-082,2025-01-01,71,62,47,5,81,40,OPTIMAL
INV-0000125,LOC-005,ITEM-134,2025-01-01,38,58,78,1,17,24,REORDER_TRIGGERED
INV-0000126,LOC-006,ITEM-006,2025-01-01,30,45,54,0,21,37,REORDER_TRIGGERED
INV-0000127,LOC-006,ITEM-096,2025-01-01,121,12,18,0,115,39,OPTIMAL
INV-0000128,LOC-006,ITEM-120,2025-01-01,23,70,67,2,24,37,REORDER_TRIGGERED
INV-0000129,LOC-006,ITEM-009,2025-01-01,127,56,46,2,135,38,OPTIMAL
INV-0000130,LOC-006,ITEM-131,2025-01-01,66,57,88,1,34,26,OPTIMAL
INV-0000131,LOC-006,ITEM-141,2025-01-01,23,39,53,2,7,38,REORDER_TRIGGERED
INV-0000132,LOC-006,ITEM-031,2025-01-01,67,26,51,2,40,21,OPTIMAL
INV-0000133,LOC-006,ITEM-123,2025-01-01,65,71,124,1,11,21,REORDER_TRIGGERED
INV-0000134,LOC-006,ITEM-068,2025-01-01,50,52,74,0,28,40,REORDER_TRIGGERED
INV-0000135,LOC-006,ITEM-104,2025-01-01,58,44,27,0,75,34,OPTIMAL
INV-0000136,LOC-006,ITEM-023,2025-01-01,47,29,35,1,40,24,OPTIMAL
INV-0000137,LOC-006,ITEM-055,2025-01-01,78,48,31,2,93,34,OPTIMAL
INV-0000138,LOC-006,ITEM-114,2025-01-01,27,78,100,0,5,15,REORDER_TRIGGERED
INV-0000139,LOC-006,ITEM-043,2025-01-01,51,79,62,3,65,37,OPTIMAL
INV-0000140,LOC-006,ITEM-134,2025-01-01,86,54,21,0,119,36,OPTIMAL
INV-0000141,LOC-006,ITEM-037,2025-01-01,52,69,47,1,73,22,OPTIMAL
INV-0000142,LOC-006,ITEM-049,2025-01-01,69,80,82,0,67,21,OPTIMAL
INV-0000143,LOC-006,ITEM-081,2025-01-01,80,44,106,0,18,33,REORDER_TRIGGERED
INV-0000144,LOC-006,ITEM-084,2025-01-01,149,63,109,0,103,34,OPTIMAL
INV-0000145,LOC-006,ITEM-110,2025-01-01,118,18,16,6,114,15,OPTIMAL
INV-0000146,LOC-006,ITEM-119,2025-01-01,29,12,33,6,2,16,REORDER_TRIGGERED
INV-0000147,LOC-006,ITEM-067,2025-01-01,32,54,53,5,28,27,OPTIMAL
INV-0000148,LOC-006,ITEM-093,2025-01-01,138,28,100,1,65,28,OPTIMAL
INV-0000149,LOC-006,ITEM-005,2025-01-01,147,74,131,3,87,27,OPTIMAL
INV-0000150,LOC-006,ITEM-118,2025-01-01,99,12,100,2,9,25,REORDER_TRIGGERED
INV-0000151,LOC-007,ITEM-033,2025-01-01,112,65,47,1,129,40,OPTIMAL
INV-0000152,LOC-007,ITEM-010,2025-01-01,69,39,59,0,49,37,OPTIMAL
INV-0000153,LOC-007,ITEM-067,2025-01-01,26,73,86,4,9,29,REORDER_TRIGGERED
INV-0000154,LOC-007,ITEM-040,2025-01-01,50,60,48,0,62,39,OPTIMAL
INV-0000155,LOC-007,ITEM-074,2025-01-01,85,53,25,3,110,32,OPTIMAL
INV-0000156,LOC-007,ITEM-094,2025-01-01,92,26,45,0,73,35,OPTIMAL
INV-0000157,LOC-007,ITEM-048,2025-01-01,50,72,122,2,0,33,CRITICAL_OUT_OF_STOCK
INV-0000158,LOC-007,ITEM-139,2025-01-01,21,15,19,2,15,39,REORDER_TRIGGERED
INV-0000159,LOC-007,ITEM-149,2025-01-01,49,26,56,1,18,25,REORDER_TRIGGERED
INV-0000160,LOC-007,ITEM-119,2025-01-01,113,35,73,1,74,36,OPTIMAL
INV-0000161,LOC-007,ITEM-019,2025-01-01,112,26,23,1,114,31,OPTIMAL
INV-0000162,LOC-007,ITEM-148,2025-01-01,141,30,134,0,37,33,OPTIMAL
INV-0000163,LOC-007,ITEM-117,2025-01-01,29,38,36,2,29,22,OPTIMAL
INV-0000164,LOC-007,ITEM-134,2025-01-01,143,22,97,2,66,34,OPTIMAL
INV-0000165,LOC-007,ITEM-011,2025-01-01,130,66,133,2,61,22,OPTIMAL
INV-0000166,LOC-007,ITEM-078,2025-01-01,104,46,20,2,128,34,OPTIMAL
INV-0000167,LOC-007,ITEM-110,2025-01-01,101,12,18,7,88,30,OPTIMAL
INV-0000168,LOC-007,ITEM-072,2025-01-01,143,67,68,2,140,34,OPTIMAL
INV-0000169,LOC-007,ITEM-005,2025-01-01,30,33,35,2,26,22,OPTIMAL
INV-0000170,LOC-007,ITEM-128,2025-01-01,147,52,51,0,148,17,OPTIMAL
INV-0000171,LOC-007,ITEM-104,2025-01-01,21,42,20,0,43,23,OPTIMAL
INV-0000172,LOC-007,ITEM-045,2025-01-01,60,41,86,7,8,17,REORDER_TRIGGERED
INV-0000173,LOC-007,ITEM-020,2025-01-01,96,26,78,0,44,19,OPTIMAL
INV-0000174,LOC-007,ITEM-077,2025-01-01,63,23,38,1,47,20,OPTIMAL
INV-0000175,LOC-007,ITEM-009,2025-01-01,50,34,79,2,3,36,REORDER_TRIGGERED
INV-0000176,LOC-008,ITEM-141,2025-01-01,62,52,85,0,29,15,OPTIMAL
INV-0000177,LOC-008,ITEM-091,2025-01-01,55,42,79,2,16,15,OPTIMAL
INV-0000178,LOC-008,ITEM-036,2025-01-01,37,42,45,2,32,26,OPTIMAL
INV-0000179,LOC-008,ITEM-007,2025-01-01,56,77,95,0,38,19,OPTIMAL
INV-0000180,LOC-008,ITEM-147,2025-01-01,87,75,40,1,121,20,OPTIMAL
INV-0000181,LOC-008,ITEM-008,2025-01-01,132,63,40,1,154,30,OPTIMAL
INV-0000182,LOC-008,ITEM-093,2025-01-01,60,35,19,1,75,38,OPTIMAL
INV-0000183,LOC-008,ITEM-009,2025-01-01,124,80,136,1,67,31,OPTIMAL
INV-0000184,LOC-008,ITEM-012,2025-01-01,137,76,111,1,101,39,OPTIMAL
INV-0000185,LOC-008,ITEM-098,2025-01-01,95,78,106,1,66,27,OPTIMAL
INV-0000186,LOC-008,ITEM-128,2025-01-01,36,47,80,2,1,16,REORDER_TRIGGERED
INV-0000187,LOC-008,ITEM-130,2025-01-01,45,32,41,2,34,20,OPTIMAL
INV-0000188,LOC-008,ITEM-066,2025-01-01,73,61,123,2,9,30,REORDER_TRIGGERED
INV-0000189,LOC-008,ITEM-119,2025-01-01,50,73,21,7,95,39,OPTIMAL
INV-0000190,LOC-008,ITEM-131,2025-01-01,136,61,56,2,139,17,OPTIMAL
INV-0000191,LOC-008,ITEM-103,2025-01-01,105,24,70,1,58,20,OPTIMAL
INV-0000192,LOC-008,ITEM-038,2025-01-01,147,54,130,0,71,26,OPTIMAL
INV-0000193,LOC-008,ITEM-065,2025-01-01,83,50,72,3,58,24,OPTIMAL
INV-0000194,LOC-008,ITEM-041,2025-01-01,94,61,25,0,130,31,OPTIMAL
INV-0000195,LOC-008,ITEM-010,2025-01-01,43,67,51,2,57,25,OPTIMAL
INV-0000196,LOC-008,ITEM-050,2025-01-01,39,30,50,1,18,38,REORDER_TRIGGERED
INV-0000197,LOC-008,ITEM-005,2025-01-01,111,67,34,3,141,22,OPTIMAL
INV-0000198,LOC-008,ITEM-003,2025-01-01,54,18,49,2,21,23,REORDER_TRIGGERED
INV-0000199,LOC-008,ITEM-061,2025-01-01,89,33,37,0,85,38,OPTIMAL
INV-0000200,LOC-008,ITEM-035,2025-01-01,80,51,51,1,79,35,OPTIMAL
INV-0000201,LOC-009,ITEM-139,2025-01-01,116,80,57,1,138,16,OPTIMAL
INV-0000202,LOC-009,ITEM-053,2025-01-01,87,64,18,2,131,40,OPTIMAL
INV-0000203,LOC-009,ITEM-037,2025-01-01,33,28,18,2,41,15,OPTIMAL
INV-0000204,LOC-009,ITEM-087,2025-01-01,119,73,124,2,66,28,OPTIMAL
INV-0000205,LOC-009,ITEM-061,2025-01-01,50,74,77,1,46,20,OPTIMAL
INV-0000206,LOC-009,ITEM-133,2025-01-01,92,46,112,0,26,30,REORDER_TRIGGERED
INV-0000207,LOC-009,ITEM-015,2025-01-01,62,30,62,2,28,25,OPTIMAL
INV-0000208,LOC-009,ITEM-017,2025-01-01,86,34,24,1,95,16,OPTIMAL
INV-0000209,LOC-009,ITEM-085,2025-01-01,139,27,87,1,78,19,OPTIMAL
INV-0000210,LOC-009,ITEM-077,2025-01-01,47,22,34,1,34,33,OPTIMAL
INV-0000211,LOC-009,ITEM-026,2025-01-01,132,70,108,0,94,25,OPTIMAL
INV-0000212,LOC-009,ITEM-120,2025-01-01,101,10,66,2,43,39,OPTIMAL
INV-0000213,LOC-009,ITEM-012,2025-01-01,99,18,114,2,1,19,REORDER_TRIGGERED
INV-0000214,LOC-009,ITEM-140,2025-01-01,33,37,16,1,53,40,OPTIMAL
INV-0000215,LOC-009,ITEM-047,2025-01-01,120,14,74,1,59,38,OPTIMAL
INV-0000216,LOC-009,ITEM-105,2025-01-01,83,32,107,2,6,21,REORDER_TRIGGERED
INV-0000217,LOC-009,ITEM-046,2025-01-01,129,17,92,1,53,26,OPTIMAL
INV-0000218,LOC-009,ITEM-007,2025-01-01,80,12,68,2,22,15,OPTIMAL
INV-0000219,LOC-009,ITEM-141,2025-01-01,88,21,54,1,54,34,OPTIMAL
INV-0000220,LOC-009,ITEM-095,2025-01-01,24,26,37,1,12,18,REORDER_TRIGGERED
INV-0000221,LOC-009,ITEM-036,2025-01-01,101,17,24,1,93,27,OPTIMAL
INV-0000222,LOC-009,ITEM-122,2025-01-01,130,12,135,2,5,21,REORDER_TRIGGERED
INV-0000223,LOC-009,ITEM-072,2025-01-01,131,42,83,2,88,19,OPTIMAL
INV-0000224,LOC-009,ITEM-021,2025-01-01,106,23,120,6,3,34,REORDER_TRIGGERED
INV-0000225,LOC-009,ITEM-109,2025-01-01,117,23,125,2,13,26,REORDER_TRIGGERED
INV-0000226,LOC-010,ITEM-071,2025-01-01,140,80,78,4,138,29,OPTIMAL
INV-0000227,LOC-010,ITEM-052,2025-01-01,40,29,15,2,52,15,OPTIMAL
INV-0000228,LOC-010,ITEM-048,2025-01-01,138,16,88,0,66,18,OPTIMAL
INV-0000229,LOC-010,ITEM-018,2025-01-01,88,27,49,0,66,25,OPTIMAL
INV-0000230,LOC-010,ITEM-101,2025-01-01,29,16,39,0,6,22,REORDER_TRIGGERED
INV-0000231,LOC-010,ITEM-067,2025-01-01,132,78,50,3,157,26,OPTIMAL
INV-0000232,LOC-010,ITEM-079,2025-01-01,44,29,17,1,55,28,OPTIMAL
INV-0000233,LOC-010,ITEM-113,2025-01-01,143,37,52,1,127,22,OPTIMAL
INV-0000234,LOC-010,ITEM-031,2025-01-01,118,58,32,1,143,34,OPTIMAL
INV-0000235,LOC-010,ITEM-036,2025-01-01,52,55,62,1,44,33,OPTIMAL
INV-0000236,LOC-010,ITEM-045,2025-01-01,46,70,69,7,40,21,OPTIMAL
INV-0000237,LOC-010,ITEM-083,2025-01-01,98,78,61,2,113,28,OPTIMAL
INV-0000238,LOC-010,ITEM-123,2025-01-01,124,19,131,2,10,21,REORDER_TRIGGERED
INV-0000239,LOC-010,ITEM-085,2025-01-01,78,38,102,1,13,25,REORDER_TRIGGERED
INV-0000240,LOC-010,ITEM-103,2025-01-01,142,52,62,2,130,23,OPTIMAL
INV-0000241,LOC-010,ITEM-149,2025-01-01,107,58,95,1,69,35,OPTIMAL
INV-0000242,LOC-010,ITEM-148,2025-01-01,40,24,34,4,26,28,REORDER_TRIGGERED
INV-0000243,LOC-010,ITEM-128,2025-01-01,99,61,133,2,25,28,REORDER_TRIGGERED
INV-0000244,LOC-010,ITEM-099,2025-01-01,66,23,51,2,36,30,OPTIMAL
INV-0000245,LOC-010,ITEM-003,2025-01-01,148,69,82,2,133,16,OPTIMAL
INV-0000246,LOC-010,ITEM-105,2025-01-01,150,75,97,0,128,30,OPTIMAL
INV-0000247,LOC-010,ITEM-013,2025-01-01,132,73,26,2,177,17,OPTIMAL
INV-0000248,LOC-010,ITEM-066,2025-01-01,36,48,66,1,17,31,REORDER_TRIGGERED
INV-0000249,LOC-010,ITEM-144,2025-01-01,43,21,60,5,0,34,CRITICAL_OUT_OF_STOCK
INV-0000250,LOC-010,ITEM-136,2025-01-01,33,53,50,1,35,29,OPTIMAL
INV-0000251,LOC-011,ITEM-070,2025-01-01,57,37,18,0,76,17,OPTIMAL
INV-0000252,LOC-011,ITEM-081,2025-01-01,106,72,104,2,72,21,OPTIMAL
INV-0000253,LOC-011,ITEM-017,2025-01-01,117,24,86,0,55,39,OPTIMAL
INV-0000254,LOC-011,ITEM-103,2025-01-01,112,41,18,0,135,37,OPTIMAL
INV-0000255,LOC-011,ITEM-133,2025-01-01,150,68,76,2,140,25,OPTIMAL
INV-0000256,LOC-011,ITEM-059,2025-01-01,141,66,36,1,170,36,OPTIMAL
INV-0000257,LOC-011,ITEM-091,2025-01-01,25,77,21,1,80,19,OPTIMAL
INV-0000258,LOC-011,ITEM-024,2025-01-01,85,79,109,0,55,33,OPTIMAL
INV-0000259,LOC-011,ITEM-113,2025-01-01,46,33,26,1,52,30,OPTIMAL
INV-0000260,LOC-011,ITEM-064,2025-01-01,21,23,38,4,2,30,REORDER_TRIGGERED
INV-0000261,LOC-011,ITEM-141,2025-01-01,51,36,36,2,49,28,OPTIMAL
INV-0000262,LOC-011,ITEM-029,2025-01-01,55,68,96,0,27,15,OPTIMAL
INV-0000263,LOC-011,ITEM-027,2025-01-01,37,13,32,3,15,23,REORDER_TRIGGERED
INV-0000264,LOC-011,ITEM-142,2025-01-01,106,24,61,0,69,31,OPTIMAL
INV-0000265,LOC-011,ITEM-002,2025-01-01,73,74,84,2,61,31,OPTIMAL
INV-0000266,LOC-011,ITEM-034,2025-01-01,53,31,19,0,65,23,OPTIMAL
INV-0000267,LOC-011,ITEM-004,2025-01-01,147,28,74,1,100,38,OPTIMAL
INV-0000268,LOC-011,ITEM-054,2025-01-01,130,60,108,0,82,21,OPTIMAL
INV-0000269,LOC-011,ITEM-079,2025-01-01,49,18,64,1,2,33,REORDER_TRIGGERED
INV-0000270,LOC-011,ITEM-068,2025-01-01,30,30,20,1,39,27,OPTIMAL
INV-0000271,LOC-011,ITEM-134,2025-01-01,108,64,38,2,132,30,OPTIMAL
INV-0000272,LOC-011,ITEM-018,2025-01-01,21,31,32,2,18,34,REORDER_TRIGGERED
INV-0000273,LOC-011,ITEM-105,2025-01-01,113,29,125,0,17,28,REORDER_TRIGGERED
INV-0000274,LOC-011,ITEM-071,2025-01-01,135,46,16,7,158,31,OPTIMAL
INV-0000275,LOC-011,ITEM-026,2025-01-01,62,25,32,1,54,30,OPTIMAL
INV-0000276,LOC-012,ITEM-090,2025-01-01,91,37,110,0,18,20,REORDER_TRIGGERED
INV-0000277,LOC-012,ITEM-054,2025-01-01,127,41,117,2,49,36,OPTIMAL
INV-0000278,LOC-012,ITEM-095,2025-01-01,101,78,137,2,40,17,OPTIMAL
INV-0000279,LOC-012,ITEM-117,2025-01-01,91,25,51,0,65,30,OPTIMAL
INV-0000280,LOC-012,ITEM-032,2025-01-01,115,35,127,1,22,17,OPTIMAL
INV-0000281,LOC-012,ITEM-004,2025-01-01,104,14,96,2,20,23,REORDER_TRIGGERED
INV-0000282,LOC-012,ITEM-076,2025-01-01,35,52,87,0,0,20,CRITICAL_OUT_OF_STOCK
INV-0000283,LOC-012,ITEM-063,2025-01-01,32,21,45,0,8,23,REORDER_TRIGGERED
INV-0000284,LOC-012,ITEM-015,2025-01-01,87,41,92,2,34,40,REORDER_TRIGGERED
INV-0000285,LOC-012,ITEM-019,2025-01-01,80,66,25,1,120,28,OPTIMAL
INV-0000286,LOC-012,ITEM-133,2025-01-01,131,28,83,1,75,16,OPTIMAL
