item_id,wasted_quantity,total_loss_amount,incident_count,avg_loss_per_incident,name,category_name,base_price,cost_price,shelf_life_days,complexity_profile,total_sold,wastage_rate_pct
ITEM-087,678,3254.4,152,21.41,Green Goddess Farro Bowl,Farm-Fresh Salads & Grain Bowls,14.5,4.8,5,STANDARD,11804,5.43
ITEM-099,582,3026.4,120,25.22,Lentil Shepherd's Pie Sweet Potato,Vegan & Plant-Based Creations,17.5,5.2,6,STANDARD,11687,4.74
ITEM-084,598,2930.2,148,19.8,Kale Tahini Caesar Roasted Chickpeas,Farm-Fresh Salads & Grain Bowls,13.99,4.9,5,STANDARD,10418,5.43
ITEM-001,431,2909.25,104,27.97,Crispy Parmesan Truffle Fries,Appetizers & Small Plates,8.99,6.75,14,POPULAR_LOW_MARGIN,12597,3.31
ITEM-112,864,2678.4,189,14.17,Salted Caramel Creme Brulee,Handcrafted Desserts & Pastries,11.0,3.1,4,STANDARD,10929,7.33
ITEM-117,606,2545.2,133,19.14,Artisanal Macaron Assortment (6pcs),Handcrafted Desserts & Pastries,15.0,4.2,10,STANDARD,10554,5.43
ITEM-015,488,2537.6,101,25.12,Bacon Wrapped Stuffed Dates,Appetizers & Small Plates,13.5,5.2,7,STANDARD,11979,3.91
ITEM-089,436,2528.8,120,21.07,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls,15.5,5.8,4,STANDARD,11887,3.54
ITEM-111,788,2521.6,163,15.47,Traditional Italian Tiramisu,Handcrafted Desserts & Pastries,10.5,3.2,4,STANDARD,11578,6.37
ITEM-103,566,2490.4,124,20.08,Korean Gochujang Crispy Tofu,Vegan & Plant-Based Creations,14.5,4.4,6,STANDARD,11198,4.81
ITEM-042,359,2477.1,83,29.84,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,19.0,6.9,5,STANDARD,10360,3.35
ITEM-037,443,2436.5,97,25.12,Spaghetti All'Amatriciana,Wood-Fired Pizzas & Pastas,17.5,5.5,6,PRICE_SENSITIVE,11158,3.82
ITEM-093,570,2394.0,115,20.82,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,12.0,4.2,5,STANDARD,9749,5.52
ITEM-013,407,2238.5,92,24.33,Loaded Queso Nachos,Appetizers & Small Plates,22.5,15.0,10,STANDARD,11804,3.33
ITEM-038,395,2054.0,86,23.88,Creamy Fettuccine Alfredo,Wood-Fired Pizzas & Pastas,16.99,5.2,6,PRICE_SENSITIVE,11036,3.46
ITEM-088,633,2025.6,124,16.34,Simple Garden House Salad,Farm-Fresh Salads & Grain Bowls,8.99,3.2,4,PRICE_SENSITIVE,11630,5.16
ITEM-003,285,2023.5,61,33.17,Golden Mozzarella Sticks,Appetizers & Small Plates,9.5,7.1,30,POPULAR_LOW_MARGIN,10905,2.55
ITEM-109,694,1943.2,152,12.78,Warm Apple Cinnamon Crisp,Handcrafted Desserts & Pastries,9.5,2.8,5,STANDARD,10603,6.14
ITEM-116,715,1930.5,161,11.99,Key Lime Tart Graham Crust,Handcrafted Desserts & Pastries,9.5,2.7,5,STANDARD,11885,5.67
ITEM-135,307,1903.4,57,33.39,Red Sangria Pitcher (House Wine),Signature Cocktails & Mocktails,29.0,6.2,30,STANDARD,12204,2.45
ITEM-115,629,1887.0,133,14.19,Pecan Pie Bourbon Whipped Cream,Handcrafted Desserts & Pastries,10.0,3.0,7,STANDARD,10695,5.55
ITEM-004,360,1728.0,73,23.67,Garlic Herb Breadsticks,Appetizers & Small Plates,6.99,4.8,4,POPULAR_LOW_MARGIN,11761,2.97
ITEM-134,827,1405.9,174,8.08,Strawberry Basil Smash Lemonade (Mocktail),Signature Cocktails & Mocktails,8.5,1.7,5,PRICE_SENSITIVE,11046,6.97
ITEM-133,88,1232.0,18,68.44,Rare Japanese Whisky Flight (3-pour),Signature Cocktails & Mocktails,55.0,14.0,365,PROFITABLE_LOW_SELLING,11128,0.78
ITEM-126,419,1215.1,78,15.58,Espresso Martini Vanilla Foam,Signature Cocktails & Mocktails,15.0,2.9,30,STANDARD,12139,3.34
ITEM-104,387,1083.6,84,12.9,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,9.99,2.8,7,PRICE_SENSITIVE,9923,3.75
ITEM-124,266,957.6,61,15.7,Elderflower French 75 Champagne,Signature Cocktails & Mocktails,17.0,3.6,180,STANDARD,10946,2.37
ITEM-114,388,931.2,90,10.35,Warm Churros with Spiced Dulce,Handcrafted Desserts & Pastries,9.0,2.4,4,STANDARD,11164,3.36
ITEM-127,568,908.8,123,7.39,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,8.5,1.6,7,PRICE_SENSITIVE,13186,4.13
ITEM-128,493,887.4,119,7.46,Hibiscus Berry Botanical Fizz (Mocktail),Signature Cocktails & Mocktails,8.99,1.8,7,STANDARD,11527,4.1
ITEM-121,178,854.4,40,21.36,DineIQ House Draft Lager (Pint),Signature Cocktails & Mocktails,6.5,4.8,60,POPULAR_LOW_MARGIN,11143,1.57
ITEM-123,268,830.8,56,14.84,Spicy Passionfruit Mezcalita,Signature Cocktails & Mocktails,15.5,3.1,60,STANDARD,11032,2.37
ITEM-129,278,778.4,67,11.62,Smoked Rosemary Paloma Tequila,Signature Cocktails & Mocktails,14.5,2.8,60,STANDARD,10653,2.54
ITEM-131,284,766.8,68,11.28,Yuzu Lavender Gin Tonic,Signature Cocktails & Mocktails,14.0,2.7,180,STANDARD,12321,2.25
ITEM-125,162,729.0,38,19.18,Black Truffle Infused Manhattan,Signature Cocktails & Mocktails,28.0,4.5,180,PROFITABLE_LOW_SELLING,10283,1.55
ITEM-122,207,662.4,42,15.77,Signature Smoked Old Fashioned,Signature Cocktails & Mocktails,16.0,3.2,365,STANDARD,12243,1.66
ITEM-107,355,639.0,71,9.0,Classic Madagascar Vanilla Bean Gelato,Handcrafted Desserts & Pastries,7.5,1.8,30,PRICE_SENSITIVE,11604,2.97
ITEM-132,229,595.4,56,10.63,Aperol Spritz Prosecco Orange,Signature Cocktails & Mocktails,13.99,2.6,90,STANDARD,11219,2.0
ITEM-120,287,430.5,61,7.06,Affogato al Caffe Espresso Scoop,Handcrafted Desserts & Pastries,6.99,1.5,20,PRICE_SENSITIVE,12539,2.24
ITEM-130,144,360.0,32,11.25,Classic Moscow Mule Copper Mug,Signature Cocktails & Mocktails,13.5,2.5,180,STANDARD,13481,1.06
ITEM-141,218,305.2,55,5.55,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,6.5,1.4,30,STANDARD,11657,1.84
ITEM-139,253,303.6,54,5.62,Vanilla Bean Oat Milk Latte,Specialty Coffee & Beverages,5.75,1.2,14,STANDARD,10836,2.28
ITEM-140,185,231.25,35,6.61,Caramel Macchiato Sea Salt,Specialty Coffee & Beverages,5.99,1.25,14,STANDARD,10294,1.77
ITEM-150,121,217.8,32,6.81,Artisanal Kombucha Peach Ginger,Specialty Coffee & Beverages,6.25,1.8,45,STANDARD,11076,1.08
ITEM-137,185,203.5,40,5.09,Nitro Cold Brew Sweet Cream,Specialty Coffee & Beverages,5.99,1.1,14,STANDARD,9814,1.85
ITEM-147,183,201.3,40,5.03,Belgian Hot Chocolate Marshmallows,Specialty Coffee & Beverages,5.5,1.1,60,STANDARD,11899,1.51
ITEM-145,133,199.5,25,7.98,Sparkling San Pellegrino (750ml),Specialty Coffee & Beverages,6.0,1.5,365,STANDARD,11102,1.18
ITEM-149,55,137.5,19,7.24,Rare Blue Mountain Jamaican Pour-Over,Specialty Coffee & Beverages,12.0,2.5,90,PROFITABLE_LOW_SELLING,11260,0.49
ITEM-142,141,126.9,33,3.85,Spiced Masala Chai Latte,Specialty Coffee & Beverages,5.25,0.9,30,STANDARD,11800,1.18
ITEM-143,114,51.3,25,2.05,Organic Earl Grey Loose Leaf Tea,Specialty Coffee & Beverages,4.25,0.45,180,STANDARD,11562,0.98
ITEM-138,100,50.0,21,2.38,Double Espresso Single Origin,Specialty Coffee & Beverages,3.5,0.5,60,PRICE_SENSITIVE,10601,0.93
ITEM-136,74,44.4,17,2.61,DineIQ House Drip Roast Coffee,Specialty Coffee & Beverages,3.99,0.6,60,PRICE_SENSITIVE,12702,0.58
