antecedent_id,antecedent_name,antecedent_category,consequent_id,consequent_name,consequent_category,support,confidence,lift,leverage,conviction,joint_orders_count
ITEM-096,Roasted Eggplant Harissa Shakshuka,Vegan & Plant-Based Creations,ITEM-108,New York Style Cheesecake,Handcrafted Desserts & Pastries,0.0051,0.1191,1.0947,0.000444,1.0117,464
ITEM-021,California Turkey Avocado Club,Artisanal Burgers & Handhelds,ITEM-031,Margherita Sourdough Pizza,Wood-Fired Pizzas & Pastas,0.009,0.1467,1.093,0.000765,1.0146,814
ITEM-098,Avocado Supergreen Toast Sourdough,Vegan & Plant-Based Creations,ITEM-033,Quattro Formaggi Bianca,Wood-Fired Pizzas & Pastas,0.0065,0.0908,1.0929,0.000555,1.0085,591
ITEM-103,Korean Gochujang Crispy Tofu,Vegan & Plant-Based Creations,ITEM-003,Golden Mozzarella Sticks,Appetizers & Small Plates,0.0062,0.116,1.0918,0.00052,1.011,559
ITEM-124,Elderflower French 75 Champagne,Signature Cocktails & Mocktails,ITEM-129,Smoked Rosemary Paloma Tequila,Signature Cocktails & Mocktails,0.0057,0.0826,1.0904,0.000469,1.0075,512
ITEM-104,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0068,0.0896,1.0903,0.000567,1.0082,619
ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,ITEM-104,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,0.0068,0.0832,1.0903,0.000567,1.0075,619
ITEM-082,Wild Rice & Avocado Harvest Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-111,Traditional Italian Tiramisu,Handcrafted Desserts & Pastries,0.0056,0.0981,1.09,0.000462,1.009,506
ITEM-081,Thai Crunch Peanut Chicken Salad,Farm-Fresh Salads & Grain Bowls,ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,0.0059,0.0837,1.0883,0.000481,1.0074,536
ITEM-101,Thai Coconut Green Curry Tofu,Vegan & Plant-Based Creations,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0055,0.0892,1.0857,0.000434,1.0077,497
ITEM-043,Burrata Caprese Pizza,Wood-Fired Pizzas & Pastas,ITEM-088,Simple Garden House Salad,Farm-Fresh Salads & Grain Bowls,0.0055,0.105,1.0842,0.000431,1.0091,502
ITEM-065,Jumbo Lump Crab Cakes (2pcs),Chef Specials & Seafood,ITEM-106,Molten Chocolate Lava Cake,Handcrafted Desserts & Pastries,0.0051,0.1316,1.0841,0.000395,1.0118,461
ITEM-022,Black Angus Bacon Cheddar,Artisanal Burgers & Handhelds,ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,0.0084,0.0862,1.0836,0.000648,1.0073,760
ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,ITEM-022,Black Angus Bacon Cheddar,Artisanal Burgers & Handhelds,0.0084,0.1056,1.0836,0.000648,1.0091,760
ITEM-086,Sesame Ahi Tuna Poke Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-112,Salted Caramel Creme Brulee,Handcrafted Desserts & Pastries,0.006,0.0871,1.0828,0.000456,1.0073,540
ITEM-009,Truffle Whipped Burrata,Appetizers & Small Plates,ITEM-033,Quattro Formaggi Bianca,Wood-Fired Pizzas & Pastas,0.0061,0.09,1.0826,0.000469,1.0075,556
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0054,0.0889,1.0816,0.000407,1.0074,488
ITEM-090,Warm Roasted Butternut Squash Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-016,DineIQ Smash Double Cheeseburger,Artisanal Burgers & Handhelds,0.0052,0.1522,1.0815,0.000393,1.0135,472
ITEM-079,Strawberry Gorgonzola Pecan Salad,Farm-Fresh Salads & Grain Bowls,ITEM-138,Double Espresso Single Origin,Specialty Coffee & Beverages,0.0078,0.127,1.0815,0.000588,1.011,706
ITEM-115,Pecan Pie Bourbon Whipped Cream,Handcrafted Desserts & Pastries,ITEM-137,Nitro Cold Brew Sweet Cream,Specialty Coffee & Beverages,0.0056,0.121,1.0812,0.000418,1.0103,504
ITEM-128,Hibiscus Berry Botanical Fizz (Mocktail),Signature Cocktails & Mocktails,ITEM-112,Salted Caramel Creme Brulee,Handcrafted Desserts & Pastries,0.0062,0.087,1.0808,0.000465,1.0071,563
ITEM-101,Thai Coconut Green Curry Tofu,Vegan & Plant-Based Creations,ITEM-077,Mediterranean Quinoa Crunch Bowl,Farm-Fresh Salads & Grain Bowls,0.0055,0.0898,1.0802,0.00041,1.0073,500
ITEM-063,Wild King Salmon Lemon Herb,Chef Specials & Seafood,ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,0.0081,0.1175,1.08,0.000597,1.0099,729
ITEM-044,Lasagna Bolognese Al Forno,Wood-Fired Pizzas & Pastas,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0068,0.0935,1.0799,0.000505,1.0076,617
ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,0.0077,0.0972,1.0796,0.00057,1.0079,700
ITEM-058,BBQ Glazed St. Louis Ribs (Full),Prime Steaks & Butcher Cuts,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.006,0.0935,1.0796,0.000446,1.0076,547
ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,0.0077,0.0859,1.0796,0.00057,1.0069,700
ITEM-104,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,0.0067,0.0882,1.0793,0.000495,1.0071,609
ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,ITEM-104,Golden Turmeric Lentil Soup Bowl,Vegan & Plant-Based Creations,0.0067,0.0824,1.0793,0.000495,1.0066,609
ITEM-081,Thai Crunch Peanut Chicken Salad,Farm-Fresh Salads & Grain Bowls,ITEM-037,Spaghetti All'Amatriciana,Wood-Fired Pizzas & Pastas,0.0069,0.0969,1.0793,0.000505,1.0079,621
ITEM-009,Truffle Whipped Burrata,Appetizers & Small Plates,ITEM-093,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,0.0056,0.0817,1.0787,0.000407,1.0065,505
ITEM-146,Acai Berry Superfood Smoothie,Specialty Coffee & Beverages,ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,0.006,0.0971,1.0786,0.000437,1.0078,543
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,ITEM-088,Simple Garden House Salad,Farm-Fresh Salads & Grain Bowls,0.0063,0.1044,1.0782,0.000459,1.0084,573
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,ITEM-122,Signature Smoked Old Fashioned,Signature Cocktails & Mocktails,0.006,0.0997,1.0781,0.000438,1.008,547
ITEM-079,Strawberry Gorgonzola Pecan Salad,Farm-Fresh Salads & Grain Bowls,ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,0.0072,0.1172,1.0776,0.000519,1.0096,652
ITEM-034,Prosciutto e Rucola Pizza,Wood-Fired Pizzas & Pastas,ITEM-132,Aperol Spritz Prosecco Orange,Signature Cocktails & Mocktails,0.0064,0.1101,1.0773,0.000456,1.0089,575
ITEM-097,Jackfruit Smoky Carnitas Tacos,Vegan & Plant-Based Creations,ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,0.0051,0.0828,1.0773,0.000364,1.0065,459
ITEM-082,Wild Rice & Avocado Harvest Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-123,Spicy Passionfruit Mezcalita,Signature Cocktails & Mocktails,0.0051,0.0892,1.0771,0.000364,1.007,460
ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0074,0.0932,1.0766,0.000528,1.0073,671
ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,ITEM-127,Zero-Proof Cucumber Mint Cooler,Signature Cocktails & Mocktails,0.0074,0.0857,1.0766,0.000528,1.0067,671
ITEM-043,Burrata Caprese Pizza,Wood-Fired Pizzas & Pastas,ITEM-001,Crispy Parmesan Truffle Fries,Appetizers & Small Plates,0.0073,0.1376,1.0762,0.000515,1.0113,658
ITEM-011,Spicy Tuna Crispy Rice,Appetizers & Small Plates,ITEM-033,Quattro Formaggi Bianca,Wood-Fired Pizzas & Pastas,0.0052,0.0894,1.0755,0.000368,1.0069,474
ITEM-014,Spanakopita Herb Triangles,Appetizers & Small Plates,ITEM-137,Nitro Cold Brew Sweet Cream,Specialty Coffee & Beverages,0.005,0.1203,1.0754,0.000353,1.0096,455
ITEM-117,Artisanal Macaron Assortment (6pcs),Handcrafted Desserts & Pastries,ITEM-121,DineIQ House Draft Lager (Pint),Signature Cocktails & Mocktails,0.0076,0.1431,1.0753,0.000536,1.0117,692
ITEM-145,Sparkling San Pellegrino (750ml),Specialty Coffee & Beverages,ITEM-093,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,0.0057,0.0815,1.0752,0.000399,1.0062,516
ITEM-034,Prosciutto e Rucola Pizza,Wood-Fired Pizzas & Pastas,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0054,0.093,1.0749,0.000374,1.0072,486
ITEM-067,Seafood Paella Valenciana,Chef Specials & Seafood,ITEM-004,Garlic Herb Breadsticks,Appetizers & Small Plates,0.0051,0.1192,1.0744,0.00035,1.0094,457
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),Prime Steaks & Butcher Cuts,ITEM-031,Margherita Sourdough Pizza,Wood-Fired Pizzas & Pastas,0.006,0.1442,1.0739,0.000414,1.0116,545
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),Prime Steaks & Butcher Cuts,ITEM-137,Nitro Cold Brew Sweet Cream,Specialty Coffee & Beverages,0.005,0.1201,1.0736,0.000344,1.0094,454
ITEM-011,Spicy Tuna Crispy Rice,Appetizers & Small Plates,ITEM-052,Steak Frites Garlic Herb Butter,Prime Steaks & Butcher Cuts,0.0064,0.1084,1.0735,0.000435,1.0083,575
ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,ITEM-089,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls,0.0074,0.0909,1.0734,0.000508,1.0068,672
ITEM-089,Southwest Chipotle Chicken Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-026,Classic BLT Sourdough,Artisanal Burgers & Handhelds,0.0074,0.0877,1.0734,0.000508,1.0066,672
ITEM-063,Wild King Salmon Lemon Herb,Chef Specials & Seafood,ITEM-017,Crispy Buttermilk Chicken Sandwich,Artisanal Burgers & Handhelds,0.0091,0.1327,1.0733,0.000621,1.0104,823
ITEM-024,Portobello Mushroom Swiss Burger,Artisanal Burgers & Handhelds,ITEM-004,Garlic Herb Breadsticks,Appetizers & Small Plates,0.0054,0.119,1.0722,0.000365,1.0091,490
ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,ITEM-138,Double Espresso Single Origin,Specialty Coffee & Beverages,0.0113,0.1258,1.0718,0.000759,1.0096,1025
ITEM-138,Double Espresso Single Origin,Specialty Coffee & Beverages,ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,0.0113,0.0965,1.0718,0.000759,1.0072,1025
ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,ITEM-012,Heirloom Tomato Bruschetta,Appetizers & Small Plates,0.0095,0.0876,1.0715,0.000636,1.0064,862
ITEM-012,Heirloom Tomato Bruschetta,Appetizers & Small Plates,ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,0.0095,0.1166,1.0715,0.000636,1.0088,862
ITEM-109,Warm Apple Cinnamon Crisp,Handcrafted Desserts & Pastries,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0064,0.0927,1.0709,0.000422,1.0068,577
ITEM-102,Mushroom & Walnut Bolognese,Vegan & Plant-Based Creations,ITEM-022,Black Angus Bacon Cheddar,Artisanal Burgers & Handhelds,0.0052,0.1043,1.0708,0.000342,1.0077,468
ITEM-039,Handcrafted Lobster Ravioli,Wood-Fired Pizzas & Pastas,ITEM-016,DineIQ Smash Double Cheeseburger,Artisanal Burgers & Handhelds,0.0054,0.1506,1.0706,0.000355,1.0117,487
ITEM-025,Philly Ribeye Cheesesteak,Artisanal Burgers & Handhelds,ITEM-037,Spaghetti All'Amatriciana,Wood-Fired Pizzas & Pastas,0.0066,0.0961,1.0703,0.000433,1.007,596
ITEM-086,Sesame Ahi Tuna Poke Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0063,0.0926,1.0698,0.000414,1.0067,574
ITEM-100,Crispy Falafel Mezze Platter,Vegan & Plant-Based Creations,ITEM-112,Salted Caramel Creme Brulee,Handcrafted Desserts & Pastries,0.0059,0.0861,1.0697,0.000385,1.0061,535
ITEM-143,Organic Earl Grey Loose Leaf Tea,Specialty Coffee & Beverages,ITEM-041,Calabrian Sausage Rigatoni,Wood-Fired Pizzas & Pastas,0.0057,0.0821,1.0692,0.000368,1.0058,514
ITEM-101,Thai Coconut Green Curry Tofu,Vegan & Plant-Based Creations,ITEM-139,Vanilla Bean Oat Milk Latte,Specialty Coffee & Beverages,0.0083,0.1349,1.0692,0.000537,1.0101,751
ITEM-146,Acai Berry Superfood Smoothie,Specialty Coffee & Beverages,ITEM-083,Classic Greek Village Salad,Farm-Fresh Salads & Grain Bowls,0.0052,0.0837,1.069,0.000334,1.0059,468
ITEM-063,Wild King Salmon Lemon Herb,Chef Specials & Seafood,ITEM-012,Heirloom Tomato Bruschetta,Appetizers & Small Plates,0.006,0.0874,1.0689,0.000386,1.0062,542
ITEM-059,Bistro Hanger Steak Shallot Jus,Prime Steaks & Butcher Cuts,ITEM-001,Crispy Parmesan Truffle Fries,Appetizers & Small Plates,0.0067,0.1367,1.0688,0.000432,1.0102,607
ITEM-115,Pecan Pie Bourbon Whipped Cream,Handcrafted Desserts & Pastries,ITEM-003,Golden Mozzarella Sticks,Appetizers & Small Plates,0.0052,0.1135,1.0686,0.000336,1.0082,473
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),Prime Steaks & Butcher Cuts,ITEM-076,DineIQ Signature Caesar Salad,Farm-Fresh Salads & Grain Bowls,0.0053,0.1259,1.0681,0.000336,1.0092,476
ITEM-009,Truffle Whipped Burrata,Appetizers & Small Plates,ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,0.0079,0.1162,1.0678,0.000504,1.0083,718
ITEM-046,USDA Prime Center-Cut Filet Mignon (8oz),Prime Steaks & Butcher Cuts,ITEM-037,Spaghetti All'Amatriciana,Wood-Fired Pizzas & Pastas,0.0052,0.0959,1.0675,0.000331,1.0067,474
ITEM-084,Kale Tahini Caesar Roasted Chickpeas,Farm-Fresh Salads & Grain Bowls,ITEM-022,Black Angus Bacon Cheddar,Artisanal Burgers & Handhelds,0.006,0.104,1.0675,0.000379,1.0073,543
ITEM-055,Steakhouse Flat Iron Chimichurri,Prime Steaks & Butcher Cuts,ITEM-111,Traditional Italian Tiramisu,Handcrafted Desserts & Pastries,0.0069,0.0961,1.0674,0.000437,1.0067,627
ITEM-009,Truffle Whipped Burrata,Appetizers & Small Plates,ITEM-042,Spicy Diavola Pizza,Wood-Fired Pizzas & Pastas,0.0063,0.0924,1.0673,0.000398,1.0064,571
ITEM-058,BBQ Glazed St. Louis Ribs (Full),Prime Steaks & Butcher Cuts,ITEM-129,Smoked Rosemary Paloma Tequila,Signature Cocktails & Mocktails,0.0052,0.0808,1.0662,0.000324,1.0055,473
ITEM-021,California Turkey Avocado Club,Artisanal Burgers & Handhelds,ITEM-002,Classic Buffalo Chicken Wings,Appetizers & Small Plates,0.0079,0.1284,1.0661,0.000488,1.0091,712
ITEM-100,Crispy Falafel Mezze Platter,Vegan & Plant-Based Creations,ITEM-017,Crispy Buttermilk Chicken Sandwich,Artisanal Burgers & Handhelds,0.0091,0.1318,1.066,0.000561,1.0094,819
ITEM-040,Truffled Wild Mushroom Gnocchi,Wood-Fired Pizzas & Pastas,ITEM-041,Calabrian Sausage Rigatoni,Wood-Fired Pizzas & Pastas,0.005,0.0818,1.0658,0.000311,1.0055,456
ITEM-098,Avocado Supergreen Toast Sourdough,Vegan & Plant-Based Creations,ITEM-142,Spiced Masala Chai Latte,Specialty Coffee & Beverages,0.006,0.0834,1.0658,0.000371,1.0056,543
ITEM-081,Thai Crunch Peanut Chicken Salad,Farm-Fresh Salads & Grain Bowls,ITEM-041,Calabrian Sausage Rigatoni,Wood-Fired Pizzas & Pastas,0.0058,0.0818,1.0656,0.000357,1.0055,524
ITEM-116,Key Lime Tart Graham Crust,Handcrafted Desserts & Pastries,ITEM-017,Crispy Buttermilk Chicken Sandwich,Artisanal Burgers & Handhelds,0.0081,0.1316,1.0652,0.000497,1.0093,735
ITEM-124,Elderflower French 75 Champagne,Signature Cocktails & Mocktails,ITEM-111,Traditional Italian Tiramisu,Handcrafted Desserts & Pastries,0.0066,0.0959,1.0652,0.000402,1.0065,594
ITEM-030,Grilled Halloumi Flatbread,Artisanal Burgers & Handhelds,ITEM-032,Double Pepperoni Hot Honey Pizza,Wood-Fired Pizzas & Pastas,0.0055,0.1417,1.065,0.000334,1.0101,496
ITEM-126,Espresso Martini Vanilla Foam,Signature Cocktails & Mocktails,ITEM-077,Mediterranean Quinoa Crunch Bowl,Farm-Fresh Salads & Grain Bowls,0.0086,0.0885,1.0649,0.000523,1.0059,777
ITEM-023,Smoked Brisket Panini,Artisanal Burgers & Handhelds,ITEM-107,Classic Madagascar Vanilla Bean Gelato,Handcrafted Desserts & Pastries,0.0063,0.1113,1.0649,0.000386,1.0076,572
ITEM-077,Mediterranean Quinoa Crunch Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-126,Espresso Martini Vanilla Foam,Signature Cocktails & Mocktails,0.0086,0.1033,1.0649,0.000523,1.007,777
ITEM-019,BBQ Pulled Pork Brioche,Artisanal Burgers & Handhelds,ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,0.0093,0.1159,1.0648,0.000568,1.008,844
ITEM-068,Classic Fish & Chips Tartar,Chef Specials & Seafood,ITEM-019,BBQ Pulled Pork Brioche,Artisanal Burgers & Handhelds,0.0093,0.0857,1.0648,0.000568,1.0057,844
ITEM-080,Roasted Beet & Goat Cheese Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-003,Golden Mozzarella Sticks,Appetizers & Small Plates,0.0059,0.1131,1.0647,0.000359,1.0077,534
ITEM-085,Blackened Salmon Cobb Salad,Farm-Fresh Salads & Grain Bowls,ITEM-111,Traditional Italian Tiramisu,Handcrafted Desserts & Pastries,0.0062,0.0958,1.0642,0.000377,1.0064,565
ITEM-023,Smoked Brisket Panini,Artisanal Burgers & Handhelds,ITEM-001,Crispy Parmesan Truffle Fries,Appetizers & Small Plates,0.0077,0.136,1.0641,0.000465,1.0095,699
ITEM-050,Slow-Braised Beef Short Ribs,Prime Steaks & Butcher Cuts,ITEM-130,Classic Moscow Mule Copper Mug,Signature Cocktails & Mocktails,0.0059,0.0971,1.0639,0.000354,1.0065,533
ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,ITEM-077,Mediterranean Quinoa Crunch Bowl,Farm-Fresh Salads & Grain Bowls,0.0068,0.0884,1.0639,0.000408,1.0058,615
ITEM-077,Mediterranean Quinoa Crunch Bowl,Farm-Fresh Salads & Grain Bowls,ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,0.0068,0.0818,1.0639,0.000408,1.0053,615
ITEM-109,Warm Apple Cinnamon Crisp,Handcrafted Desserts & Pastries,ITEM-126,Espresso Martini Vanilla Foam,Signature Cocktails & Mocktails,0.0071,0.1031,1.0629,0.00042,1.0068,642
ITEM-108,New York Style Cheesecake,Handcrafted Desserts & Pastries,ITEM-093,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,0.0088,0.0805,1.0626,0.000516,1.0052,792
ITEM-093,Crispy Cauliflower Buffalo Bites,Vegan & Plant-Based Creations,ITEM-108,New York Style Cheesecake,Handcrafted Desserts & Pastries,0.0088,0.1156,1.0626,0.000516,1.0077,792
ITEM-114,Warm Churros with Spiced Dulce,Handcrafted Desserts & Pastries,ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,0.0069,0.0817,1.0621,0.000401,1.0052,621
ITEM-007,Crispy Calamari Fritti,Appetizers & Small Plates,ITEM-114,Warm Churros with Spiced Dulce,Handcrafted Desserts & Pastries,0.0069,0.0893,1.0621,0.000401,1.0057,621
ITEM-146,Acai Berry Superfood Smoothie,Specialty Coffee & Beverages,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0054,0.0873,1.062,0.000315,1.0056,488
ITEM-109,Warm Apple Cinnamon Crisp,Handcrafted Desserts & Pastries,ITEM-076,DineIQ Signature Caesar Salad,Farm-Fresh Salads & Grain Bowls,0.0086,0.1252,1.0617,0.0005,1.0083,779
ITEM-021,California Turkey Avocado Club,Artisanal Burgers & Handhelds,ITEM-088,Simple Garden House Salad,Farm-Fresh Salads & Grain Bowls,0.0063,0.1028,1.0613,0.000364,1.0066,570
ITEM-124,Elderflower French 75 Champagne,Signature Cocktails & Mocktails,ITEM-013,Loaded Queso Nachos,Appetizers & Small Plates,0.0065,0.0956,1.0611,0.000377,1.0061,592
ITEM-134,Strawberry Basil Smash Lemonade (Mocktail),Signature Cocktails & Mocktails,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0065,0.0872,1.0609,0.000373,1.0055,588
ITEM-114,Warm Churros with Spiced Dulce,Handcrafted Desserts & Pastries,ITEM-076,DineIQ Signature Caesar Salad,Farm-Fresh Salads & Grain Bowls,0.0105,0.125,1.0607,0.000602,1.0082,951
ITEM-076,DineIQ Signature Caesar Salad,Farm-Fresh Salads & Grain Bowls,ITEM-114,Warm Churros with Spiced Dulce,Handcrafted Desserts & Pastries,0.0105,0.0892,1.0607,0.000602,1.0056,951
ITEM-097,Jackfruit Smoky Carnitas Tacos,Vegan & Plant-Based Creations,ITEM-141,Ceremonial Iced Matcha Latte,Specialty Coffee & Beverages,0.0053,0.0872,1.0603,0.000304,1.0054,483
ITEM-003,Golden Mozzarella Sticks,Appetizers & Small Plates,ITEM-132,Aperol Spritz Prosecco Orange,Signature Cocktails & Mocktails,0.0115,0.1083,1.0601,0.000652,1.0069,1041
ITEM-136,DineIQ House Drip Roast Coffee,Specialty Coffee & Beverages,ITEM-083,Classic Greek Village Salad,Farm-Fresh Salads & Grain Bowls,0.0125,0.083,1.0601,0.000712,1.0051,1135
ITEM-083,Classic Greek Village Salad,Farm-Fresh Salads & Grain Bowls,ITEM-136,DineIQ House Drip Roast Coffee,Specialty Coffee & Beverages,0.0125,0.1602,1.0601,0.000712,1.0108,1135
ITEM-132,Aperol Spritz Prosecco Orange,Signature Cocktails & Mocktails,ITEM-003,Golden Mozzarella Sticks,Appetizers & Small Plates,0.0115,0.1126,1.0601,0.000652,1.0072,1041
