location_id,restaurant_name,restaurant_city,restaurant_state,location_tier,total_revenue,total_orders,total_discounts,unique_customer_count,revenue_share_pct,average_order_value,gross_item_sales,total_food_cost,gross_profit,contribution_margin_pct,repeat_purchase_rate,quantity_wasted,total_wastage_loss_amount,wastage_rate_pct,rating_count,avg_overall_rating,avg_food_rating,avg_service_rating,avg_ambiance_rating,csat_pct,star_1_count,star_5_count,net_satisfaction_score,promoted_order_count,promoted_revenue,promoted_discounts,promoted_order_share_pct,promoted_revenue_share_pct,revenue_rank,profit_rank,satisfaction_rank,wastage_efficiency_rank,menu_hidden_opportunities,menu_low_performers,menu_profit_drivers,menu_volume_drivers
LOC-011,DineIQ Silicon Valley Hub,San Jose,CA,Urban Corporate,1140242.04,4272,25323.59,3953,4.6809647109617485,266.91058988764047,981561.81,431570.3,549991.51,56.03228491540436,3.6175056918795847,15319,160710.25,19.933636955107353,4611,3.581218824549989,3.5430492301019303,3.5001084363478636,3.657774886141835,63.196703535024945,774,1637,18.716113641292562,1393,345182.34,24931.93,32.607677902621724,30.272725254017125,11,11,17,10,39,44,36,31
LOC-005,DineIQ West Loop Bistro,Chicago,IL,Urban Dining,1116724.13,4171,25186.26,3857,4.584418098116659,267.7353464397027,961154.13,421981.5,539172.63,56.096375510554175,3.9927404718693285,15726,168167.1,20.72674073781187,4569,3.6390895163055372,3.577588093674765,3.5780258262201796,3.6797986430291094,64.74064346684176,697,1679,21.4926679798643,1457,380338.77,25186.26,34.93167106209542,34.05843572127344,12,12,3,13,40,41,36,33
LOC-014,DineIQ Seattle Pike Place,Seattle,WA,Urban Dining,1109149.1,4117,24077.73,3803,4.55332079870953,269.40711683264516,955880.43,418760.45,537119.98,56.19112633156429,4.154614777806994,15240,157690.8,20.34712950600801,4633,3.6086768832290095,3.565508309950356,3.5406863803151305,3.676667386142888,63.63047701273473,728,1657,20.051802287934382,1399,367609.97,24077.73,33.9810541656546,33.143422286507736,13,13,12,12,41,41,36,32
LOC-009,DineIQ Dallas Arts District,Dallas,TX,Urban Dining,1072288.34,3996,23268.0,3680,4.401998613834439,268.34042542542545,924577.09,406933.25,517643.84,55.98709351537144,4.211956521739131,15611,164796.5,21.242634952169713,4433,3.601173020527859,3.5472591924204826,3.535980148883375,3.672005413940898,63.52357320099256,686,1535,19.151815926009476,1313,336558.65,22598.28,32.85785785785786,31.386954184356792,14,14,16,14,45,37,34,34
LOC-020,DineIQ Boston Back Bay,Boston,MA,Historic Urban,1007599.92,3751,22993.84,3422,4.136437267554072,268.6216795521195,868838.9,383041.2,485797.7,55.91343803782266,4.149620105201636,16127,169904.7,22.75350254666535,4196,3.6065300285986654,3.554337464251668,3.5285986653956147,3.665872259294566,63.91801715919924,639,1467,19.73307912297426,1318,341181.01,22760.87,35.13729672087443,33.86076191828201,15,15,13,17,42,41,33,34
LOC-015,DineIQ Bellevue Tech Plaza,Bellevue,WA,Urban Corporate,990464.07,3696,22978.03,3414,4.066090528591234,267.9827029220779,855364.54,378352.8,477011.74,55.76706979225489,3.8371411833626246,15339,161231.5,22.344749224292396,4068,3.5648967551622417,3.538102261553589,3.4852507374631267,3.6494591937069814,62.61061946902655,675,1412,18.117010816125863,1305,332651.62,22978.03,35.30844155844156,33.58543031247969,16,16,18,15,36,46,35,33
LOC-019,DineIQ Atlanta Midtown,Atlanta,GA,Urban Dining,978434.46,3687,21258.68,3407,4.016706119034968,265.37414157851913,841928.77,371015.05,470913.72,55.932726945534824,3.756970942177869,15615,161964.8,22.789299318437223,4141,3.551316107220478,3.5056749577396764,3.473557111808742,3.6266602269983097,62.207196329389035,720,1435,17.266360782419703,1210,306146.94,21063.69,32.818009221589364,31.289468279766027,17,17,20,19,42,45,29,34
LOC-003,DineIQ Brooklyn Heights,Brooklyn,NY,Suburban Upscale,950687.45,3519,20927.86,3253,3.9027980450573563,270.15841148053426,819128.9,359563.0,459565.9,56.10422242457811,3.6274208422994154,15157,158599.55,22.779122018665745,3904,3.6011782786885247,3.545594262295082,3.5197233606557377,3.674436475409836,63.70389344262295,625,1383,19.415983606557376,1180,301668.36,20927.86,33.532253481102586,31.731602221108524,18,18,15,18,41,43,33,33
LOC-018,DineIQ Denver LoDo,Denver,CO,Urban Dining,948456.74,3521,21366.91,3286,3.89364045006955,269.3714115308151,816026.86,359369.9,456656.96,55.96102069483351,3.377967133292757,14961,155356.15,22.700168419136055,3940,3.6459390862944163,3.5961928934010152,3.5601522842639595,3.701015228426396,64.41624365482234,560,1408,21.522842639593907,1174,303397.79,20718.19,33.34280034081227,31.988574407726805,19,19,2,16,51,30,35,34
LOC-007,DineIQ Austin Domain Drive-Thru,Austin,TX,Drive-Thru Express,483351.72,1791,10227.81,1703,1.9842737462150262,269.8781239530988,416190.38,182708.1,233482.28,56.099874293105955,1.5854374633000587,15786,161926.85,37.70421324161651,1979,3.561899949469429,3.5123799898938857,3.5063163213744315,3.6144517433046994,63.16321374431531,337,667,16.67508842849924,585,153357.9,10227.81,32.663316582914575,31.728013712250778,20,20,19,20,45,52,20,33
