price_history_id,item_id,location_id,base_price,cost_price,effective_start_date,effective_end_date,change_reason,complexity_profile
PRH-000032,ITEM-016,ALL,14.41,11.66,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000033,ITEM-017,ALL,14.5,11.0,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000034,ITEM-017,ALL,14.94,11.88,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000035,ITEM-018,ALL,28.0,11.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000036,ITEM-018,ALL,29.96,11.85,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000037,ITEM-019,ALL,15.0,7.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000038,ITEM-019,ALL,15.75,7.49,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000039,ITEM-020,ALL,15.5,7.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000040,ITEM-020,ALL,16.28,7.8,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000041,ITEM-021,ALL,16.0,8.9,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000042,ITEM-021,ALL,16.8,9.43,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000043,ITEM-022,ALL,17.5,8.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000044,ITEM-022,ALL,18.38,8.32,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000045,ITEM-023,ALL,17.0,8.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000046,ITEM-023,ALL,17.85,8.53,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000047,ITEM-024,ALL,15.0,5.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000048,ITEM-024,ALL,15.75,6.03,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000049,ITEM-025,ALL,18.0,9.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000050,ITEM-025,ALL,18.9,9.57,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000051,ITEM-026,ALL,11.99,4.8,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000052,ITEM-026,ALL,12.59,4.99,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000053,ITEM-027,ALL,16.5,8.7,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000054,ITEM-027,ALL,17.32,9.22,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000055,ITEM-028,ALL,15.5,7.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000056,ITEM-028,ALL,16.28,7.49,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000057,ITEM-029,ALL,34.0,14.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000058,ITEM-029,ALL,36.38,14.94,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000059,ITEM-030,ALL,14.0,5.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000060,ITEM-030,ALL,14.7,5.72,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000061,ITEM-031,ALL,15.99,12.0,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000062,ITEM-031,ALL,16.47,12.96,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000063,ITEM-032,ALL,18.5,13.8,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000064,ITEM-032,ALL,19.05,14.9,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000065,ITEM-033,ALL,18.0,7.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000066,ITEM-033,ALL,18.9,7.8,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000067,ITEM-034,ALL,21.0,9.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000068,ITEM-034,ALL,22.05,10.39,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000069,ITEM-035,ALL,42.0,11.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000070,ITEM-035,ALL,44.94,11.85,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000071,ITEM-036,ALL,26.0,9.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000072,ITEM-036,ALL,27.3,9.88,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000073,ITEM-037,ALL,17.5,5.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000074,ITEM-037,ALL,18.38,5.72,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000075,ITEM-038,ALL,16.99,5.2,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000076,ITEM-038,ALL,17.84,5.41,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000077,ITEM-039,ALL,29.5,11.2,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000078,ITEM-039,ALL,30.98,11.87,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000079,ITEM-040,ALL,22.0,7.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000080,ITEM-040,ALL,23.1,8.11,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000081,ITEM-041,ALL,20.0,6.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000082,ITEM-041,ALL,21.0,7.07,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000083,ITEM-042,ALL,19.0,6.9,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000084,ITEM-042,ALL,19.95,7.18,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000085,ITEM-043,ALL,20.5,8.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000086,ITEM-043,ALL,21.53,9.01,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000087,ITEM-044,ALL,21.0,7.9,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000088,ITEM-044,ALL,22.05,8.22,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000089,ITEM-045,ALL,25.0,12.0,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000090,ITEM-045,ALL,26.25,12.72,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000091,ITEM-046,ALL,48.0,24.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000092,ITEM-046,ALL,50.4,25.48,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000093,ITEM-047,ALL,125.0,38.0,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000094,ITEM-047,ALL,133.75,39.14,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000095,ITEM-048,ALL,56.0,26.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000096,ITEM-048,ALL,58.8,27.04,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000097,ITEM-049,ALL,44.0,19.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000098,ITEM-049,ALL,46.2,20.28,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000099,ITEM-050,ALL,36.0,14.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000100,ITEM-050,ALL,37.8,15.08,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000101,ITEM-051,ALL,95.0,32.0,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000102,ITEM-051,ALL,101.65,32.96,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000103,ITEM-052,ALL,29.99,18.5,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000104,ITEM-052,ALL,30.89,19.98,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000105,ITEM-053,ALL,34.0,13.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000106,ITEM-053,ALL,35.7,14.35,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000107,ITEM-054,ALL,52.0,23.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000108,ITEM-054,ALL,54.6,23.92,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000109,ITEM-055,ALL,26.5,13.2,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000110,ITEM-055,ALL,27.83,13.73,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000111,ITEM-056,ALL,35.0,14.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000112,ITEM-056,ALL,36.75,14.56,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000113,ITEM-057,ALL,49.0,22.0,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000114,ITEM-057,ALL,52.43,22.66,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000115,ITEM-058,ALL,31.0,14.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000116,ITEM-058,ALL,32.55,14.56,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000117,ITEM-059,ALL,28.0,13.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000118,ITEM-059,ALL,29.4,14.04,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000119,ITEM-060,ALL,58.0,25.0,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000120,ITEM-060,ALL,62.06,25.75,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000121,ITEM-061,ALL,46.0,18.5,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000122,ITEM-061,ALL,49.22,19.05,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000123,ITEM-062,ALL,38.0,16.0,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000124,ITEM-062,ALL,39.9,16.96,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000125,ITEM-063,ALL,34.0,16.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000126,ITEM-063,ALL,35.7,16.85,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000127,ITEM-064,ALL,52.0,23.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000128,ITEM-064,ALL,54.6,24.91,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000129,ITEM-065,ALL,32.0,15.0,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000130,ITEM-065,ALL,33.6,15.9,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000131,ITEM-066,ALL,36.0,16.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000132,ITEM-066,ALL,37.8,17.81,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000133,ITEM-067,ALL,35.0,16.0,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000134,ITEM-067,ALL,36.75,16.96,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000135,ITEM-068,ALL,19.99,14.5,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000136,ITEM-068,ALL,20.59,15.66,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000137,ITEM-069,ALL,33.0,14.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000138,ITEM-069,ALL,34.65,15.69,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000139,ITEM-070,ALL,27.0,11.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000140,ITEM-070,ALL,28.35,11.96,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000141,ITEM-071,ALL,22.0,9.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000142,ITEM-071,ALL,23.1,10.07,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000143,ITEM-072,ALL,42.0,17.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000144,ITEM-072,ALL,44.1,18.55,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000145,ITEM-073,ALL,44.0,18.0,2025-01-01,2025-06-30,INITIAL_BASELINE,PROFITABLE_LOW_SELLING
PRH-000146,ITEM-073,ALL,47.08,18.54,2025-07-01,2025-12-31,PREMIUM_TIER_OPTIMIZATION,PROFITABLE_LOW_SELLING
PRH-000147,ITEM-074,ALL,26.0,12.0,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000148,ITEM-074,ALL,27.3,12.72,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000149,ITEM-075,ALL,37.0,16.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000150,ITEM-075,ALL,38.85,17.49,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000151,ITEM-076,ALL,12.99,8.8,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000152,ITEM-076,ALL,13.38,9.5,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000153,ITEM-077,ALL,14.5,5.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000154,ITEM-077,ALL,15.23,5.41,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000155,ITEM-078,ALL,16.5,7.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000156,ITEM-078,ALL,17.32,8.27,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000157,ITEM-079,ALL,14.0,5.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000158,ITEM-079,ALL,14.7,5.2,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000159,ITEM-080,ALL,15.0,5.4,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000160,ITEM-080,ALL,15.75,5.62,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000161,ITEM-081,ALL,16.0,6.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000162,ITEM-081,ALL,16.8,6.45,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000163,ITEM-082,ALL,15.5,7.5,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000164,ITEM-082,ALL,16.28,7.95,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000165,ITEM-083,ALL,13.5,4.8,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000166,ITEM-083,ALL,14.18,4.99,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000167,ITEM-084,ALL,13.99,4.9,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000168,ITEM-084,ALL,14.69,5.1,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000169,ITEM-085,ALL,21.0,9.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000170,ITEM-085,ALL,22.05,10.19,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000171,ITEM-086,ALL,19.5,10.2,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000172,ITEM-086,ALL,20.48,10.81,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000173,ITEM-087,ALL,14.5,4.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000174,ITEM-087,ALL,15.23,4.99,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000175,ITEM-088,ALL,8.99,3.2,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
PRH-000176,ITEM-088,ALL,9.44,3.33,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,PRICE_SENSITIVE
PRH-000177,ITEM-089,ALL,15.5,5.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000178,ITEM-089,ALL,16.28,6.03,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000179,ITEM-090,ALL,14.0,4.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000180,ITEM-090,ALL,14.7,4.68,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000181,ITEM-091,ALL,16.99,11.5,2025-01-01,2025-06-30,INITIAL_BASELINE,POPULAR_LOW_MARGIN
PRH-000182,ITEM-091,ALL,17.5,12.42,2025-07-01,2025-12-31,SUPPLY_COST_SURGE_UNABSORBED,POPULAR_LOW_MARGIN
PRH-000183,ITEM-092,ALL,23.0,7.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000184,ITEM-092,ALL,24.15,7.49,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000185,ITEM-093,ALL,12.0,4.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000186,ITEM-093,ALL,12.6,4.37,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000187,ITEM-094,ALL,19.0,5.8,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000188,ITEM-094,ALL,19.95,6.03,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000189,ITEM-095,ALL,16.5,4.9,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000190,ITEM-095,ALL,17.32,5.1,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000191,ITEM-096,ALL,15.0,4.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000192,ITEM-096,ALL,15.75,4.68,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000193,ITEM-097,ALL,15.5,5.1,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000194,ITEM-097,ALL,16.28,5.3,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000195,ITEM-098,ALL,13.5,6.8,2025-01-01,2025-06-30,INITIAL_BASELINE,HIGH_WASTAGE
PRH-000196,ITEM-098,ALL,14.18,7.21,2025-07-01,2025-12-31,SPOILAGE_RISK_SURCHARGE,HIGH_WASTAGE
PRH-000197,ITEM-099,ALL,17.5,5.2,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000198,ITEM-099,ALL,18.38,5.41,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000199,ITEM-100,ALL,16.0,5.0,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000200,ITEM-100,ALL,16.8,5.2,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000201,ITEM-101,ALL,18.0,5.5,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000202,ITEM-101,ALL,18.9,5.72,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000203,ITEM-102,ALL,18.5,5.6,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000204,ITEM-102,ALL,19.43,5.82,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000205,ITEM-103,ALL,14.5,4.4,2025-01-01,2025-06-30,INITIAL_BASELINE,STANDARD
PRH-000206,ITEM-103,ALL,15.23,4.58,2025-07-01,2025-12-31,ANNUAL_INFLATION_ADJUSTMENT,STANDARD
PRH-000207,ITEM-104,ALL,9.99,2.8,2025-01-01,2025-06-30,INITIAL_BASELINE,PRICE_SENSITIVE
