customer_id,recency,frequency,monetary_value,average_order_value,visit_frequency,favorite_menu_categories,promotion_sensitivity,ordering_channel,time_of_day_preference,repeat_behavior,r_score,f_score,m_score,rfm_cell,rfm_composite_index,customer_segment
CUST-00020,205,1,215.04,215.04,180.0,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Lunch,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00021,40,2,561.82,280.91,26.0,Artisanal Burgers & Handhelds,0.5,TAKEOUT,Dinner,0.08,4,3,4,434,3.7,New Customers
CUST-00022,52,3,648.08,216.03,115.5,Wood-Fired Pizzas & Pastas,0.3333,DINE_IN,Dinner,0.0,4,4,4,444,4.0,High-Value Loyal Customers
CUST-00023,232,1,251.53,251.53,180.0,Artisanal Burgers & Handhelds,0.0,DELIVERY,Dinner,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00024,58,3,639.37,213.12,90.0,Artisanal Burgers & Handhelds,0.6667,TAKEOUT,Lunch,0.125,4,4,4,444,4.0,Promotion-Driven Customers
CUST-00025,129,3,768.76,256.25,91.5,Wood-Fired Pizzas & Pastas,0.3333,DINE_IN,Lunch,0.0556,3,4,4,344,3.6,Occasional Customers
CUST-00026,41,5,1086.09,217.22,70.5,Appetizers & Small Plates,0.4,DINE_IN,Dinner,0.1026,4,5,5,455,4.6,Promotion-Driven Customers
CUST-00027,158,1,157.48,157.48,180.0,Farm-Fresh Salads & Grain Bowls,0.0,TAKEOUT,Lunch,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00028,286,2,623.49,311.75,16.0,Specialty Coffee & Beverages,1.0,DELIVERY,Dinner,0.0625,2,3,4,234,2.9,At-Risk Customers
CUST-00029,181,1,410.24,410.24,180.0,Appetizers & Small Plates,0.0,DINE_IN,Dinner,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00030,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00031,246,1,349.03,349.03,180.0,Farm-Fresh Salads & Grain Bowls,1.0,DELIVERY,Lunch,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00032,17,5,1581.01,316.2,74.0,Wood-Fired Pizzas & Pastas,0.4,DINE_IN,Dinner,0.1136,5,5,5,555,5.0,Promotion-Driven Customers
CUST-00033,130,5,1121.83,224.37,41.2,Wood-Fired Pizzas & Pastas,0.2,TAKEOUT,Dinner,0.0976,3,5,5,355,4.2,Occasional Customers
CUST-00034,87,2,725.0,362.5,233.0,Specialty Coffee & Beverages,0.5,TAKEOUT,Dinner,0.04,4,3,4,434,3.7,Promotion-Driven Customers
CUST-00035,149,3,691.41,230.47,47.0,Farm-Fresh Salads & Grain Bowls,0.0,DINE_IN,Dinner,0.0385,3,4,4,344,3.6,Occasional Customers
CUST-00036,44,3,1007.23,335.74,40.0,Farm-Fresh Salads & Grain Bowls,0.6667,DINE_IN,Dinner,0.08,4,4,5,445,4.3,Promotion-Driven Customers
CUST-00037,95,4,1648.62,412.16,88.3,Farm-Fresh Salads & Grain Bowls,0.5,DINE_IN,Dinner,0.1667,4,5,5,455,4.6,Promotion-Driven Customers
CUST-00038,31,2,388.76,194.38,147.0,Signature Cocktails & Mocktails,1.0,TAKEOUT,Dinner,0.0,5,3,3,533,3.8,New Customers
CUST-00039,12,3,1421.28,473.76,69.5,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Dinner,0.1429,5,4,5,545,4.7,High-Value Loyal Customers
CUST-00040,29,5,1132.18,226.44,83.8,Specialty Coffee & Beverages,0.4,DINE_IN,Dinner,0.2195,5,5,5,555,5.0,Promotion-Driven Customers
CUST-00041,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00042,33,2,504.67,252.34,98.0,Specialty Coffee & Beverages,0.5,DINE_IN,Dinner,0.0,5,3,3,533,3.8,New Customers
CUST-00043,59,4,1066.25,266.56,50.3,Vegan & Plant-Based Creations,0.25,TAKEOUT,Dinner,0.0833,4,5,5,455,4.6,High-Value Loyal Customers
CUST-00044,132,2,611.05,305.53,20.0,Wood-Fired Pizzas & Pastas,0.0,DINE_IN,Dinner,0.0,3,3,4,334,3.3,Occasional Customers
CUST-00045,3,5,1105.34,221.07,80.8,Farm-Fresh Salads & Grain Bowls,0.2,DINE_IN,Dinner,0.2093,5,5,5,555,5.0,High-Value Loyal Customers
CUST-00046,76,1,213.76,213.76,180.0,Vegan & Plant-Based Creations,0.0,TAKEOUT,Lunch,0.0,4,1,2,412,2.5,Occasional Customers
CUST-00047,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00048,262,2,731.03,365.52,15.0,Specialty Coffee & Beverages,0.0,DINE_IN,Dinner,0.1111,2,3,4,234,2.9,At-Risk Customers
CUST-00049,156,1,415.92,415.92,180.0,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Dinner,0.0,3,1,3,313,2.4,Occasional Customers
CUST-00050,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00051,101,2,835.19,417.6,212.0,Artisanal Burgers & Handhelds,0.0,DELIVERY,Dinner,0.0,3,3,5,335,3.6,Occasional Customers
CUST-00052,88,2,564.0,282.0,69.0,Signature Cocktails & Mocktails,0.5,DINE_IN,Dinner,0.0526,4,3,4,434,3.7,Promotion-Driven Customers
CUST-00053,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00054,166,6,1735.77,289.3,34.6,Wood-Fired Pizzas & Pastas,0.1667,DELIVERY,Lunch,0.2609,3,5,5,355,4.2,At-Risk Customers
CUST-00055,305,1,205.62,205.62,180.0,Farm-Fresh Salads & Grain Bowls,1.0,DRIVE_THRU,Lunch,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00056,88,1,249.2,249.2,180.0,Vegan & Plant-Based Creations,0.0,DINE_IN,Dinner,0.0,4,1,2,412,2.5,Occasional Customers
CUST-00057,227,1,210.51,210.51,180.0,Vegan & Plant-Based Creations,0.0,DRIVE_THRU,Dinner,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00058,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00059,173,1,380.43,380.43,180.0,Specialty Coffee & Beverages,0.0,DELIVERY,Lunch,0.0,3,1,3,313,2.4,Occasional Customers
CUST-00060,229,1,578.92,578.92,180.0,Artisanal Burgers & Handhelds,0.0,DINE_IN,Lunch,0.0,2,1,4,214,2.3,Occasional Customers
CUST-00061,134,3,539.26,179.75,67.0,Specialty Coffee & Beverages,0.3333,DINE_IN,Dinner,0.087,3,4,4,344,3.6,Occasional Customers
CUST-00062,176,2,303.33,151.67,91.0,Farm-Fresh Salads & Grain Bowls,0.0,DELIVERY,Dinner,0.0,2,3,2,232,2.3,At-Risk Customers
CUST-00063,226,3,789.97,263.32,65.0,Appetizers & Small Plates,0.3333,DINE_IN,Dinner,0.1071,2,4,5,245,3.5,At-Risk Customers
CUST-00064,253,1,333.43,333.43,180.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Dinner,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00065,24,1,717.05,717.05,180.0,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Dinner,0.0,5,1,4,514,3.5,New Customers
CUST-00066,146,1,430.4,430.4,180.0,Specialty Coffee & Beverages,0.0,DINE_IN,Lunch,0.0,3,1,3,313,2.4,Occasional Customers
CUST-00067,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00068,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00069,135,1,245.13,245.13,180.0,Artisanal Burgers & Handhelds,0.0,TAKEOUT,Lunch,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00070,58,1,572.51,572.51,180.0,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Lunch,0.0,4,1,4,414,3.1,New Customers
CUST-00071,123,3,1039.2,346.4,52.5,Wood-Fired Pizzas & Pastas,0.0,TAKEOUT,Lunch,0.08,3,4,5,345,3.9,Occasional Customers
CUST-00072,35,2,461.17,230.58,159.0,Specialty Coffee & Beverages,0.5,DINE_IN,Lunch,0.0769,5,3,3,533,3.8,New Customers
CUST-00073,7,2,443.58,221.79,164.0,Handcrafted Desserts & Pastries,0.0,DINE_IN,Dinner,0.0,5,3,3,533,3.8,New Customers
CUST-00074,156,2,335.26,167.63,116.0,Handcrafted Desserts & Pastries,0.5,TAKEOUT,Dinner,0.0,3,3,3,333,3.0,At-Risk Customers
CUST-00075,254,2,417.33,208.67,31.0,Appetizers & Small Plates,0.0,DINE_IN,Dinner,0.0,2,3,3,233,2.6,At-Risk Customers
CUST-00076,82,1,354.87,354.87,180.0,Appetizers & Small Plates,0.0,DINE_IN,Lunch,0.0,4,1,3,413,2.8,Occasional Customers
CUST-00077,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00078,10,4,1230.58,307.65,112.3,Appetizers & Small Plates,0.5,TAKEOUT,Dinner,0.1667,5,5,5,555,5.0,Promotion-Driven Customers
CUST-00079,6,4,914.07,228.52,97.0,Specialty Coffee & Beverages,0.0,TAKEOUT,Dinner,0.1515,5,5,5,555,5.0,High-Value Loyal Customers
CUST-00080,85,2,379.96,189.98,38.0,Farm-Fresh Salads & Grain Bowls,0.5,DRIVE_THRU,Dinner,0.0,4,3,3,433,3.4,Promotion-Driven Customers
CUST-00081,17,4,1325.18,331.29,111.7,Wood-Fired Pizzas & Pastas,0.25,DINE_IN,Dinner,0.1579,5,5,5,555,5.0,High-Value Loyal Customers
CUST-00082,115,2,529.82,264.91,37.0,Wood-Fired Pizzas & Pastas,1.0,DINE_IN,Lunch,0.1176,3,3,4,334,3.3,Promotion-Driven Customers
CUST-00083,39,1,327.18,327.18,180.0,Appetizers & Small Plates,0.0,DINE_IN,Dinner,0.0,4,1,3,413,2.8,New Customers
CUST-00084,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00085,252,2,914.71,457.36,75.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Dinner,0.04,2,3,5,235,3.2,At-Risk Customers
CUST-00086,81,3,1044.15,348.05,96.0,Artisanal Burgers & Handhelds,0.3333,DINE_IN,Dinner,0.2,4,4,5,445,4.3,High-Value Loyal Customers
CUST-00087,106,5,892.82,178.56,47.8,Specialty Coffee & Beverages,0.6,TAKEOUT,Dinner,0.1471,3,5,5,355,4.2,Promotion-Driven Customers
CUST-00088,37,2,475.21,237.61,137.0,Handcrafted Desserts & Pastries,0.0,DINE_IN,Dinner,0.0,5,3,3,533,3.8,New Customers
CUST-00089,304,2,510.0,255.0,60.0,Signature Cocktails & Mocktails,0.5,DINE_IN,Lunch,0.0556,2,3,4,234,2.9,At-Risk Customers
CUST-00090,213,1,342.29,342.29,180.0,Specialty Coffee & Beverages,0.0,TAKEOUT,Lunch,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00091,148,4,1080.7,270.18,35.3,Wood-Fired Pizzas & Pastas,0.5,DINE_IN,Lunch,0.1429,3,5,5,355,4.2,Promotion-Driven Customers
CUST-00092,46,2,633.85,316.93,75.0,Artisanal Burgers & Handhelds,0.5,DRIVE_THRU,Lunch,0.0,4,3,4,434,3.7,New Customers
CUST-00093,198,2,446.71,223.36,83.0,Vegan & Plant-Based Creations,0.5,DELIVERY,Lunch,0.0526,2,3,3,233,2.6,At-Risk Customers
CUST-00094,21,5,1062.93,212.59,42.5,Specialty Coffee & Beverages,0.4,TAKEOUT,Dinner,0.1429,5,5,5,555,5.0,Promotion-Driven Customers
CUST-00095,68,1,271.14,271.14,180.0,Specialty Coffee & Beverages,1.0,TAKEOUT,Lunch,0.0,4,1,2,412,2.5,Occasional Customers
CUST-00096,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00097,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00098,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00099,32,3,545.71,181.9,111.0,Specialty Coffee & Beverages,0.6667,DINE_IN,Dinner,0.0357,5,4,4,544,4.4,Promotion-Driven Customers
CUST-00100,163,3,596.7,198.9,77.5,Specialty Coffee & Beverages,0.3333,TAKEOUT,Dinner,0.04,3,4,4,344,3.6,At-Risk Customers
CUST-00101,345,1,216.27,216.27,180.0,Farm-Fresh Salads & Grain Bowls,0.0,DINE_IN,Dinner,0.0,1,1,2,112,1.3,Occasional Customers
CUST-00102,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00103,80,2,787.87,393.94,120.0,Wood-Fired Pizzas & Pastas,0.0,DINE_IN,Dinner,0.0,4,3,5,435,4.0,Occasional Customers
CUST-00104,179,2,377.46,188.73,104.0,Specialty Coffee & Beverages,0.5,DRIVE_THRU,Dinner,0.0588,2,3,3,233,2.6,At-Risk Customers
CUST-00105,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00106,65,2,696.86,348.43,17.0,Wood-Fired Pizzas & Pastas,0.5,DINE_IN,Lunch,0.0526,4,3,4,434,3.7,Promotion-Driven Customers
CUST-00107,101,3,767.12,255.71,89.0,Wood-Fired Pizzas & Pastas,0.3333,DELIVERY,Lunch,0.2609,3,4,4,344,3.6,High-Value Loyal Customers
CUST-00108,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00109,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00110,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00111,209,2,397.65,198.83,67.0,Wood-Fired Pizzas & Pastas,0.0,DRIVE_THRU,Dinner,0.0714,2,3,3,233,2.6,At-Risk Customers
CUST-00112,248,2,591.4,295.7,61.0,Chef Specials & Seafood,0.5,TAKEOUT,Dinner,0.0,2,3,4,234,2.9,At-Risk Customers
CUST-00113,50,2,507.6,253.8,96.0,Artisanal Burgers & Handhelds,0.5,TAKEOUT,Dinner,0.05,4,3,4,434,3.7,New Customers
CUST-00114,6,2,288.0,144.0,17.0,Appetizers & Small Plates,0.5,DELIVERY,Dinner,0.0,5,3,2,532,3.5,New Customers
CUST-00115,186,3,1278.1,426.03,67.5,Wood-Fired Pizzas & Pastas,0.3333,DINE_IN,Lunch,0.0645,2,4,5,245,3.5,At-Risk Customers
CUST-00116,161,2,279.76,139.88,16.0,Signature Cocktails & Mocktails,0.0,TAKEOUT,Dinner,0.0,3,3,2,332,2.7,At-Risk Customers
CUST-00117,150,4,1235.49,308.87,55.7,Signature Cocktails & Mocktails,0.25,TAKEOUT,Lunch,0.1579,3,5,5,355,4.2,At-Risk Customers
CUST-00118,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00119,34,1,283.87,283.87,180.0,Specialty Coffee & Beverages,0.0,DELIVERY,Lunch,0.0,5,1,2,512,2.9,New Customers
CUST-00120,48,1,433.43,433.43,180.0,Signature Cocktails & Mocktails,1.0,DINE_IN,Dinner,0.0,4,1,3,413,2.8,New Customers
CUST-00121,353,1,153.37,153.37,180.0,Specialty Coffee & Beverages,0.0,DINE_IN,Dinner,0.0,1,1,2,112,1.3,Occasional Customers
CUST-00122,33,2,556.94,278.47,64.0,Farm-Fresh Salads & Grain Bowls,0.5,TAKEOUT,Dinner,0.1905,5,3,4,534,4.1,New Customers
CUST-00123,58,3,812.25,270.75,78.0,Specialty Coffee & Beverages,0.3333,DINE_IN,Lunch,0.1481,4,4,5,445,4.3,High-Value Loyal Customers
CUST-00124,164,2,332.1,166.05,137.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Lunch,0.0,3,3,3,333,3.0,At-Risk Customers
CUST-00125,223,2,450.02,225.01,72.0,Handcrafted Desserts & Pastries,0.5,DINE_IN,Dinner,0.0714,2,3,3,233,2.6,At-Risk Customers
CUST-00126,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00127,4,2,585.06,292.53,193.0,Signature Cocktails & Mocktails,0.5,DELIVERY,Lunch,0.0,5,3,4,534,4.1,New Customers
CUST-00128,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00129,186,1,310.17,310.17,180.0,Prime Steaks & Butcher Cuts,0.0,DELIVERY,Dinner,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00130,253,1,373.64,373.64,180.0,Vegan & Plant-Based Creations,1.0,DELIVERY,Dinner,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00131,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00132,81,2,471.98,235.99,50.0,Signature Cocktails & Mocktails,0.5,DINE_IN,Lunch,0.0,4,3,3,433,3.4,Promotion-Driven Customers
CUST-00133,219,2,517.85,258.93,93.0,Signature Cocktails & Mocktails,0.5,DINE_IN,Dinner,0.05,2,3,4,234,2.9,At-Risk Customers
CUST-00134,37,1,245.2,245.2,180.0,Wood-Fired Pizzas & Pastas,0.0,DINE_IN,Dinner,0.0,5,1,2,512,2.9,New Customers
CUST-00135,266,1,235.79,235.79,180.0,Specialty Coffee & Beverages,0.0,DINE_IN,Dinner,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00136,2,2,425.34,212.67,28.0,Wood-Fired Pizzas & Pastas,0.5,DRIVE_THRU,Dinner,0.0,5,3,3,533,3.8,New Customers
CUST-00137,150,1,190.94,190.94,180.0,Wood-Fired Pizzas & Pastas,0.0,DELIVERY,Lunch,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00138,3,4,757.14,189.29,114.0,Signature Cocktails & Mocktails,0.5,TAKEOUT,Dinner,0.0645,5,5,4,554,4.7,Promotion-Driven Customers
CUST-00139,153,2,242.93,121.47,95.0,Prime Steaks & Butcher Cuts,0.0,DINE_IN,Lunch,0.0,3,3,2,332,2.7,At-Risk Customers
CUST-00140,233,3,793.61,264.54,18.5,Specialty Coffee & Beverages,0.6667,DRIVE_THRU,Dinner,0.1154,2,4,5,245,3.5,At-Risk Customers
CUST-00141,247,2,505.18,252.59,88.0,Specialty Coffee & Beverages,0.0,DINE_IN,Dinner,0.05,2,3,3,233,2.6,At-Risk Customers
CUST-00142,34,3,903.71,301.24,161.0,Handcrafted Desserts & Pastries,0.0,DINE_IN,Lunch,0.0741,5,4,5,545,4.7,High-Value Loyal Customers
CUST-00143,25,5,1273.87,254.77,55.0,Signature Cocktails & Mocktails,0.4,TAKEOUT,Dinner,0.1818,5,5,5,555,5.0,Promotion-Driven Customers
CUST-00144,54,1,248.95,248.95,180.0,Artisanal Burgers & Handhelds,0.0,TAKEOUT,Dinner,0.0,4,1,2,412,2.5,New Customers
CUST-00145,35,2,809.53,404.77,326.0,Chef Specials & Seafood,0.0,DELIVERY,Dinner,0.0625,5,3,5,535,4.4,New Customers
CUST-00146,11,1,201.82,201.82,180.0,Specialty Coffee & Beverages,0.0,DRIVE_THRU,Dinner,0.0,5,1,2,512,2.9,New Customers
CUST-00147,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00148,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00149,130,1,644.15,644.15,180.0,Appetizers & Small Plates,0.0,DELIVERY,Lunch,0.0,3,1,4,314,2.7,Occasional Customers
CUST-00150,171,1,319.9,319.9,180.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Lunch,0.0,3,1,3,313,2.4,Occasional Customers
CUST-00151,194,1,376.74,376.74,180.0,Signature Cocktails & Mocktails,0.0,DELIVERY,Lunch,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00152,5,2,520.09,260.05,150.0,Wood-Fired Pizzas & Pastas,0.5,DINE_IN,Lunch,0.0,5,3,4,534,4.1,New Customers
CUST-00153,32,5,1545.91,309.18,71.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Lunch,0.3077,5,5,5,555,5.0,High-Value Loyal Customers
CUST-00154,74,3,489.77,163.26,63.0,Specialty Coffee & Beverages,0.3333,TAKEOUT,Dinner,0.04,4,4,3,443,3.7,Frequent Customers
CUST-00155,28,2,617.54,308.77,25.0,Wood-Fired Pizzas & Pastas,0.5,DINE_IN,Lunch,0.0526,5,3,4,534,4.1,New Customers
CUST-00156,136,2,584.26,292.13,200.0,Appetizers & Small Plates,1.0,DRIVE_THRU,Dinner,0.05,3,3,4,334,3.3,Promotion-Driven Customers
CUST-00157,180,4,789.86,197.47,38.7,Specialty Coffee & Beverages,0.5,DINE_IN,Dinner,0.1379,2,5,5,255,3.8,At-Risk Customers
CUST-00158,292,1,164.18,164.18,180.0,Wood-Fired Pizzas & Pastas,1.0,DINE_IN,Lunch,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00159,198,1,335.23,335.23,180.0,Appetizers & Small Plates,1.0,DRIVE_THRU,Dinner,0.0,2,1,3,213,2.0,Occasional Customers
CUST-00160,205,1,162.8,162.8,180.0,Artisanal Burgers & Handhelds,0.0,DELIVERY,Lunch,0.0,2,1,2,212,1.7,Occasional Customers
CUST-00161,97,2,378.36,189.18,46.0,Wood-Fired Pizzas & Pastas,0.0,DINE_IN,Lunch,0.0,3,3,3,333,3.0,Occasional Customers
CUST-00162,184,4,1047.28,261.82,28.0,Vegan & Plant-Based Creations,0.0,DINE_IN,Dinner,0.0882,2,5,5,255,3.8,At-Risk Customers
CUST-00163,26,1,328.41,328.41,180.0,Wood-Fired Pizzas & Pastas,1.0,DINE_IN,Dinner,0.0,5,1,3,513,3.2,New Customers
CUST-00164,192,2,759.68,379.84,107.0,Farm-Fresh Salads & Grain Bowls,0.5,DINE_IN,Dinner,0.1304,2,3,4,234,2.9,At-Risk Customers
CUST-00165,134,1,291.57,291.57,180.0,Wood-Fired Pizzas & Pastas,0.0,DINE_IN,Lunch,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00166,152,1,160.13,160.13,180.0,Prime Steaks & Butcher Cuts,1.0,DINE_IN,Dinner,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00167,189,2,328.86,164.43,133.0,Handcrafted Desserts & Pastries,1.0,DELIVERY,Dinner,0.0,2,3,3,233,2.6,At-Risk Customers
CUST-00168,122,2,407.68,203.84,122.0,Artisanal Burgers & Handhelds,0.0,TAKEOUT,Dinner,0.0,3,3,3,333,3.0,Occasional Customers
CUST-00169,124,1,279.13,279.13,180.0,Signature Cocktails & Mocktails,0.0,DINE_IN,Lunch,0.0,3,1,2,312,2.1,Occasional Customers
CUST-00170,153,2,417.28,208.64,49.0,Wood-Fired Pizzas & Pastas,0.5,TAKEOUT,Dinner,0.0,3,3,3,333,3.0,At-Risk Customers
CUST-00171,143,2,469.72,234.86,20.0,Farm-Fresh Salads & Grain Bowls,0.0,TAKEOUT,Dinner,0.0526,3,3,3,333,3.0,Occasional Customers
CUST-00172,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
CUST-00173,129,2,594.08,297.04,234.0,Signature Cocktails & Mocktails,0.5,DRIVE_THRU,Dinner,0.1111,3,3,4,334,3.3,Promotion-Driven Customers
CUST-00174,365,0,0.0,0.0,365.0,Artisanal Burgers,0.0,Dine-in,Dinner,0.0,1,1,1,111,1.0,Occasional Customers
