customer_id,customer_recency,customer_frequency,customer_monetary_value,average_order_value,promotion_sensitivity,first_order_date,last_order_date,lunch_orders,dinner_orders,late_night_orders,r_score,f_score,m_score,rfm_cell,rfm_composite_index
CUST-00040,29,5,1132.18,226.44,0.4,2025-01-01,2025-12-02,1,3,0,5,5,5,555,5.0
CUST-00041,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00042,33,2,504.67,252.34,0.5,2025-08-22,2025-11-28,0,0,0,5,3,3,533,3.8
CUST-00043,59,4,1066.25,266.56,0.25,2025-06-04,2025-11-02,1,2,0,4,5,5,455,4.6
CUST-00044,132,2,611.05,305.53,0.0,2025-08-01,2025-08-21,1,1,0,3,3,4,334,3.3
CUST-00045,3,5,1105.34,221.07,0.2,2025-02-08,2025-12-28,0,3,0,5,5,5,555,5.0
CUST-00046,76,1,213.76,213.76,0.0,2025-10-16,2025-10-16,1,0,0,4,1,2,412,2.5
CUST-00047,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00048,262,2,731.03,365.52,0.0,2025-03-29,2025-04-13,0,2,0,2,3,4,234,2.9
CUST-00049,156,1,415.92,415.92,0.0,2025-07-28,2025-07-28,0,1,0,3,1,3,313,2.4
CUST-00050,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00051,101,2,835.19,417.6,0.0,2025-02-21,2025-09-21,1,1,0,3,3,5,335,3.6
CUST-00052,88,2,564.0,282.0,0.5,2025-07-27,2025-10-04,1,1,0,4,3,4,434,3.7
CUST-00053,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00054,166,6,1735.77,289.3,0.1667,2025-01-26,2025-07-18,3,2,0,3,5,5,355,4.2
CUST-00055,305,1,205.62,205.62,1.0,2025-03-01,2025-03-01,1,0,0,2,1,2,212,1.7
CUST-00056,88,1,249.2,249.2,0.0,2025-10-04,2025-10-04,0,0,0,4,1,2,412,2.5
CUST-00057,227,1,210.51,210.51,0.0,2025-05-18,2025-05-18,0,0,0,2,1,2,212,1.7
CUST-00058,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00059,173,1,380.43,380.43,0.0,2025-07-11,2025-07-11,1,0,0,3,1,3,313,2.4
CUST-00060,229,1,578.92,578.92,0.0,2025-05-16,2025-05-16,1,0,0,2,1,4,214,2.3
CUST-00061,134,3,539.26,179.75,0.3333,2025-04-07,2025-08-19,1,2,0,3,4,4,344,3.6
CUST-00062,176,2,303.33,151.67,0.0,2025-04-08,2025-07-08,1,1,0,2,3,2,232,2.3
CUST-00063,226,3,789.97,263.32,0.3333,2025-01-09,2025-05-19,1,1,0,2,4,5,245,3.5
CUST-00064,253,1,333.43,333.43,0.0,2025-04-22,2025-04-22,0,1,0,2,1,3,213,2.0
CUST-00065,24,1,717.05,717.05,0.0,2025-12-07,2025-12-07,0,0,0,5,1,4,514,3.5
CUST-00066,146,1,430.4,430.4,0.0,2025-08-07,2025-08-07,1,0,0,3,1,3,313,2.4
CUST-00067,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00068,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00069,135,1,245.13,245.13,0.0,2025-08-18,2025-08-18,1,0,0,3,1,2,312,2.1
CUST-00070,58,1,572.51,572.51,0.0,2025-11-03,2025-11-03,1,0,0,4,1,4,414,3.1
CUST-00071,123,3,1039.2,346.4,0.0,2025-05-17,2025-08-30,3,0,0,3,4,5,345,3.9
CUST-00072,35,2,461.17,230.58,0.5,2025-06-20,2025-11-26,2,0,0,5,3,3,533,3.8
CUST-00073,7,2,443.58,221.79,0.0,2025-07-13,2025-12-24,1,1,0,5,3,3,533,3.8
CUST-00074,156,2,335.26,167.63,0.5,2025-04-03,2025-07-28,1,1,1,3,3,3,333,3.0
CUST-00075,254,2,417.33,208.67,0.0,2025-03-21,2025-04-21,1,1,0,2,3,3,233,2.6
CUST-00076,82,1,354.87,354.87,0.0,2025-10-10,2025-10-10,1,0,0,4,1,3,413,2.8
CUST-00077,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00078,10,4,1230.58,307.65,0.5,2025-01-18,2025-12-21,0,2,0,5,5,5,555,5.0
CUST-00079,6,4,914.07,228.52,0.0,2025-03-09,2025-12-25,1,3,0,5,5,5,555,5.0
CUST-00080,85,2,379.96,189.98,0.5,2025-08-30,2025-10-07,0,1,0,4,3,3,433,3.4
CUST-00081,17,4,1325.18,331.29,0.25,2025-01-13,2025-12-14,1,2,0,5,5,5,555,5.0
CUST-00082,115,2,529.82,264.91,1.0,2025-08-01,2025-09-07,1,0,0,3,3,4,334,3.3
CUST-00083,39,1,327.18,327.18,0.0,2025-11-22,2025-11-22,0,1,0,4,1,3,413,2.8
CUST-00084,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00085,252,2,914.71,457.36,0.0,2025-02-07,2025-04-23,0,2,0,2,3,5,235,3.2
CUST-00086,81,3,1044.15,348.05,0.3333,2025-04-02,2025-10-11,0,1,0,4,4,5,445,4.3
CUST-00087,106,5,892.82,178.56,0.6,2025-03-09,2025-09-16,2,2,1,3,5,5,355,4.2
CUST-00088,37,2,475.21,237.61,0.0,2025-07-10,2025-11-24,1,1,0,5,3,3,533,3.8
CUST-00089,304,2,510.0,255.0,0.5,2025-01-01,2025-03-02,1,0,0,2,3,4,234,2.9
CUST-00090,213,1,342.29,342.29,0.0,2025-06-01,2025-06-01,1,0,0,2,1,3,213,2.0
CUST-00091,148,4,1080.7,270.18,0.5,2025-04-21,2025-08-05,4,0,0,3,5,5,355,4.2
CUST-00092,46,2,633.85,316.93,0.5,2025-09-01,2025-11-15,2,0,0,4,3,4,434,3.7
CUST-00093,198,2,446.71,223.36,0.5,2025-03-25,2025-06-16,1,0,0,2,3,3,233,2.6
CUST-00094,21,5,1062.93,212.59,0.4,2025-06-23,2025-12-10,2,2,0,5,5,5,555,5.0
CUST-00095,68,1,271.14,271.14,1.0,2025-10-24,2025-10-24,1,0,0,4,1,2,412,2.5
CUST-00096,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00097,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00098,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00099,32,3,545.71,181.9,0.6667,2025-04-21,2025-11-29,0,2,0,5,4,4,544,4.4
CUST-00100,163,3,596.7,198.9,0.3333,2025-02-16,2025-07-21,1,1,0,3,4,4,344,3.6
CUST-00101,345,1,216.27,216.27,0.0,2025-01-20,2025-01-20,0,0,0,1,1,2,112,1.3
CUST-00102,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00103,80,2,787.87,393.94,0.0,2025-06-14,2025-10-12,0,1,1,4,3,5,435,4.0
CUST-00104,179,2,377.46,188.73,0.5,2025-03-23,2025-07-05,0,0,0,2,3,3,233,2.6
CUST-00105,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00106,65,2,696.86,348.43,0.5,2025-10-10,2025-10-27,2,0,0,4,3,4,434,3.7
CUST-00107,101,3,767.12,255.71,0.3333,2025-03-27,2025-09-21,1,0,0,3,4,4,344,3.6
CUST-00108,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00109,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00110,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00111,209,2,397.65,198.83,0.0,2025-03-30,2025-06-05,0,1,0,2,3,3,233,2.6
CUST-00112,248,2,591.4,295.7,0.5,2025-02-25,2025-04-27,1,1,0,2,3,4,234,2.9
CUST-00113,50,2,507.6,253.8,0.5,2025-08-07,2025-11-11,1,1,1,4,3,4,434,3.7
CUST-00114,6,2,288.0,144.0,0.5,2025-12-08,2025-12-25,1,1,0,5,3,2,532,3.5
CUST-00115,186,3,1278.1,426.03,0.3333,2025-02-13,2025-06-28,2,1,0,2,4,5,245,3.5
CUST-00116,161,2,279.76,139.88,0.0,2025-07-07,2025-07-23,0,1,0,3,3,2,332,2.7
CUST-00117,150,4,1235.49,308.87,0.25,2025-02-17,2025-08-03,3,0,0,3,5,5,355,4.2
CUST-00118,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00119,34,1,283.87,283.87,0.0,2025-11-27,2025-11-27,1,0,0,5,1,2,512,2.9
CUST-00120,48,1,433.43,433.43,1.0,2025-11-13,2025-11-13,0,1,0,4,1,3,413,2.8
CUST-00121,353,1,153.37,153.37,0.0,2025-01-12,2025-01-12,0,1,0,1,1,2,112,1.3
CUST-00122,33,2,556.94,278.47,0.5,2025-09-25,2025-11-28,1,1,0,5,3,4,534,4.1
CUST-00123,58,3,812.25,270.75,0.3333,2025-05-31,2025-11-03,2,1,0,4,4,5,445,4.3
CUST-00124,164,2,332.1,166.05,0.0,2025-03-05,2025-07-20,2,0,0,3,3,3,333,3.0
CUST-00125,223,2,450.02,225.01,0.5,2025-03-11,2025-05-22,0,2,0,2,3,3,233,2.6
CUST-00126,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00127,4,2,585.06,292.53,0.5,2025-06-17,2025-12-27,2,0,0,5,3,4,534,4.1
CUST-00128,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00129,186,1,310.17,310.17,0.0,2025-06-28,2025-06-28,0,1,0,2,1,3,213,2.0
CUST-00130,253,1,373.64,373.64,1.0,2025-04-22,2025-04-22,0,1,0,2,1,3,213,2.0
CUST-00131,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00132,81,2,471.98,235.99,0.5,2025-08-22,2025-10-11,2,0,0,4,3,3,433,3.4
CUST-00133,219,2,517.85,258.93,0.5,2025-02-22,2025-05-26,1,1,0,2,3,4,234,2.9
CUST-00134,37,1,245.2,245.2,0.0,2025-11-24,2025-11-24,0,1,0,5,1,2,512,2.9
CUST-00135,266,1,235.79,235.79,0.0,2025-04-09,2025-04-09,0,0,0,2,1,2,212,1.7
CUST-00136,2,2,425.34,212.67,0.5,2025-12-01,2025-12-29,1,1,0,5,3,3,533,3.8
CUST-00137,150,1,190.94,190.94,0.0,2025-08-03,2025-08-03,1,0,0,3,1,2,312,2.1
CUST-00138,3,4,757.14,189.29,0.5,2025-01-20,2025-12-28,2,2,0,5,5,4,554,4.7
CUST-00139,153,2,242.93,121.47,0.0,2025-04-27,2025-07-31,1,0,0,3,3,2,332,2.7
CUST-00140,233,3,793.61,264.54,0.6667,2025-04-05,2025-05-12,1,2,0,2,4,5,245,3.5
CUST-00141,247,2,505.18,252.59,0.0,2025-01-30,2025-04-28,0,1,0,2,3,3,233,2.6
CUST-00142,34,3,903.71,301.24,0.0,2025-01-09,2025-11-27,2,1,0,5,4,5,545,4.7
CUST-00143,25,5,1273.87,254.77,0.4,2025-04-30,2025-12-06,1,3,0,5,5,5,555,5.0
CUST-00144,54,1,248.95,248.95,0.0,2025-11-07,2025-11-07,0,0,0,4,1,2,412,2.5
CUST-00145,35,2,809.53,404.77,0.0,2025-01-04,2025-11-26,0,2,0,5,3,5,535,4.4
CUST-00146,11,1,201.82,201.82,0.0,2025-12-20,2025-12-20,0,1,0,5,1,2,512,2.9
CUST-00147,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00148,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00149,130,1,644.15,644.15,0.0,2025-08-23,2025-08-23,1,0,0,3,1,4,314,2.7
CUST-00150,171,1,319.9,319.9,0.0,2025-07-13,2025-07-13,1,0,0,3,1,3,313,2.4
CUST-00151,194,1,376.74,376.74,0.0,2025-06-20,2025-06-20,1,0,0,2,1,3,213,2.0
CUST-00152,5,2,520.09,260.05,0.5,2025-07-29,2025-12-26,2,0,0,5,3,4,534,4.1
CUST-00153,32,5,1545.91,309.18,0.0,2025-02-18,2025-11-29,3,2,0,5,5,5,555,5.0
CUST-00154,74,3,489.77,163.26,0.3333,2025-06-14,2025-10-18,1,1,0,4,4,3,443,3.7
CUST-00155,28,2,617.54,308.77,0.5,2025-11-08,2025-12-03,1,0,0,5,3,4,534,4.1
CUST-00156,136,2,584.26,292.13,1.0,2025-01-29,2025-08-17,0,2,0,3,3,4,334,3.3
CUST-00157,180,4,789.86,197.47,0.5,2025-03-10,2025-07-04,0,3,0,2,5,5,255,3.8
CUST-00158,292,1,164.18,164.18,1.0,2025-03-14,2025-03-14,1,0,0,2,1,2,212,1.7
CUST-00159,198,1,335.23,335.23,1.0,2025-06-16,2025-06-16,0,0,0,2,1,3,213,2.0
CUST-00160,205,1,162.8,162.8,0.0,2025-06-09,2025-06-09,1,0,0,2,1,2,212,1.7
CUST-00161,97,2,378.36,189.18,0.0,2025-08-10,2025-09-25,1,0,0,3,3,3,333,3.0
CUST-00162,184,4,1047.28,261.82,0.0,2025-04-07,2025-06-30,1,3,0,2,5,5,255,3.8
CUST-00163,26,1,328.41,328.41,1.0,2025-12-05,2025-12-05,0,0,0,5,1,3,513,3.2
CUST-00164,192,2,759.68,379.84,0.5,2025-03-07,2025-06-22,0,2,0,2,3,4,234,2.9
CUST-00165,134,1,291.57,291.57,0.0,2025-08-19,2025-08-19,1,0,0,3,1,2,312,2.1
CUST-00166,152,1,160.13,160.13,1.0,2025-08-01,2025-08-01,0,1,0,3,1,2,312,2.1
CUST-00167,189,2,328.86,164.43,1.0,2025-02-12,2025-06-25,0,2,0,2,3,3,233,2.6
CUST-00168,122,2,407.68,203.84,0.0,2025-05-01,2025-08-31,1,1,0,3,3,3,333,3.0
CUST-00169,124,1,279.13,279.13,0.0,2025-08-29,2025-08-29,1,0,0,3,1,2,312,2.1
CUST-00170,153,2,417.28,208.64,0.5,2025-06-12,2025-07-31,1,1,0,3,3,3,333,3.0
CUST-00171,143,2,469.72,234.86,0.0,2025-07-21,2025-08-10,1,1,1,3,3,3,333,3.0
CUST-00172,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00173,129,2,594.08,297.04,0.5,2025-01-02,2025-08-24,1,1,0,3,3,4,334,3.3
CUST-00174,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00175,39,1,264.25,264.25,1.0,2025-11-22,2025-11-22,0,1,0,4,1,2,412,2.5
CUST-00176,195,1,206.94,206.94,1.0,2025-06-19,2025-06-19,1,0,0,2,1,2,212,1.7
CUST-00177,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00178,268,1,155.05,155.05,1.0,2025-04-07,2025-04-07,0,1,0,2,1,2,212,1.7
CUST-00179,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00180,19,2,542.76,271.38,0.0,2025-05-05,2025-12-12,2,0,0,5,3,4,534,4.1
CUST-00181,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00182,348,1,63.32,63.32,0.0,2025-01-17,2025-01-17,1,0,0,1,1,1,111,1.0
CUST-00183,67,3,985.69,328.56,0.0,2025-06-15,2025-10-25,1,1,0,4,4,5,445,4.3
CUST-00184,52,5,1729.53,345.91,0.2,2025-03-05,2025-11-09,3,1,0,4,5,5,455,4.6
CUST-00185,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00186,94,3,605.41,201.8,0.0,2025-06-09,2025-09-28,1,2,0,4,4,4,444,4.0
CUST-00187,78,1,151.54,151.54,0.0,2025-10-14,2025-10-14,0,1,0,4,1,2,412,2.5
CUST-00188,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00189,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00190,97,1,352.84,352.84,0.0,2025-09-25,2025-09-25,0,1,0,3,1,3,313,2.4
CUST-00191,23,6,1536.61,256.1,0.6667,2025-07-29,2025-12-08,3,2,0,5,5,5,555,5.0
CUST-00192,340,1,274.94,274.94,0.0,2025-01-25,2025-01-25,1,0,0,1,1,2,112,1.3
CUST-00193,34,2,711.11,355.55,0.5,2025-02-21,2025-11-27,2,0,0,5,3,4,534,4.1
CUST-00194,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00195,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00196,189,1,279.6,279.6,0.0,2025-06-25,2025-06-25,1,0,0,2,1,2,212,1.7
CUST-00197,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00198,45,4,915.06,228.77,0.5,2025-06-05,2025-11-16,3,1,0,4,5,5,455,4.6
CUST-00199,299,1,244.86,244.86,0.0,2025-03-07,2025-03-07,0,0,0,2,1,2,212,1.7
CUST-00200,15,2,342.57,171.29,0.0,2025-08-02,2025-12-16,1,0,0,5,3,3,533,3.8
CUST-00201,325,1,388.37,388.37,0.0,2025-02-09,2025-02-09,0,1,0,2,1,3,213,2.0
CUST-00202,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00203,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00204,44,2,696.56,348.28,0.0,2025-01-12,2025-11-17,1,0,0,4,3,4,434,3.7
CUST-00205,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00206,47,1,105.41,105.41,1.0,2025-11-14,2025-11-14,0,1,0,4,1,1,411,2.2
CUST-00207,264,1,129.85,129.85,1.0,2025-04-11,2025-04-11,0,0,0,2,1,2,212,1.7
CUST-00208,105,2,688.68,344.34,0.0,2025-01-24,2025-09-17,2,0,0,3,3,4,334,3.3
CUST-00209,51,2,588.64,294.32,0.0,2025-03-11,2025-11-10,0,2,0,4,3,4,434,3.7
CUST-00210,85,4,818.98,204.75,0.25,2025-02-21,2025-10-07,2,1,0,4,5,5,455,4.6
CUST-00211,270,2,453.14,226.57,0.0,2025-02-02,2025-04-05,1,0,0,2,3,3,233,2.6
CUST-00212,36,2,514.0,257.0,0.0,2025-02-19,2025-11-25,1,1,0,5,3,4,534,4.1
CUST-00213,197,1,298.47,298.47,0.0,2025-06-17,2025-06-17,1,0,0,2,1,2,212,1.7
CUST-00214,33,2,479.99,240.0,0.0,2025-04-21,2025-11-28,0,1,0,5,3,3,533,3.8
CUST-00215,43,1,203.04,203.04,0.0,2025-11-18,2025-11-18,1,0,0,4,1,2,412,2.5
CUST-00216,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00217,60,2,740.02,370.01,0.5,2025-09-15,2025-11-01,0,1,0,4,3,4,434,3.7
CUST-00218,25,6,1529.65,254.94,0.5,2025-02-10,2025-12-06,2,3,2,5,5,5,555,5.0
CUST-00219,72,2,930.09,465.05,0.0,2025-01-19,2025-10-20,1,0,0,4,3,5,435,4.0
CUST-00220,198,1,163.9,163.9,0.0,2025-06-16,2025-06-16,1,0,0,2,1,2,212,1.7
CUST-00221,237,1,338.87,338.87,0.0,2025-05-08,2025-05-08,0,0,0,2,1,3,213,2.0
CUST-00222,225,1,153.13,153.13,0.0,2025-05-20,2025-05-20,0,1,0,2,1,2,212,1.7
CUST-00223,201,3,547.07,182.36,0.3333,2025-01-08,2025-06-13,1,1,0,2,4,4,244,3.2
CUST-00224,172,1,55.24,55.24,1.0,2025-07-12,2025-07-12,0,1,0,3,1,1,311,1.8
CUST-00225,198,2,300.85,150.43,0.0,2025-04-19,2025-06-16,0,2,0,2,3,2,232,2.3
CUST-00226,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00227,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00228,95,2,427.52,213.76,0.5,2025-08-13,2025-09-27,2,0,0,4,3,3,433,3.4
CUST-00229,19,3,607.33,202.44,0.0,2025-07-17,2025-12-12,2,1,0,5,4,4,544,4.4
CUST-00230,1,1,443.67,443.67,0.0,2025-12-30,2025-12-30,0,1,0,5,1,3,513,3.2
CUST-00231,32,3,594.92,198.31,0.0,2025-04-25,2025-11-29,1,1,0,5,4,4,544,4.4
CUST-00232,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00233,6,3,618.43,206.14,0.3333,2025-04-05,2025-12-25,2,1,0,5,4,4,544,4.4
CUST-00234,28,5,1612.35,322.47,0.0,2025-02-09,2025-12-03,1,3,1,5,5,5,555,5.0
CUST-00235,341,1,434.74,434.74,0.0,2025-01-24,2025-01-24,1,0,0,1,1,3,113,1.6
CUST-00236,86,4,1301.35,325.34,0.0,2025-01-23,2025-10-06,0,3,0,4,5,5,455,4.6
CUST-00237,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00238,11,3,898.31,299.44,0.3333,2025-09-03,2025-12-20,0,3,0,5,4,5,545,4.7
CUST-00239,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00240,251,1,187.79,187.79,0.0,2025-04-24,2025-04-24,0,0,0,2,1,2,212,1.7
CUST-00241,264,1,307.49,307.49,0.0,2025-04-11,2025-04-11,1,0,0,2,1,3,213,2.0
CUST-00242,361,1,283.23,283.23,1.0,2025-01-04,2025-01-04,0,0,0,1,1,2,112,1.3
CUST-00243,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00244,265,2,668.91,334.46,0.0,2025-04-03,2025-04-10,1,1,0,2,3,4,234,2.9
CUST-00245,271,2,542.71,271.36,0.0,2025-02-07,2025-04-04,1,0,0,2,3,4,234,2.9
CUST-00246,3,2,531.07,265.53,0.0,2025-09-03,2025-12-28,1,1,0,5,3,4,534,4.1
CUST-00247,279,1,343.09,343.09,0.0,2025-03-27,2025-03-27,0,1,0,2,1,3,213,2.0
CUST-00248,13,2,770.4,385.2,0.0,2025-03-16,2025-12-18,1,0,0,5,3,4,534,4.1
CUST-00249,135,2,483.96,241.98,0.5,2025-04-26,2025-08-18,1,0,0,3,3,3,333,3.0
CUST-00250,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00251,157,1,185.11,185.11,0.0,2025-07-27,2025-07-27,1,0,0,3,1,2,312,2.1
CUST-00252,25,2,651.13,325.57,0.0,2025-03-08,2025-12-06,2,0,0,5,3,4,534,4.1
CUST-00253,167,1,94.36,94.36,1.0,2025-07-17,2025-07-17,0,0,0,3,1,1,311,1.8
CUST-00254,51,1,162.0,162.0,0.0,2025-11-10,2025-11-10,1,0,0,4,1,2,412,2.5
CUST-00255,108,2,605.18,302.59,1.0,2025-05-23,2025-09-14,0,2,0,3,3,4,334,3.3
CUST-00256,45,3,450.65,150.22,0.6667,2025-03-27,2025-11-16,1,1,0,4,4,3,443,3.7
CUST-00257,10,2,792.38,396.19,1.0,2025-05-07,2025-12-21,1,0,0,5,3,5,535,4.4
CUST-00258,58,2,412.96,206.48,0.5,2025-01-13,2025-11-03,1,0,0,4,3,3,433,3.4
CUST-00259,104,1,168.84,168.84,0.0,2025-09-18,2025-09-18,0,1,0,3,1,2,312,2.1
CUST-00260,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
CUST-00261,365,0,0.0,0.0,0.0,,,0,0,0,1,1,1,111,1.0
